Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Michael A. Taylor","PIT",36,65,57,9,6,1,1,1,11,3,5,0,21,0,1,2,0,1,0,0.157894736,11489
"Total","Manny Machado","SDP",48,103,92,21,15,3,0,3,9,11,11,3,21,0,0,0,3,2,0,0.228260869,11493
"Total","Bryce Harper","PHI",64,143,122,39,20,12,0,7,17,24,20,1,35,0,1,0,6,1,1,0.319672131,11579
"Total","Willson Contreras","STL",22,51,39,11,5,4,0,2,6,6,12,1,13,0,0,0,4,2,1,0.282051282,11609
"Total","Brandon Drury","LAA",24,37,34,6,5,1,0,0,3,2,2,0,8,0,1,0,2,0,0,0.176470588,11615
"Total","Elias Diaz","COL",36,80,75,21,15,5,0,1,4,8,4,1,11,0,1,0,2,0,0,0.28,11680
"Total","Nick Castellanos","PHI",58,110,103,26,15,4,0,7,14,23,6,1,28,0,1,0,3,0,0,0.252427184,11737
"Total","J.T. Realmuto","PHI",31,70,67,20,13,4,0,3,7,7,3,0,18,0,0,0,1,0,0,0.298507462,11739
"Total","Joc Pederson","ARI",20,22,18,3,1,1,0,1,3,1,3,0,11,1,0,0,0,1,0,0.166666666,11899
"Total","Nick Martini","CIN",20,33,32,6,3,1,1,1,6,3,0,0,8,1,0,0,0,0,1,0.1875,12005
"Total","Jon Berti","NYY",9,20,18,4,4,0,0,0,1,0,1,0,4,0,0,1,0,1,0,0.222222222,12037
"Total","Scott McGough","ARI",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12056
"Total","Niko Goodrum","2 Tms",4,8,6,1,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0.166666666,12092
"Total","Max Kepler","MIN",41,52,48,14,11,2,0,1,6,7,2,0,10,1,1,0,0,0,0,0.291666666,12144
"Total","Nick Ahmed","2 Tms",37,72,64,19,16,1,1,1,8,7,7,0,16,0,1,0,3,1,1,0.296875,12147
"Total","Eddie Rosario","WSN",24,30,26,4,4,0,0,0,2,1,3,0,4,0,0,1,1,1,0,0.153846153,12155
"Total","Austin Barnes","LAD",17,33,29,11,10,1,0,0,2,2,3,0,3,0,0,1,0,0,0,0.379310344,12158
"Total","Ben Gamel","NYM",4,2,2,1,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0.5,12160
"Total","Xander Bogaerts","SDP",26,59,52,14,11,2,0,1,7,5,6,0,5,0,1,0,0,3,0,0.269230769,12161
"Total","Miguel Sano","LAA",10,20,16,3,2,1,0,0,1,0,4,0,3,0,0,0,1,0,0,0.1875,12164
"Total","Jace Peterson","ARI",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12325
"Total","Kevin Pillar","2 Tms",38,71,67,26,15,7,1,3,7,14,2,0,11,2,0,0,1,3,0,0.388059701,12434
"Total","Curt Casali","SFG",17,37,32,7,5,2,0,0,3,2,5,0,8,0,0,0,0,0,0,0.21875,12510
"Total","Marcus Semien","TEX",54,119,106,32,21,6,1,4,21,14,13,0,17,0,0,0,0,1,1,0.301886792,12533
"Total","Eugenio Suarez","ARI",50,114,97,18,15,1,0,2,13,8,14,0,41,1,2,0,2,0,0,0.18556701,12552
"Total","Trevor Story","BOS",3,6,4,1,0,1,0,0,1,1,2,1,2,0,0,0,0,0,0,0.25,12564
"Total","George Springer","TOR",46,83,70,14,9,2,0,3,8,8,12,0,17,0,1,0,4,2,0,0.2,12856
"Total","James McCann","BAL",28,68,65,13,8,3,0,2,7,8,2,0,16,1,0,0,2,0,0,0.2,12859
"Total","Anthony Rendon","LAA",7,14,13,3,3,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0.23076923,12861
"Total","Francisco Lindor","NYM",52,123,113,33,15,10,0,8,24,20,7,0,13,3,0,0,2,7,0,0.292035398,12916
"Total","Brandon Nimmo","NYM",55,113,99,26,13,8,1,4,15,17,8,0,29,6,0,0,1,4,0,0.262626262,12927
"Total","Austin Hedges","CLE",15,37,34,6,5,0,0,1,4,3,1,0,13,2,0,0,1,0,0,0.176470588,12976
"Total","Javier Baez","DET",25,50,48,8,6,1,0,1,5,8,2,0,9,0,0,0,2,0,0,0.166666666,12979
"Total","Teoscar Hernandez","LAD",46,102,95,26,15,4,0,7,14,16,6,1,23,1,0,0,3,0,1,0.27368421,13066
"Total","Josh Bell","MIA",60,130,118,27,16,6,0,5,10,17,10,1,20,0,2,0,4,0,0,0.228813559,13145
"Total","Jorge Polanco","SEA",28,63,59,13,12,1,0,0,4,4,4,0,13,0,0,0,3,0,1,0.220338983,13152
"Total","Orlando Arcia","ATL",42,87,79,12,7,5,0,0,6,5,5,1,24,0,3,0,3,0,0,0.151898734,13185
"Total","Max Muncy","LAD",23,36,29,4,1,2,0,1,5,2,4,0,11,2,1,0,1,0,0,0.137931034,13301
"Total","Ildemaro Vargas","WSN",32,84,77,23,14,9,0,0,7,6,5,0,10,1,0,1,3,2,0,0.298701298,13324
"Total","Omar Narvaez","NYM",5,6,4,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.25,13338
"Total","Luke Maile","CIN",19,36,31,6,5,0,0,1,4,5,4,0,10,0,1,0,1,0,0,0.193548387,13355
"Total","Christian Walker","ARI",53,118,106,28,20,4,0,4,16,18,10,1,31,1,1,0,5,0,0,0.264150943,13419
"Total","Tom Murphy","SFG",7,16,14,1,1,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0.071428571,13499
"Total","Jose Ramirez","CLE",62,121,111,43,22,12,0,9,28,28,9,3,16,0,1,0,2,8,2,0.387387387,13510
"Total","Jesse Winker","WSN",57,99,85,20,13,6,0,1,9,9,11,0,27,2,1,0,2,6,1,0.235294117,13590
"Total","Patrick Wisdom","CHC",32,62,54,12,7,2,1,2,7,10,4,0,20,3,1,0,0,4,0,0.222222222,13602
"Total","Mookie Betts","LAD",41,89,81,24,18,4,1,1,9,7,8,0,7,0,0,0,2,1,1,0.296296296,13611
"Total","Ketel Marte","ARI",61,150,137,48,26,9,0,13,23,31,11,5,23,2,0,0,3,1,0,0.350364963,13613
