Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Ian Kennedy","TEX",16,29,11.11764705,9,3,0,8,7,3,3,0,0,10,0.346153846,0.413793103,0.807692307,0.49927216357198256,6986
"Total","Ryan Pressly","HOU",100,217,3.5886076,47,8,1,27,21,6,11,0,2,62,0.233830845,0.276497695,0.373134328,0.2808386568100222,7005
"Total","Fernando Cruz","CIN",94,212,5.8943662,43,10,3,32,31,7,28,1,1,71,0.236263736,0.339622641,0.439560439,0.3377030946632132,7048
"Total","Daniel Bard","COL",44,88,4.32,11,4,1,8,8,2,28,2,3,17,0.196428571,0.477272727,0.410714285,0.3994621225567751,7115
"Total","Daniel Hudson","LAD",45,85,0.75,11,3,0,3,2,2,5,1,0,26,0.1375,0.188235294,0.25,0.19003187332834517,7146
"Total","Jay Jackson","2 Tms",38,92,4.640625,19,1,1,14,11,6,10,2,0,25,0.234567901,0.318681318,0.49382716,0.34149008855391083,7432
"Total","Collin McHugh","ATL",37,123,4.60227273,27,3,0,18,15,2,8,1,1,27,0.238938053,0.295081967,0.31858407,0.27068266789775247,7531
"Total","Jordan Lyles","KCR",35,365,6.46768061,83,20,2,65,63,20,26,0,2,60,0.249249249,0.304945054,0.501501501,0.3401835154701065,7593
"Total","Tommy Milone","SEA",2,11,3,0,0,0,2,1,0,2,0,0,1,0,0.181818181,0,0.12652779709209094,7608
"Total","Miguel Rojas","LAD",2,2,27.00000027,1,1,0,1,1,0,0,0,0,0,0.5,0.5,1,0.6218811869621277,7802
"Total","Richard Bleier","BOS",25,47,5.22580645,16,2,0,6,6,3,1,0,1,6,0.372093023,0.4,0.627906976,0.43621377680036755,7803
"Total","Hunter Strickland","LAA",36,60,2.45454545,10,3,0,4,4,1,7,0,1,8,0.192307692,0.3,0.307692307,0.27806719740231833,7836
"Total","Anthony Bass","TOR",21,34,3.375,5,1,0,4,3,1,5,2,0,10,0.172413793,0.294117647,0.310344827,0.24947424791753292,7982
"Total","Will Smith","2 Tms",73,120,1.96875,21,1,0,8,7,2,6,1,0,30,0.185840707,0.225,0.24778761,0.2074035982123944,8048
"Total","Bryan Shaw","CHW",41,95,5.0625,23,5,0,13,12,1,10,1,3,19,0.283950617,0.378947368,0.382716049,0.33765539083075014,8110
"Total","Josh Harrison","PHI",2,5,0,3,0,0,0,0,0,2,0,0,0,1,1,1,0.8078829288482666,8202
"Total","David Robertson","3 Tms",95,206,3.375,35,3,0,22,19,7,20,3,2,64,0.190217391,0.276699029,0.320652173,0.26225859631458526,8241
"Total","Paolo Espino","2 Tms",5,19,11.25,7,1,0,5,5,1,2,0,0,2,0.411764705,0.47368421,0.647058823,0.4797115921974182,8246
"Total","Lucas Luetge","ATL",11,23,8.30769231,7,0,0,4,4,1,3,0,0,5,0.368421052,0.434782608,0.526315789,0.40813141024631,8337
"Total","Justin Verlander","2 Tms",37,418,3.42996743,81,13,2,40,39,12,29,0,2,93,0.212041884,0.267942583,0.35078534,0.2703259257893813,8700
"Total","Wade Miley","MIL",25,109,2.63414634,21,4,0,8,8,2,6,0,1,26,0.205882352,0.256880733,0.303921568,0.24883218588085348,8779
"Total","Kirby Yates","2 Tms",91,183,2.77941176,17,3,0,14,14,5,32,3,1,60,0.114093959,0.273224043,0.234899328,0.23655490080515543,9073
"Total","Brad Hand","2 Tms",51,91,2.41791045,16,2,1,6,6,1,9,0,1,30,0.202531645,0.292134831,0.29113924,0.265618573413806,9111
"Total","Nathan Eovaldi","TEX",43,454,4.08139535,92,22,0,52,52,12,28,0,1,99,0.218009478,0.267108167,0.355450236,0.2720456672030569,9132
"Total","Patrick Corbin","WSN",45,238,4.33928571,54,11,0,29,27,6,22,1,2,41,0.25592417,0.329113924,0.393364928,0.3160277163073168,9323
"Total","Dallas Keuchel","2 Tms",14,61,5.14285714,15,1,0,8,8,1,5,0,0,15,0.267857142,0.327868852,0.339285714,0.2992142673398628,9434
"Total","Joe Kelly","2 Tms",59,114,4.30434783,22,6,2,13,11,2,20,1,1,33,0.241758241,0.383928571,0.417582417,0.3527590863339536,9761
"Total","Miles Mikolas","STL",55,630,5.04,166,44,5,86,84,23,28,0,3,100,0.281833616,0.313694267,0.490662139,0.3407303918698791,9803
"Total","Christian Bethancourt","TBR",1,2,27.00000027,1,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.4412681460380554,10028
"Total","Chris Owings","PIT",1,3,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2941787640253703,10030
"Total","Tyler Matzek","ATL",11,20,4.15384616,6,0,1,2,2,1,1,0,0,5,0.315789473,0.35,0.578947368,0.39385005235672,10058
"Total","Brooks Raley","NYM",68,109,3.24,23,5,0,10,9,3,9,2,3,33,0.239583333,0.321100917,0.385416666,0.3039110241649307,10061
"Total","Caleb Thielbar","MIN",59,105,2.025,19,6,1,11,6,0,6,0,0,29,0.191919191,0.238095238,0.272727272,0.22692823466800507,10078
"Total","Kyle Gibson","2 Tms",51,623,4.71724138,154,38,3,79,76,21,52,0,3,120,0.275491949,0.337096774,0.466905187,0.34538676258056394,10123
"Total","Brad Boxberger","CHC",18,38,4.82142857,5,2,1,5,5,2,5,1,0,10,0.151515151,0.263157894,0.454545454,0.29319443573822845,10133
"Total","Ryan Weber","NYY",8,26,3.85714286,6,2,0,3,3,1,0,0,0,5,0.23076923,0.23076923,0.423076923,0.2745857559717618,10160
"Total","Shelby Miller","2 Tms",62,145,2.13157895,15,6,0,10,9,3,17,2,1,43,0.12,0.227586206,0.24,0.2098633096768306,10197
"Total","Tucker Barnhart","2 Tms",5,9,10.79999998,4,0,0,2,2,1,0,0,0,0,0.444444444,0.444444444,0.777777777,0.5230490631527371,10200
"Total","Aroldis Chapman","3 Tms",71,101,2.65573771,16,0,0,11,6,1,24,0,2,29,0.219178082,0.415841584,0.260273972,0.3303724545063359,10233
"Total","Ryan Tepera","2 Tms",8,17,9.81818181,3,0,0,4,4,2,1,0,0,3,0.214285714,0.266666666,0.642857142,0.37244208256403605,10291
"Total","Zack Wheeler","PHI",52,685,3.31185031,152,38,3,64,59,18,52,0,6,155,0.244766505,0.306569343,0.402576489,0.30830847016216195,10310
"Total","Erasmo Ramirez","2 Tms",44,156,7.67647059,43,8,1,32,29,7,12,0,0,28,0.311594202,0.352564102,0.536231884,0.3703475766457044,10314
"Total","Michael Tonkin","4 Tms",74,215,4.76470588,43,5,1,31,27,7,19,1,2,46,0.226315789,0.29906542,0.37368421,0.2928804212332891,10315
"Total","Aaron Loup","LAA",45,77,4.67307692,25,3,0,9,9,1,2,0,0,14,0.333333333,0.35064935,0.413333333,0.3332526110983514,10343
"Total","Mychal Givens","BAL",6,6,27.00000007,1,0,0,5,4,0,2,1,0,0,0.25,0.5,0.25,0.3156878352165222,10430
"Total","Enrique Hernandez","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10472
"Total","Scott Alexander","2 Tms",70,116,3.26373626,23,4,1,12,11,1,4,0,0,20,0.207207207,0.234782608,0.288288288,0.22911197620889415,10591
"Total","Chris Sale","2 Tms",30,134,3.56603774,25,5,1,14,14,5,5,0,3,47,0.201612903,0.2481203,0.379032258,0.2705862540051453,10603
"Total","Carlos Perez","OAK",2,4,0,1,0,0,0,0,0,2,0,0,0,0.5,0.75,0.5,0.5685855150222778,10642
"Total","Andrew Bellatti","PHI",19,35,6.42857143,7,1,1,6,5,1,6,0,0,6,0.25,0.371428571,0.464285714,0.3577796186719622,10657
"Total","Shane Greene","CHC",2,8,0,2,1,0,0,0,0,2,0,0,2,0.333333333,0.5,0.5,0.43976305425167084,10756
"Total","Michael Mariot","CIN",1,7,9,3,1,0,1,1,1,1,0,0,0,0.5,0.571428571,1.166666666,0.6894710830279759,10835
"Total","Adam Kolarek","2 Tms",5,15,0,1,0,0,0,0,0,0,0,0,5,0.071428571,0.071428571,0.071428571,0.06303830657686506,10843
"Total","Chasen Shreve","2 Tms",45,76,2.94545454,19,2,1,6,6,3,3,0,1,26,0.267605633,0.306666666,0.450704225,0.324738187789917,10855
"Total","Jacob deGrom","TEX",5,53,0,8,3,0,1,0,0,4,0,0,20,0.163265306,0.226415094,0.224489795,0.20618075694677965,10954
"Total","Casey Lawrence","STL",12,32,4.69565217,8,3,0,4,4,1,1,0,0,6,0.266666666,0.28125,0.466666666,0.3112947251647711,11121
"Total","Merrill Kelly","ARI",33,398,3.58163265,74,12,3,43,39,12,41,0,4,95,0.211428571,0.29974811,0.365714285,0.29381694421359816,11156
"Total","Vince Velasquez","PIT",8,73,4.32,15,3,0,8,8,3,8,0,1,16,0.234375,0.328767123,0.421875,0.3284880812853983,11189
"Total","Jonathan Schoop","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11265
"Total","Zach Neal","OAK",12,46,5.72727273,9,3,0,7,7,3,4,1,1,11,0.219512195,0.304347826,0.512195121,0.33788661691877575,11294
"Total","Sean Nolin","MIA",1,6,9,2,1,0,1,1,1,1,0,0,0,0.4,0.5,1.2,0.6572935481866201,11341
"Total","Tommy Kahnle","NYY",61,122,1.76086957,19,4,0,7,6,5,12,1,1,35,0.177570093,0.262295081,0.355140186,0.2665875376748645,11384
"Total","Jose Quintana","NYM",32,161,4.15384615,35,7,1,18,18,7,8,0,1,28,0.234899328,0.278481012,0.43624161,0.30742020056217534,11423
"Total","Robbie Ray","SFG",1,5,0,0,0,0,0,0,0,1,0,0,3,0,0.2,0,0.1379955530166626,11486
"Total","Joely Rodriguez","BOS",19,41,1.03846154,11,1,0,4,1,0,2,0,0,9,0.282051282,0.31707317,0.307692307,0.2795537913717875,11487
"Total","Jose Urena","3 Tms",33,248,3.67455621,56,8,3,29,23,9,23,2,0,40,0.254545454,0.321138211,0.44090909,0.3249792029134563,11589
"Total","Jameson Taillon","CHC",47,533,4.05737705,122,21,1,62,55,23,49,0,2,106,0.255230125,0.325800376,0.447698744,0.3343915242259785,11674
"Total","Luke Jackson","SFG",57,105,4.90909091,25,6,1,14,12,3,15,2,0,24,0.284090909,0.38095238,0.477272727,0.36383278277313824,11752
"Total","Drew Smyly","CHC",65,227,5.28671329,64,12,2,29,28,7,19,0,4,47,0.32,0.386666666,0.505,0.38318183528052435,11760
"Total","Noah Syndergaard","2 Tms",18,193,5.71532847,48,7,2,30,29,9,10,0,1,30,0.268156424,0.305699481,0.480446927,0.3318241195357525,11762
"Total","Hector Neris","2 Tms",95,192,1.54285714,27,5,0,9,8,3,32,0,0,51,0.170886075,0.308900523,0.25949367,0.268438562984866,11804
"Total","James Paxton","2 Tms",33,161,4.30088496,40,4,0,20,18,4,13,0,0,26,0.275862068,0.333333333,0.386206896,0.31662299273149025,11828
"Total","Taijuan Walker","PHI",41,496,5.55652174,108,24,2,73,71,19,52,1,3,96,0.247706422,0.328629032,0.44266055,0.33282044379398074,11836
"Total","Chris Martin","BOS",75,142,2,31,5,0,9,8,4,6,4,0,39,0.231343283,0.264285714,0.358208955,0.25854360356050377,11847
"Total","Jason Adam","TBR",96,186,2.45454545,29,4,1,17,13,7,16,1,3,61,0.173652694,0.258064516,0.335329341,0.26119335374316655,11861
"Total","Hanser Alberto","CHW",2,6,0,3,0,0,0,0,0,1,0,0,0,0.6,0.666666666,0.6,0.5572519600391388,11902
"Total","Matt Andriese","MIA",4,11,7.71428573,3,0,1,3,2,1,1,1,0,2,0.3,0.363636363,0.8,0.45365431904792786,12022
"Total","Kyle Hendricks","CHC",42,466,4.63554217,109,19,1,61,57,17,28,0,2,77,0.252314814,0.298924731,0.418981481,0.31042576669364846,12049
"Total","Scott McGough","ARI",79,185,3.8,29,6,0,20,19,6,22,2,2,49,0.182389937,0.286486486,0.333333333,0.27232971510600523,12056
"Total","Yimi Garcia","TOR",83,155,5.94495413,32,7,0,26,24,6,13,3,2,55,0.233576642,0.307189542,0.416058394,0.30746492425600686,12095
"Total","Miguel Sano","LAA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12164
"Total","Domingo Tapia","SDP",12,19,2.07692308,5,0,0,2,1,0,2,0,0,4,0.294117647,0.368421052,0.294117647,0.30549932781018707,12178
"Total","Ryan Sherriff","BOS",5,7,0,0,0,0,0,0,0,1,0,0,2,0,0.142857142,0,0.09941469771521431,12249
"Total","Aaron Brooks","OAK",5,47,4.5,14,6,0,7,5,2,4,0,1,3,0.333333333,0.404255319,0.619047619,0.4350241676289984,12272
"Total","Chris Bassitt","TOR",54,668,5.35242291,159,28,2,93,90,30,66,2,7,146,0.269491525,0.347826086,0.476271186,0.35421403906399146,12304
"Total","Colin Rea","MIL",45,497,5.33810888,110,19,3,73,69,25,40,0,3,93,0.244444444,0.309090909,0.466666666,0.33270568113134363,12317
"Total","Jacob Barnes","2 Tms",37,78,5.4,16,3,1,13,11,2,10,1,0,11,0.23880597,0.333333333,0.402985074,0.318332170511221,12323
"Total","Jace Peterson","OAK",2,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0.6959028840065002,12325
"Total","Spencer Patton","OAK",12,21,5.4,5,1,0,3,3,2,1,0,0,4,0.25,0.285714285,0.6,0.36728237640290035,12361
"Total","Seth Lugo","2 Tms",47,594,2.83216783,134,27,3,47,45,16,38,0,6,144,0.244080145,0.299663299,0.391621129,0.30157481349678555,12447
"Total","Drew Rucinski","OAK",4,46,11.57142857,15,1,0,12,9,3,9,0,1,4,0.44117647,0.54347826,0.735294117,0.5207191446553106,12499
"Total","Blake Treinen","LAD",27,48,4.76470588,10,3,0,7,6,2,2,0,2,20,0.227272727,0.291666666,0.431818181,0.3152032953997453,12572
"Total","Nick Ramirez","2 Tms",36,88,1.83050847,21,5,1,6,4,1,8,0,0,19,0.265822784,0.333333333,0.392405063,0.3183642132528897,12575
"Total","Adrian Houser","2 Tms",46,375,4.73306773,89,23,0,48,44,13,41,0,3,65,0.270516717,0.354666666,0.458966565,0.35330010191599526,12718
"Total","Nick Martinez","2 Tms",88,343,4.32911392,86,13,2,41,38,11,21,0,4,78,0.274760383,0.326470588,0.434504792,0.33009112757794995,12730
"Total","Rafael Montero","HOU",102,226,4.29139073,55,9,2,26,24,9,27,0,1,43,0.279187817,0.367256637,0.482233502,0.36773683249422934,12760
"Total","Chris Devenski","2 Tms",52,133,3.97894737,25,4,1,19,14,5,9,1,1,25,0.208333333,0.265151515,0.383333333,0.27706358177971296,12763
"Total","Sonny Gray","2 Tms",50,558,3.14108911,125,29,6,51,47,9,42,0,6,139,0.245579567,0.310035842,0.379174852,0.3029634841454072,12768
"Total","Brad Miller","TEX",1,5,0,1,0,0,0,0,0,2,0,0,0,0.333333333,0.6,0.333333333,0.45486841201782224,12775
"Total","John Brebbia","2 Tms",71,133,5.17021277,26,9,0,18,18,6,12,2,1,43,0.216666666,0.293233082,0.441666666,0.3119418361714778,12777
"Total","Burch Smith","2 Tms",27,56,5.4,19,3,0,7,7,1,3,0,0,11,0.358490566,0.392857142,0.471698113,0.3777566264782633,12784
"Total","Michael Kelly","2 Tms",37,80,3.31578947,15,0,1,8,7,2,10,1,3,19,0.227272727,0.35,0.348484848,0.31273583219021184,12791
"Total","Mike Clevinger","CHW",28,311,4.60089686,69,17,1,39,38,13,24,0,2,58,0.242957746,0.305466237,0.447183098,0.32347428223711117,12808
"Total","Andrew Kittredge","2 Tms",50,84,5.89090909,21,5,1,14,12,5,7,0,0,20,0.272727272,0.333333333,0.558441558,0.37853298371746424,12828
"Total","Shawn Armstrong","TBR",71,178,3.34710744,44,12,0,18,15,4,12,0,2,41,0.26993865,0.325842696,0.417177914,0.3240722849797667,12857
"Total","James McCann","BAL",1,2,54.00000054,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,1.0289592742919922,12859
"Total","Matt Barnes","2 Tms",32,66,4.90909091,15,3,0,8,8,1,6,1,0,13,0.254237288,0.323076923,0.355932203,0.2967379167675972,12863
"Total","Tyler Anderson","LAA",46,263,5.22099447,49,11,1,38,35,11,32,1,5,49,0.217777777,0.328244274,0.422222222,0.32837883151810743,12880
"Total","Alex Claudio","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12890
"Total","Archie Bradley","MIA",4,18,6.75,6,2,0,4,3,1,1,0,0,3,0.352941176,0.388888888,0.647058823,0.4352851410706838,12918
