Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Patrick Corbin","WSN",17,101,4.69565217,23,6,0,13,12,2,11,1,0,19,0.258426966,0.336633663,0.393258426,0.31816252768039704,9323
"Total","Dallas Keuchel","MIL",4,20,5.78571428,5,0,0,3,3,1,1,0,0,8,0.263157894,0.3,0.421052631,0.3140934884548187,9434
"Total","Joe Kelly","LAD",16,33,0,7,2,0,0,0,0,6,1,1,12,0.28,0.4375,0.36,0.3582137034785363,9761
"Total","Miles Mikolas","STL",20,215,4.44303797,53,17,2,26,26,7,11,0,1,38,0.263681592,0.302325581,0.472636815,0.3309192172316618,9803
"Total","Tyler Matzek","ATL",10,18,5.40000001,6,0,1,2,2,1,1,0,0,5,0.352941176,0.388888888,0.647058823,0.4376111692852444,10058
"Total","Brooks Raley","NYM",3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10061
"Total","Caleb Thielbar","MIN",31,60,4.05,13,4,0,10,6,0,6,0,0,15,0.24074074,0.316666666,0.314814814,0.2853910873333613,10078
"Total","Kyle Gibson","STL",19,234,4.52795031,51,13,2,30,27,8,27,0,2,48,0.252475247,0.343347639,0.455445544,0.34685716506237635,10123
"Total","Shelby Miller","DET",29,67,3.375,7,3,0,8,7,1,4,0,0,20,0.114754098,0.164179104,0.213114754,0.1677974400235646,10197
"Total","Tucker Barnhart","ARI",1,3,18,3,0,0,2,2,1,0,0,0,0,1,1,2,1.274968425432841,10200
"Total","Aroldis Chapman","PIT",31,50,1.92857143,7,0,0,5,2,1,14,0,1,11,0.205882352,0.44,0.294117647,0.35479514837265014,10233
"Total","Zack Wheeler","PHI",19,262,3.44680851,50,14,1,25,24,8,27,0,2,63,0.215517241,0.301526717,0.387931034,0.30380585653181297,10310
"Total","Erasmo Ramirez","TBR",9,31,2.7,5,1,0,3,2,1,4,0,0,2,0.192307692,0.29032258,0.346153846,0.2814951385221174,10314
"Total","Michael Tonkin","3 Tms",29,58,5.92682927,9,3,0,12,9,2,7,0,0,11,0.183673469,0.275862068,0.367346938,0.28023747740120725,10315
"Total","Enrique Hernandez","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10472
"Total","Scott Alexander","OAK",21,33,0,6,1,0,1,0,0,1,0,0,4,0.1875,0.212121212,0.21875,0.1928934599414016,10591
"Total","Chris Sale","ATL",14,76,1.28571429,12,3,1,3,3,1,2,0,1,28,0.166666666,0.2,0.277777777,0.2095035688082377,10603
"Total","Merrill Kelly","ARI",3,37,2,6,0,0,2,2,1,4,0,0,6,0.1875,0.277777777,0.28125,0.25653601189454395,11156
"Total","Tommy Kahnle","NYY",20,37,1.03846154,6,1,0,1,1,1,3,1,1,13,0.181818181,0.27027027,0.303030303,0.24864103065596688,11384
"Total","Jose Quintana","NYM",18,101,3,20,4,1,8,8,4,6,0,1,18,0.217391304,0.272727272,0.413043478,0.29735805470534044,11423
"Total","Robbie Ray","SFG",1,5,0,0,0,0,0,0,0,1,0,0,3,0,0.2,0,0.1379955530166626,11486
"Total","Joely Rodriguez","BOS",6,18,0,5,0,0,2,0,0,1,0,0,4,0.294117647,0.333333333,0.294117647,0.28374692135387,11487
"Total","Jose Urena","TEX",22,130,2.90322581,24,3,0,13,10,4,12,2,0,23,0.210526315,0.28125,0.342105263,0.269245696919305,11589
"Total","Jameson Taillon","CHC",17,207,2.02040816,45,5,0,14,11,5,17,0,0,43,0.239361702,0.302439024,0.34574468,0.2889350265991397,11674
"Total","Luke Jackson","SFG",30,58,5.10810811,14,2,0,8,7,3,8,0,0,12,0.285714285,0.379310344,0.510204081,0.3820878832504667,11752
"Total","Drew Smyly","CHC",23,66,2.34782609,17,1,0,4,4,1,4,0,2,11,0.283333333,0.348484848,0.35,0.31470681230227154,11760
"Total","Hector Neris","CHC",33,74,2.75510204,10,3,0,5,5,1,17,0,0,18,0.175438596,0.364864864,0.280701754,0.3089543178274825,11804
"Total","James Paxton","LAD",15,66,3.11538462,16,1,0,6,6,1,3,0,0,10,0.258064516,0.292307692,0.322580645,0.2731507466389583,11828
"Total","Taijuan Walker","PHI",10,123,6.8313253,34,6,0,22,21,7,12,0,0,21,0.314814814,0.373983739,0.564814814,0.3966403351566656,11836
"Total","Chris Martin","BOS",24,54,3.29268293,13,0,0,6,5,2,1,1,0,17,0.25490196,0.269230769,0.372549019,0.27126008038427313,11847
"Total","Jason Adam","TBR",42,75,1.8,13,3,0,5,4,2,6,1,0,21,0.188405797,0.253333333,0.318840579,0.24875394073692528,11861
"Total","Matt Andriese","MIA",4,11,7.71428573,3,0,1,3,2,1,1,1,0,2,0.3,0.363636363,0.8,0.45365431904792786,12022
"Total","Kyle Hendricks","CHC",17,154,7.52884615,41,3,0,29,29,10,11,0,2,23,0.290780141,0.35064935,0.524822695,0.37742372611900427,12049
"Total","Scott McGough","ARI",18,43,2.07692308,8,2,0,3,2,0,9,0,0,9,0.242424242,0.395348837,0.303030303,0.32620556409968887,12056
"Total","Yimi Garcia","TOR",25,49,5.55882353,10,4,0,7,7,3,5,3,0,19,0.227272727,0.306122448,0.522727272,0.3312249922234079,12095
"Total","Miguel Sano","LAA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12164
"Total","Aaron Brooks","OAK",5,47,4.5,14,6,0,7,5,2,4,0,1,3,0.333333333,0.404255319,0.619047619,0.4350241676289984,12272
"Total","Chris Bassitt","TOR",20,257,5.24117647,61,9,0,34,33,8,28,1,2,48,0.271111111,0.35546875,0.417777777,0.34012232294269634,12304
"Total","Colin Rea","MIL",19,237,4.58181818,53,10,2,30,28,10,21,0,1,43,0.247663551,0.316455696,0.453271028,0.33311755823183664,12317
"Total","Jacob Barnes","WSN",27,59,5.78571429,11,3,0,10,9,2,8,1,0,9,0.22,0.322033898,0.4,0.3107027658100786,12323
"Total","Seth Lugo","KCR",20,275,2.295,60,12,1,17,17,4,19,0,4,65,0.238095238,0.301818181,0.341269841,0.28693757338957354,12447
"Total","Blake Treinen","LAD",27,48,4.76470588,10,3,0,7,6,2,2,0,2,20,0.227272727,0.291666666,0.431818181,0.3152032953997453,12572
"Total","Nick Ramirez","LAD",6,17,1.8,1,0,0,1,1,0,3,0,0,3,0.071428571,0.235294117,0.071428571,0.17373097994748285,12575
"Total","Adrian Houser","NYM",23,155,5.24271845,37,12,0,21,20,5,18,0,2,19,0.274074074,0.367741935,0.474074074,0.36721235398323304,12718
"Total","Nick Martinez","CIN",27,141,6.06122449,39,7,2,24,22,4,4,0,1,24,0.291044776,0.314285714,0.462686567,0.3334295885903495,12730
"Total","Rafael Montero","HOU",35,76,6.35294118,20,2,1,13,12,5,8,0,0,9,0.294117647,0.368421052,0.573529411,0.4016124433592746,12760
"Total","Chris Devenski","TBR",17,57,4.05,12,4,0,10,6,3,4,0,0,11,0.226415094,0.280701754,0.471698113,0.3225138929852268,12763
"Total","Sonny Gray","STL",18,199,3.66428571,49,9,5,23,19,5,14,0,2,58,0.267759562,0.326633165,0.453551912,0.33766067866703975,12768
"Total","John Brebbia","CHW",39,78,6.87272727,16,5,0,14,14,4,6,0,1,27,0.225352112,0.294871794,0.464788732,0.32778695225715637,12777
"Total","Burch Smith","2 Tms",26,53,4.76470588,17,3,0,6,6,1,3,0,0,11,0.34,0.37735849,0.46,0.36579970481260765,12784
"Total","Michael Kelly","OAK",21,44,3.375,8,0,0,5,4,1,5,1,2,8,0.222222222,0.34090909,0.305555555,0.2894107699394226,12791
"Total","Mike Clevinger","CHW",4,44,3.27272727,11,3,0,4,4,2,2,0,0,8,0.261904761,0.295454545,0.476190476,0.33115617253563623,12808
"Total","Andrew Kittredge","STL",37,60,6.56756757,18,5,1,11,9,4,5,0,0,16,0.327272727,0.383333333,0.672727272,0.44391398628552753,12828
"Total","Shawn Armstrong","TBR",32,77,7.2,25,7,0,12,12,3,6,0,1,15,0.357142857,0.415584415,0.585714285,0.42978558215227997,12857
"Total","James McCann","BAL",1,2,54.00000054,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,1.0289592742919922,12859
"Total","Matt Barnes","WSN",12,30,9.94736843,7,2,0,7,7,1,3,0,0,5,0.269230769,0.344827586,0.461538461,0.3509622236777996,12863
"Total","Tyler Anderson","LAA",19,123,2.93478261,18,5,0,11,10,5,12,0,3,23,0.166666666,0.268292682,0.351851851,0.27716293276810067,12880
"Total","Joe Musgrove","SDP",8,70,4.15384615,15,5,0,9,8,3,4,0,3,14,0.241935483,0.314285714,0.467741935,0.33674125926835197,12970
"Total","Joe Ross","MIL",9,94,3.57352941,20,4,0,12,9,1,6,0,0,16,0.235294117,0.279569892,0.317647058,0.2632510104487019,12972
"Total","Austin Hedges","CLE",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12976
"Total","Andrew Chafin","DET",34,65,2.34782609,11,2,0,5,4,0,7,0,0,24,0.192982456,0.276923076,0.228070175,0.23534405873372005,12988
"Total","Colten Brewer","CHC",16,45,3.27272727,8,2,0,6,4,0,4,0,1,15,0.205128205,0.288888888,0.256410256,0.25106978681352404,12997
"Total","Yu Darvish","SDP",9,85,3.73846154,18,2,0,9,9,2,4,0,0,19,0.225,0.261904761,0.325,0.25905636236781165,13074
"Total","Gerrit Cole","NYY",7,87,4.73684211,23,5,0,10,10,4,7,0,0,24,0.2875,0.344827586,0.5,0.3646048691080905,13125
"Total","Derek Law","WSN",45,94,3.57352941,19,2,0,9,9,2,10,0,0,27,0.226190476,0.308510638,0.321428571,0.284937174396312,13133
"Total","Jordan Weems","WSN",33,75,10.125,27,5,1,16,15,2,8,0,1,10,0.409090909,0.48,0.606060606,0.46704736471176145,13190
"Total","Ross Stripling","OAK",11,145,4.45360825,47,11,0,21,16,2,5,2,0,17,0.343065693,0.361111111,0.467153284,0.35255619925512394,13273
"Total","Matt Carasiti","COL",7,23,21,13,3,0,7,7,1,3,0,0,1,0.65,0.695652173,0.95,0.6892787347669187,13276
"Total","Danny Coulombe","BAL",24,34,0.93103448,6,2,0,1,1,0,0,0,0,8,0.176470588,0.176470588,0.235294117,0.17794272478889017,13293
"Total","Ildemaro Vargas","WSN",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13324
"Total","Hoby Milner","MIL",40,81,4.57627119,23,3,1,12,10,2,1,0,0,17,0.298701298,0.303797468,0.441558441,0.31891711527788186,13346
