Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Michael A. Taylor","PIT",48,120,107,21,18,2,0,1,9,7,9,0,45,0,2,2,1,5,1,0.196261682,11489
"Total","Manny Machado","SDP",87,272,257,71,51,12,0,8,29,35,13,2,59,1,1,0,14,3,1,0.276264591,11493
"Total","Bryce Harper","PHI",80,233,201,57,31,10,0,16,42,41,31,7,41,0,1,0,4,3,2,0.283582089,11579
"Total","Willson Contreras","STL",52,178,151,42,24,9,0,9,26,20,21,0,49,6,0,0,0,1,0,0.278145695,11609
"Total","Brandon Drury","LAA",45,143,125,20,16,3,0,1,15,6,14,0,29,3,1,0,3,0,0,0.16,11615
"Total","Elias Diaz","COL",64,185,168,48,35,10,0,3,16,21,12,1,37,4,1,0,8,0,0,0.285714285,11680
"Total","Nick Castellanos","PHI",99,303,279,66,41,16,2,7,32,28,19,0,63,4,1,0,8,3,2,0.236559139,11737
"Total","J.T. Realmuto","PHI",50,153,139,33,25,4,1,3,20,12,10,0,39,3,1,0,2,1,2,0.237410071,11739
"Total","Joc Pederson","ARI",80,260,217,58,34,11,0,13,31,38,27,1,60,9,3,1,3,4,1,0.267281105,11899
"Total","Nick Martini","CIN",43,121,106,21,16,2,1,2,14,14,8,0,30,3,3,0,1,1,2,0.198113207,12005
"Total","Jon Berti","NYY",14,36,33,10,9,0,0,1,5,5,3,0,7,0,0,0,1,3,1,0.303030303,12037
"Total","Niko Goodrum","2 Tms",11,25,23,2,2,0,0,0,0,0,1,0,9,0,0,1,0,1,0,0.086956521,12092
"Total","Max Kepler","MIN",75,237,214,56,35,15,1,5,30,28,17,0,44,3,2,0,2,1,0,0.261682242,12144
"Total","Nick Ahmed","2 Tms",42,95,87,17,12,4,0,1,7,7,3,0,20,0,2,3,3,0,0,0.195402298,12147
"Total","Eddie Rosario","2 Tms",75,243,227,41,22,11,0,8,27,27,12,0,61,0,3,1,2,7,1,0.18061674,12155
"Total","Austin Barnes","LAD",27,68,62,14,12,1,0,1,5,6,5,0,21,0,0,1,1,1,0,0.225806451,12158
"Total","Ben Gamel","NYM",6,10,7,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,12160
"Total","Xander Bogaerts","SDP",48,149,143,34,27,4,0,3,14,6,6,0,31,0,0,0,3,2,0,0.237762237,12161
"Total","Miguel Sano","LAA",23,69,61,13,9,2,0,2,8,6,5,0,29,2,1,0,1,0,0,0.213114754,12164
"Total","Jace Peterson","ARI",12,24,20,1,1,0,0,0,2,1,3,0,5,0,1,0,1,0,0,0.05,12325
"Total","Kevin Pillar","2 Tms",49,119,106,23,15,4,0,4,18,18,7,0,23,4,1,1,4,6,2,0.216981132,12434
"Total","Curt Casali","SFG",13,29,23,4,4,0,0,0,3,2,4,0,3,1,0,1,2,0,0,0.173913043,12510
"Total","Marcus Semien","TEX",95,321,291,65,43,11,0,11,44,35,28,1,43,1,1,0,4,2,1,0.223367697,12533
"Total","Eugenio Suarez","ARI",87,261,232,50,25,14,2,9,25,39,20,0,72,6,3,0,2,2,0,0.215517241,12552
"Total","Trevor Story","BOS",4,10,10,3,1,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0.3,12564
"Total","George Springer","TOR",87,292,262,61,39,13,1,8,35,30,26,0,51,2,1,0,8,8,0,0.232824427,12856
"Total","James McCann","BAL",33,74,68,14,10,3,0,1,9,6,5,0,16,0,1,0,1,1,0,0.205882352,12859
"Total","Anthony Rendon","LAA",28,112,99,25,20,5,0,0,11,5,10,0,21,1,2,0,2,3,1,0.252525252,12861
"Total","Francisco Lindor","NYM",93,330,288,73,42,17,0,14,45,42,32,0,62,7,3,0,3,13,3,0.253472222,12916
"Total","Brandon Nimmo","NYM",88,303,252,59,36,10,1,12,44,46,46,1,76,5,0,0,3,5,0,0.234126984,12927
"Total","Austin Hedges","CLE",21,41,39,5,3,2,0,0,4,4,2,0,16,0,0,0,1,2,0,0.128205128,12976
"Total","Javier Baez","DET",55,170,159,29,19,9,0,1,12,20,6,0,37,2,3,0,7,5,1,0.182389937,12979
"Total","Teoscar Hernandez","LAD",90,304,271,72,46,14,1,11,30,45,27,0,83,4,1,0,3,4,1,0.265682656,13066
