Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Paul Goldschmidt","STL",231,791,698,168,107,31,0,30,96,87,86,2,205,4,2,0,17,11,2,0.240687679,9218
"Total","Starling Marte","NYM",137,429,398,97,78,8,2,9,56,42,21,0,90,8,1,1,13,28,3,0.243718592,9241
"Total","AJ Pollock","2 Tms",34,64,59,12,4,4,0,4,8,11,4,0,16,0,1,0,1,0,0,0.20338983,9256
"Total","Evan Longoria","ARI",54,120,106,23,14,3,0,6,13,12,12,0,40,0,2,0,3,0,0,0.216981132,9368
"Total","Yan Gomes","CHC",126,355,325,79,59,13,1,6,32,40,15,0,87,9,5,1,8,1,0,0.243076923,9627
"Total","Christian Vazquez","MIN",139,404,369,76,58,14,0,4,32,32,26,1,87,2,2,5,15,0,1,0.205962059,9774
"Total","Nolan Arenado","STL",218,729,661,183,126,30,1,26,77,100,53,3,130,5,9,0,19,3,3,0.276853252,9777
"Total","Andrew McCutchen","PIT",175,533,453,113,78,17,1,17,67,47,72,2,131,5,3,0,12,9,3,0.249448123,9847
"Total","DJ LeMahieu","NYY",159,528,471,112,75,23,3,11,49,41,54,2,111,2,0,1,17,2,3,0.237791932,9874
"Total","Darin Ruf","2 Tms",10,17,16,3,2,1,0,0,1,0,1,0,6,0,0,0,0,0,0,0.1875,9929
"Total","Trayce Thompson","2 Tms",50,98,85,17,11,2,0,4,9,11,12,0,37,1,0,0,1,2,0,0.2,9952
"Total","Christian Bethancourt","2 Tms",113,316,299,66,44,14,0,8,41,29,11,0,84,1,2,3,5,1,0,0.220735785,10028
"Total","Chris Owings","PIT",5,8,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10030
"Total","Wil Myers","CIN",35,101,89,17,13,2,0,2,8,8,11,0,31,0,0,1,2,2,1,0.191011235,10047
"Total","Mike Trout","LAA",105,373,316,80,40,12,3,25,57,48,48,1,102,7,2,0,4,6,1,0.253164556,10155
"Total","Shelby Miller","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10197
"Total","Billy Hamilton","CHW",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,10199
"Total","Tucker Barnhart","2 Tms",66,169,145,29,25,3,0,1,14,12,21,0,51,1,1,1,4,1,0,0.2,10200
"Total","Jose Iglesias","NYM",14,30,29,8,6,1,0,1,2,8,1,0,2,0,0,0,1,0,1,0.275862068,10231
"Total","Randal Grichuk","3 Tms",145,387,359,88,50,27,1,10,47,34,20,0,86,6,2,0,10,1,0,0.245125348,10243
"Total","Brandon Belt","TOR",102,362,302,77,37,21,0,19,49,40,57,1,125,2,1,0,5,0,0,0.254966887,10264
"Total","Rafael Ortega","2 Tms",49,114,93,16,13,2,0,1,16,7,19,0,26,1,1,0,1,6,1,0.17204301,10323
"Total","Marcell Ozuna","ATL",222,715,636,173,94,32,1,46,96,126,70,1,172,5,4,0,12,0,0,0.272012578,10324
"Total","Jon Singleton","2 Tms",96,267,231,51,39,6,0,6,33,26,34,0,64,0,2,0,3,0,0,0.22077922,10441
"Total","Enrique Hernandez","2 Tms",176,464,429,96,64,23,0,9,50,53,30,0,105,2,3,0,17,3,1,0.223776223,10472
"Total","Carlos Perez","OAK",40,93,77,12,9,0,0,3,9,6,11,0,25,2,2,1,1,0,0,0.155844155,10642
"Total","Gio Urshela","2 Tms",112,339,318,88,74,10,1,3,25,37,16,0,52,2,3,0,11,3,1,0.276729559,10681
"Total","Corey Dickerson","WSN",49,138,131,33,24,6,1,2,10,17,6,0,26,0,1,0,3,0,1,0.251908396,10762
"Total","Jurickson Profar","2 Tms",203,634,549,142,98,27,1,16,75,74,68,0,116,8,6,2,13,5,1,0.258652094,10815
"Total","Adam Duvall","2 Tms",143,388,358,74,35,18,2,19,42,50,22,0,121,5,3,0,2,3,0,0.20670391,10950
"Total","Kevin Kiermaier","TOR",158,450,409,98,60,21,7,10,64,41,29,0,109,3,5,4,8,14,0,0.239608801,11038
"Total","Kole Calhoun","CLE",42,124,110,25,17,5,0,3,12,15,12,0,29,0,2,0,2,0,1,0.227272727,11200
"Total","Jonathan Schoop","DET",34,80,75,13,9,4,0,0,8,4,5,0,21,0,0,0,5,0,0,0.173333333,11265
"Total","Whit Merrifield","2 Tms",179,528,484,129,101,20,0,8,63,56,35,1,91,5,3,1,12,23,7,0.266528925,11281
"Total","Jake Marisnick","2 Tms",26,61,56,12,8,2,1,1,5,4,2,0,16,2,1,0,2,0,2,0.214285714,11339
"Total","Jesus Aguilar","OAK",23,52,51,9,6,2,0,1,3,1,1,0,19,0,0,0,2,0,0,0.176470588,11342
"Total","Yasmani Grandal","2 Tms",140,392,355,76,54,15,0,7,27,34,31,0,73,3,3,0,11,1,0,0.214084507,11368
"Total","Drew Maggi","PIT",2,3,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.666666666,11381
"Total","Gary Sanchez","3 Tms",107,297,262,53,30,10,0,13,28,39,25,0,81,7,3,0,7,0,0,0.202290076,11442
"Total","Mark Canha","3 Tms",198,595,515,124,89,26,0,9,58,68,52,0,103,23,5,0,15,9,1,0.240776699,11445
"Total","Christian Yelich","MIL",197,659,567,174,110,38,3,23,118,92,86,9,138,3,2,0,12,35,4,0.306878306,11477
"Total","Henry Ramos","CIN",23,60,50,12,9,2,1,0,7,4,10,0,13,0,0,0,2,1,1,0.24,11481
"Total","Michael A. Taylor","2 Tms",155,391,356,73,51,9,0,13,41,37,26,0,135,2,2,5,8,18,2,0.205056179,11489
"Total","Manny Machado","SDP",214,705,649,164,107,26,0,31,86,105,50,3,135,1,5,0,32,5,1,0.252696456,11493
"Total","Bryce Harper","PHI",187,579,482,143,86,31,0,26,95,79,89,14,118,4,4,0,9,12,3,0.296680497,11579
"Total","Willson Contreras","STL",160,511,435,110,63,25,0,22,57,59,56,0,121,18,1,1,10,6,2,0.252873563,11609
"Total","Brandon Drury","LAA",155,499,461,111,60,28,3,20,55,73,24,0,123,9,5,0,14,0,2,0.240780911,11615
"Total","Elias Diaz","COL",190,552,510,153,110,29,0,14,49,79,34,1,123,4,4,0,9,1,0,0.3,11680
"Total","Nick Castellanos","PHI",240,753,699,172,107,36,2,27,85,96,44,0,194,4,6,0,23,11,4,0.246065808,11737
"Total","J.T. Realmuto","PHI",178,530,482,117,74,25,2,16,64,60,33,0,134,8,6,0,10,13,6,0.242738589,11739
"Total","Joc Pederson","2 Tms",192,610,515,135,82,24,3,26,84,85,73,6,128,12,6,1,14,4,1,0.262135922,11899
"Total","Hanser Alberto","CHW",26,74,68,13,8,3,0,2,7,10,4,0,12,0,1,1,1,0,0,0.19117647,11902
"Total","Nick Martini","CIN",74,196,174,41,24,5,2,10,26,37,13,0,41,5,3,0,2,1,2,0.235632183,12005
"Total","Jon Berti","2 Tms",133,336,304,86,68,10,2,6,38,31,25,2,57,2,3,2,10,14,4,0.282894736,12037
"Total","Niko Goodrum","2 Tms",11,25,23,2,2,0,0,0,0,0,1,0,9,0,0,1,0,1,0,0.086956521,12092
"Total","Juniel Querecuto","STL",5,13,13,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0.076923076,12140
"Total","Max Kepler","MIN",187,598,534,141,82,33,1,25,83,84,51,0,122,6,6,0,7,2,1,0.264044943,12144
"Total","Nick Ahmed","2 Tms",88,188,173,42,28,12,1,1,15,18,9,0,43,1,2,3,3,2,1,0.242774566,12147
"Total","Eddie Rosario","2 Tms",205,652,610,143,81,34,3,25,84,91,39,1,154,0,3,0,14,10,4,0.234426229,12155
"Total","Austin Barnes","LAD",73,200,179,37,30,5,0,2,17,12,17,0,48,1,2,1,4,3,0,0.20670391,12158
"Total","Ben Gamel","2 Tms",9,19,18,2,2,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0.111111111,12160
"Total","Xander Bogaerts","SDP",192,636,575,153,114,20,1,18,70,55,51,0,115,7,3,0,17,13,2,0.266086956,12161
"Total","Miguel Sano","LAA",25,74,66,13,9,2,0,2,8,6,5,0,33,2,1,0,1,0,0,0.196969696,12164
"Total","Jorge Alfaro","2 Tms",15,34,32,2,0,1,0,1,2,4,0,0,11,2,0,0,2,0,0,0.0625,12180
"Total","Rougned Odor","SDP",56,139,121,25,13,8,0,4,20,18,16,0,30,2,0,0,2,2,1,0.20661157,12282
"Total","Jace Peterson","2 Tms",137,390,338,70,52,8,4,6,34,35,44,2,90,4,3,1,7,15,2,0.207100591,12325
"Total","Tommy La Stella","SEA",11,21,18,4,3,1,0,0,2,2,3,0,5,0,0,0,0,0,0,0.222222222,12371
"Total","Taylor Motter","STL",19,52,49,9,8,1,0,0,3,1,3,0,17,0,0,0,0,0,0,0.183673469,12399
"Total","Kevin Pillar","3 Tms",87,197,178,38,24,7,0,7,29,32,11,0,40,4,3,1,4,7,2,0.213483146,12434
"Total","Curt Casali","2 Tms",37,87,71,13,12,1,0,0,9,7,10,0,21,3,0,3,1,0,0,0.183098591,12510
"Total","Kolten Wong","2 Tms",78,210,187,36,27,6,0,3,22,24,16,0,42,4,3,0,1,3,2,0.192513368,12532
"Total","Marcus Semien","TEX",239,821,737,184,115,33,2,34,127,113,74,1,114,3,6,0,9,12,3,0.249660786,12533
"Total","C.J. Cron","2 Tms",66,203,191,45,31,6,0,8,29,26,9,0,47,1,2,0,10,0,0,0.235602094,12546
"Total","Eugenio Suarez","2 Tms",238,772,675,150,91,32,2,25,75,111,67,0,227,19,11,0,5,4,1,0.222222222,12552
"Total","Trevor Story","BOS",49,157,148,30,19,9,0,2,7,14,8,0,50,1,0,0,1,7,4,0.202702702,12564
"Total","Brad Miller","TEX",23,59,48,10,6,4,0,0,7,4,10,0,7,0,1,0,1,0,0,0.208333333,12775
"Total","George Springer","TOR",224,796,716,176,121,30,1,24,96,80,69,1,147,7,3,0,25,23,4,0.245810055,12856
"Total","James McCann","BAL",81,182,161,39,26,10,0,3,24,19,11,0,45,5,2,3,4,4,1,0.242236024,12859
"Total","Anthony Rendon","LAA",59,192,161,41,34,6,0,1,25,16,20,0,29,6,5,0,3,3,1,0.254658385,12861
"Total","Francisco Lindor","NYM",229,772,677,161,91,43,2,25,112,92,73,0,159,14,8,0,7,34,6,0.237813884,12916
"Total","Brandon Nimmo","NYM",214,709,596,154,91,26,6,31,111,89,101,1,165,10,1,1,7,8,3,0.258389261,12927
"Total","Austin Hedges","3 Tms",75,169,152,30,24,6,0,0,12,15,7,0,44,1,2,6,4,2,0,0.197368421,12976
"Total","Michael Perez","NYM",2,6,6,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666,12977
"Total","Javier Baez","DET",177,558,527,109,78,22,3,6,47,62,16,0,135,9,5,0,16,14,1,0.206831119,12979
"Total","Cam Gallagher","CLE",38,97,92,11,8,3,0,0,6,5,3,0,35,1,1,0,3,0,0,0.119565217,12981
"Total","Jackie Bradley Jr.","KCR",32,77,73,10,6,3,0,1,5,3,2,0,17,2,0,0,3,0,0,0.136986301,12984
"Total","Teoscar Hernandez","2 Tms",240,804,730,184,120,31,3,30,81,107,56,0,242,11,6,0,9,9,2,0.252054794,13066
"Total","Josh Bell","2 Tms",214,670,602,144,100,24,1,19,63,70,54,1,143,7,4,0,13,0,0,0.239202657,13145
"Total","Jorge Polanco","2 Tms",128,419,360,76,44,17,0,15,41,43,52,1,131,4,3,0,4,5,1,0.211111111,13152
"Total","Orlando Arcia","ATL",215,648,605,149,102,32,0,15,63,66,32,0,121,5,6,0,20,1,0,0.246280991,13185
"Total","Michael Fulmer","CHC",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13218
"Total","Mike Zunino","CLE",35,92,84,12,5,5,0,2,3,6,7,0,40,1,0,0,2,0,0,0.142857142,13265
"Total","Max Muncy","LAD",162,522,428,103,47,23,1,32,90,103,84,6,146,1,9,0,5,1,1,0.240654205,13301
"Total","Ildemaro Vargas","WSN",128,286,252,57,45,10,1,1,31,25,24,0,19,0,4,6,10,4,4,0.226190476,13324
"Total","Jake Lamb","LAA",17,53,51,11,8,1,0,2,7,5,2,0,15,0,0,0,1,0,0,0.215686274,13329
"Total","Omar Narvaez","NYM",66,182,165,30,22,6,0,2,12,12,14,0,30,0,3,0,3,0,0,0.181818181,13338
"Total","Luke Maile","CIN",87,220,194,39,26,9,0,4,13,21,16,0,64,9,0,1,8,4,0,0.201030927,13355
"Total","Tyler Naquin","CHW",3,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13359
"Total","Christian Walker","ARI",238,778,687,178,94,44,2,38,104,114,69,2,163,11,10,0,12,12,2,0.259097525,13419
"Total","Tom Murphy","2 Tms",45,109,100,26,12,8,0,6,11,10,6,0,30,0,2,0,4,0,0,0.26,13499
"Total","Jose Ramirez","CLE",222,708,628,173,107,33,6,27,99,99,72,15,81,2,6,0,7,27,4,0.275477707,13510
"Total","Jesse Winker","2 Tms",138,421,348,85,60,15,0,10,52,55,60,1,91,9,2,2,5,6,3,0.244252873,13590
"Total","Patrick Wisdom","CHC",92,210,182,34,11,9,0,14,28,30,23,0,76,2,1,2,1,3,2,0.186813186,13602
"Total","Mookie Betts","LAD",205,729,619,190,119,36,3,32,119,102,100,0,107,6,4,0,5,16,3,0.306946688,13611
"Total","Ketel Marte","ARI",214,691,597,155,97,24,8,26,102,96,79,1,134,3,12,0,14,8,1,0.25963149,13613
"Total","Carson Kelly","2 Tms",86,246,225,50,36,7,1,6,21,33,16,0,57,4,1,0,2,1,0,0.222222222,13620
"Total","Jeimer Candelario","3 Tms",206,628,565,139,65,40,5,29,75,82,46,0,146,10,6,0,9,11,3,0.246017699,13621
"Total","Corey Seager","TEX",182,592,509,160,85,37,0,38,92,108,74,16,84,3,6,0,7,3,0,0.314341846,13624
"Total","Tyrone Taylor","2 Tms",119,285,264,61,32,18,0,11,46,41,12,0,62,6,2,1,7,10,1,0.231060606,13675
"Total","Jacob Stallings","2 Tms",118,323,281,56,40,13,0,3,23,26,32,0,73,5,2,3,13,0,0,0.199288256,13723
"Total","David Dahl","2 Tms",22,59,57,12,6,2,0,4,6,8,2,0,19,0,0,0,0,0,0,0.210526315,13744
"Total","Tomas Nido","2 Tms",48,106,102,20,14,3,0,3,12,6,3,0,24,0,0,1,2,0,0,0.196078431,13755
"Total","Chris Taylor","LAD",132,314,280,63,45,10,1,7,37,42,31,0,99,3,0,0,1,11,2,0.225,13757
"Total","Travis Jankowski","TEX",134,378,334,86,71,12,1,2,39,39,38,0,62,4,2,0,9,22,2,0.257485029,13768
"Total","Rob Refsnyder","BOS",94,197,169,39,26,11,1,1,22,19,18,0,47,5,2,1,7,4,3,0.23076923,13770
"Total","Matt Reynolds","CIN",2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13788
"Total","Matt Duffy","KCR",50,104,97,22,18,3,0,1,11,8,4,0,21,1,2,0,3,1,0,0.226804123,13836
"Total","Joey Wendle","2 Tms",108,315,295,63,44,14,3,2,28,20,13,0,67,2,3,2,6,8,1,0.213559322,13853
"Total","Anthony Bemboom","BAL",4,10,9,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.222222222,13854
"Total","Tyler Heineman","3 Tms",18,41,35,7,6,1,0,0,4,0,5,0,7,1,0,0,0,1,0,0.2,13897
"Total","Eric Haase","3 Tms",74,221,204,47,37,7,0,3,19,22,15,0,57,0,1,1,9,2,1,0.230392156,14111
"Total","Joey Gallo","2 Tms",143,387,324,58,22,13,1,22,47,45,59,1,165,3,1,0,2,2,1,0.179012345,14128
"Total","Daniel Vogelbach","2 Tms",133,377,326,76,50,12,0,14,34,56,49,1,89,2,0,0,9,0,0,0.233128834,14130
"Total","Byron Buxton","MIN",142,439,392,92,48,22,2,20,70,60,33,1,130,11,3,0,6,12,2,0.234693877,14161
"Total","Carlos Correa","MIN",197,663,589,148,90,36,3,19,78,81,64,1,151,5,5,0,28,0,0,0.251273344,14162
"Total","Andrew Velazquez","LAA",37,65,57,9,6,1,0,2,7,2,6,0,26,0,0,2,0,8,3,0.157894736,14196
"Total","Jorge Soler","2 Tms",208,669,591,136,77,30,0,29,78,76,66,3,166,5,6,0,19,1,0,0.230118443,14221
"Total","Mitch Haniger","2 Tms",123,360,326,70,39,18,0,13,38,49,29,0,103,3,2,0,7,0,0,0.214723926,14274
"Total","Matt Olson","ATL",235,787,664,179,92,34,2,51,127,135,117,10,186,5,1,0,9,1,0,0.269578313,14344
"Total","Raimel Tapia","3 Tms",59,140,125,33,25,4,1,3,25,12,13,0,29,0,1,0,2,10,2,0.264,14350
"Total","Joey Meneses","WSN",214,684,629,166,124,29,0,13,67,99,43,0,137,5,7,0,14,0,0,0.263910969,14366
"Total","Harold Ramirez","2 Tms",154,433,399,109,83,16,2,8,54,67,21,0,83,6,7,0,5,7,4,0.273182957,14387
"Total","Jake Cave","2 Tms",117,321,292,74,52,12,4,6,37,33,24,1,78,1,4,0,8,5,1,0.253424657,14477
"Total","Anthony Santander","BAL",226,743,682,170,88,40,2,40,96,118,48,1,148,9,4,0,7,5,1,0.249266862,14551
"Total","Franmil Reyes","KCR",15,42,37,7,6,0,0,1,3,4,4,0,16,0,1,0,1,0,0,0.189189189,14566
"Total","Franchy Cordero","NYY",22,65,63,11,4,2,0,5,8,12,2,0,23,0,0,0,0,0,0,0.174603174,14567
"Total","David Bote","CHC",8,14,13,5,5,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0.384615384,14593
"Total","Harold Castro","COL",86,234,223,61,48,12,0,1,21,28,9,0,53,0,1,1,4,1,0,0.2735426,14691
"Total","Manuel Margot","2 Tms",136,342,313,73,49,20,1,3,41,32,21,0,51,7,1,0,7,9,3,0.233226837,14712
"Total","Brett Phillips","LAA",23,54,49,10,6,1,0,3,7,4,5,0,30,0,0,0,0,1,1,0.204081632,14735
"Total","Yu Chang","BOS",34,88,82,13,8,1,0,4,8,14,3,0,27,1,0,2,2,4,0,0.158536585,14773
"Total","Luke Voit","MIL",18,41,35,12,10,2,0,0,5,4,4,0,7,2,0,0,2,2,0,0.342857142,14811
"Total","Kyle Farmer","MIN",137,320,291,64,41,13,1,9,44,39,20,0,77,9,0,0,5,1,4,0.219931271,14813
"Total","Mike Yastrzemski","SFG",165,483,420,99,49,27,4,19,67,55,56,4,128,4,1,2,5,2,1,0.235714285,14854
"Total","Tony Kemp","2 Tms",123,362,316,59,43,11,1,4,35,21,35,0,33,5,3,3,9,11,3,0.18670886,14894
"Total","Johan Camargo","SFG",6,15,13,2,2,0,0,0,0,2,1,0,3,1,0,0,2,0,0,0.153846153,14950
"Total","Victor Caratini","2 Tms",94,260,233,58,41,5,1,11,28,36,20,0,47,3,4,0,7,1,0,0.248927038,14968
"Total","Jonathan Davis","MIA",30,85,75,16,11,3,0,2,19,10,5,0,26,1,2,1,1,1,2,0.213333333,15104
"Total","Ryan McMahon","COL",226,707,620,162,94,37,3,28,95,91,79,4,209,1,5,0,15,7,6,0.261290322,15112
"Total","Hunter Dozier","KCR",24,61,57,10,8,1,1,0,5,7,3,0,21,0,1,0,0,2,0,0.175438596,15117
"Total","Tim Locastro","NYM",20,19,16,6,4,1,0,1,6,2,1,0,5,2,0,0,0,6,0,0.375,15124
"Total","Trey Mancini","CHC",62,151,138,33,25,6,0,2,17,14,10,0,43,0,1,0,3,0,0,0.239130434,15149
"Total","Mitch Garver","2 Tms",156,473,413,86,46,15,0,25,51,60,51,0,144,6,2,0,12,0,0,0.208232445,15161
"Total","Tim Anderson","2 Tms",172,538,512,110,95,13,2,0,39,26,21,0,137,3,2,0,15,9,4,0.21484375,15172
"Total","Jake Bauers","2 Tms",142,422,370,77,38,20,1,18,45,57,46,1,143,3,3,0,2,10,3,0.208108108,15194
"Total","Brandon Dixon","SDP",21,44,41,10,6,3,0,1,5,2,0,0,15,3,0,0,1,1,0,0.243902439,15214
"Total","Adam Frazier","2 Tms",192,532,481,113,74,24,2,13,60,58,39,0,88,5,2,4,3,9,4,0.234927234,15223
"Total","Austin Wynns","3 Tms",41,102,91,18,13,4,0,1,10,6,6,0,24,2,1,2,2,1,0,0.197802197,15271
"Total","Mike Tauchman","CHC",167,549,462,118,83,22,1,12,83,59,78,1,114,5,4,0,6,8,2,0.255411255,15274
"Total","Garrett Cooper","4 Tms",140,413,381,84,56,16,0,12,31,45,28,0,117,3,1,0,16,0,0,0.22047244,15279
"Total","Jeff McNeil","NYM",217,656,597,143,103,25,2,13,78,53,41,0,73,13,4,1,7,8,1,0.239530988,15362
"Total","Kris Bryant","COL",98,337,295,67,51,7,0,9,33,33,33,0,80,9,0,0,10,0,0,0.227118644,15429
"Total","Hunter Renfroe","3 Tms",189,574,519,119,63,34,0,22,59,67,52,0,122,2,1,0,16,0,0,0.22928709,15464
"Total","J.P. Crawford","SEA",197,647,544,129,74,34,1,20,86,59,92,1,135,5,3,3,5,5,0,0.237132352,15491
"Total","Jamie Westbrook","BOS",6,7,6,1,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0.166666666,15504
"Total","Amed Rosario","3 Tms",175,498,469,124,95,17,8,4,60,52,23,0,95,3,3,0,13,11,2,0.264392324,15518
"Total","Mike Ford","2 Tms",96,271,242,49,26,5,1,17,31,36,22,0,85,6,1,0,4,0,0,0.202479338,15585
"Total","Aaron Judge","NYY",188,682,556,157,70,34,1,52,123,119,117,12,183,4,4,0,12,6,1,0.2823741,15640
"Total","Dominic Smith","2 Tms",188,568,504,125,87,25,1,12,55,50,49,1,93,13,2,0,12,2,2,0.248015873,15653
"Total","Billy McKinney","NYY",46,137,119,26,16,3,1,6,19,13,16,1,36,1,1,0,1,0,0,0.218487394,15654
"Total","Austin Meadows","DET",4,14,14,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.142857142,15672
"Total","Reese McGuire","BOS",111,304,272,63,46,13,1,3,17,22,23,0,77,1,3,2,4,4,1,0.231617647,15674
"Total","Jose Abreu","HOU",159,491,451,98,72,13,1,12,50,71,28,0,116,7,5,0,13,0,1,0.2172949,15676
"Total","Rowdy Tellez","2 Tms",168,501,453,109,73,16,1,19,48,71,41,2,110,1,6,0,16,1,0,0.240618101,15679
