Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Starling Marte","NYM",78,169,154,45,33,8,1,3,19,16,11,1,35,2,0,2,1,6,0,0.292207792,9241
"Total","AJ Pollock","2 Tms",43,80,74,10,9,0,0,1,7,4,5,0,16,0,1,0,0,0,1,0.135135135,9256
"Total","Evan Longoria","ARI",49,113,101,23,13,5,0,5,11,16,11,0,33,0,1,0,4,0,0,0.227722772,9368
"Total","Yan Gomes","CHC",75,156,144,37,21,9,1,6,19,29,8,1,30,1,3,0,2,0,0,0.256944444,9627
"Total","Christian Vazquez","MIN",72,127,121,29,18,5,0,6,15,16,4,0,32,0,2,0,2,3,0,0.239669421,9774
"Total","Nolan Arenado","STL",112,230,213,50,33,9,1,7,26,27,11,2,26,2,4,0,7,1,1,0.234741784,9777
"Total","Andrew McCutchen","PIT",112,260,217,50,33,10,0,7,33,20,38,0,55,4,1,0,3,4,1,0.230414746,9847
"Total","DJ LeMahieu","NYY",71,149,125,28,22,2,0,4,16,13,20,0,29,1,3,0,4,0,0,0.224,9874
"Total","Darin Ruf","2 Tms",18,40,33,8,6,2,0,0,2,3,7,0,10,0,0,0,0,0,0,0.242424242,9929
"Total","Trayce Thompson","2 Tms",47,81,68,8,6,0,0,2,8,6,12,0,40,1,0,0,0,0,0,0.117647058,9952
"Total","Christian Bethancourt","2 Tms",55,101,96,18,8,5,0,5,17,11,4,0,29,0,1,0,2,0,0,0.1875,10028
"Total","Chris Owings","PIT",6,17,17,4,4,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0.235294117,10030
"Total","Wil Myers","CIN",18,36,35,6,4,1,0,1,3,4,0,0,15,0,1,0,1,0,0,0.171428571,10047
"Total","Mike Trout","LAA",53,111,98,25,19,3,0,3,14,10,12,2,29,1,0,0,0,2,0,0.25510204,10155
"Total","Billy Hamilton","CHW",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10199
"Total","Tucker Barnhart","2 Tms",35,50,45,7,4,3,0,0,5,3,4,0,22,0,0,1,0,1,0,0.155555555,10200
"Total","Jose Iglesias","NYM",18,37,34,13,8,5,0,0,6,4,2,1,4,1,0,0,0,1,0,0.382352941,10231
"Total","Randal Grichuk","3 Tms",120,231,207,66,40,15,2,9,36,30,19,2,30,3,2,0,5,1,2,0.318840579,10243
"Total","Brandon Belt","TOR",23,38,33,8,7,1,0,0,4,3,4,0,14,0,1,0,0,0,0,0.242424242,10264
"Total","Rafael Ortega","2 Tms",24,39,35,10,9,1,0,0,4,2,3,0,11,0,0,1,0,2,0,0.285714285,10323
"Total","Marcell Ozuna","ATL",125,244,215,68,35,16,0,17,39,46,29,1,50,0,0,0,5,0,0,0.316279069,10324
"Total","Jon Singleton","HOU",37,71,62,13,9,1,0,3,8,8,9,0,21,0,0,0,1,0,0,0.209677419,10441
"Total","Enrique Hernandez","2 Tms",130,241,216,50,38,6,0,6,23,21,20,1,34,1,4,0,7,1,0,0.231481481,10472
"Total","Carlos Perez","OAK",50,96,91,26,19,4,0,3,8,14,2,0,15,2,1,0,3,0,0,0.285714285,10642
"Total","Gio Urshela","2 Tms",60,107,101,26,21,4,0,1,10,8,5,0,16,0,1,0,7,0,1,0.257425742,10681
"Total","Corey Dickerson","WSN",12,13,12,3,2,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0.25,10762
"Total","Jurickson Profar","2 Tms",120,259,227,69,45,16,1,7,32,31,28,1,30,3,1,0,8,1,1,0.303964757,10815
"Total","Adam Duvall","2 Tms",92,193,170,43,20,14,0,9,22,29,17,1,54,3,3,0,1,1,0,0.252941176,10950
"Total","Kevin Kiermaier","TOR",82,133,122,29,22,5,1,1,11,8,8,0,37,2,0,1,4,5,1,0.237704918,11038
"Total","Kole Calhoun","CLE",30,50,47,9,4,2,0,3,6,10,1,0,8,2,0,0,1,0,0,0.191489361,11200
"Total","Jonathan Schoop","DET",38,68,59,16,12,4,0,0,7,3,7,0,14,0,2,0,1,0,0,0.27118644,11265
"Total","Whit Merrifield","2 Tms",109,229,212,50,33,11,0,6,22,21,14,1,27,0,3,0,5,14,4,0.235849056,11281
"Total","Jake Marisnick","3 Tms",15,22,20,6,3,1,1,1,5,6,1,0,5,0,0,1,2,2,1,0.3,11339
"Total","Jesus Aguilar","OAK",26,59,50,14,10,0,0,4,5,8,6,1,10,1,1,0,1,0,0,0.28,11342
