Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Patrick Corbin","WSN",20,389,5.26102941,103,20,7,56,53,11,27,0,2,65,0.291784702,0.341085271,0.481586402,0.35261670055315475,9323
"Total","Dallas Keuchel","MIL",4,59,5.25,18,4,1,7,7,2,7,0,0,3,0.352941176,0.423728813,0.588235294,0.4286677645424665,9434
"Total","Joe Kelly","LAD",16,31,4,7,0,0,4,4,0,1,0,0,9,0.233333333,0.258064516,0.233333333,0.22175584877690963,9761
"Total","Miles Mikolas","STL",20,252,5.13586957,66,16,0,36,35,9,6,0,2,37,0.272727272,0.294820717,0.450413223,0.3205393422172364,9803
"Total","Tyler Matzek","ATL",10,25,15.18750001,8,1,0,9,9,2,2,0,0,5,0.347826086,0.4,0.652173913,0.4468519616127014,10058
"Total","Brooks Raley","NYM",7,18,0,2,1,0,0,0,0,3,0,0,5,0.142857142,0.277777777,0.214285714,0.23397034737798902,10061
"Total","Caleb Thielbar","MIN",32,60,8.73529412,18,2,0,11,11,4,7,1,0,11,0.36,0.423728813,0.64,0.4394748334226937,10078
"Total","Kyle Gibson","STL",19,220,3.45731707,49,5,0,22,21,5,16,0,0,54,0.242574257,0.296803652,0.341584158,0.2834505759962073,10123
"Total","Shelby Miller","DET",26,72,7.2,18,5,0,12,12,5,4,0,4,10,0.285714285,0.361111111,0.603174603,0.4068390081326167,10197
"Total","Tucker Barnhart","ARI",1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.22087334096431732,10200
"Total","Aroldis Chapman","PIT",41,112,4.78481013,17,4,1,16,14,3,20,0,0,46,0.186813186,0.330357142,0.351648351,0.3085003649549825,10233
"Total","Zack Wheeler","PHI",19,208,1.8,29,4,0,14,11,3,10,0,5,65,0.152631578,0.212560386,0.221052631,0.19878500268079233,10310
"Total","Erasmo Ramirez","TBR",11,35,5.78571429,6,0,0,7,6,3,2,0,1,7,0.1875,0.257142857,0.46875,0.31215374980654037,10314
"Total","Michael Tonkin","3 Tms",34,137,1.63636364,23,5,0,13,6,2,11,0,5,39,0.19327731,0.284671532,0.285714285,0.2608586436640607,10315
"Total","Enrique Hernandez","LAD",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10472
"Total","Scott Alexander","OAK",23,49,5.10810811,10,3,0,7,7,2,5,4,0,6,0.243902439,0.319148936,0.463414634,0.30226512703784675,10591
"Total","Chris Sale","ATL",18,358,2.96703297,66,14,2,30,30,6,21,0,4,114,0.19879518,0.25490196,0.307228915,0.2504154877836297,10603
"Total","Merrill Kelly","ARI",3,33,3,8,1,0,3,3,1,2,0,0,7,0.258064516,0.303030303,0.387096774,0.30293557138154004,11156
"Total","Tommy Kahnle","NYY",24,50,3.85714286,11,3,0,7,5,3,6,0,0,11,0.25,0.34,0.522727272,0.3701041567325592,11384
"Total","Jose Quintana","NYM",19,336,4.34745763,72,15,0,39,38,13,31,0,7,63,0.243243243,0.328358208,0.425675675,0.33114890625227744,11423
"Total","Robbie Ray","SFG",1,14,2.45454545,0,0,0,1,1,0,1,0,2,5,0,0.214285714,0,0.1523112654685974,11486
"Total","Joely Rodriguez","BOS",8,22,10.12500001,7,2,0,6,6,2,0,0,0,5,0.333333333,0.318181818,0.714285714,0.4219271080060439,11487
"Total","Jose Urena","TEX",23,160,3.49137931,37,7,0,16,15,5,14,0,0,26,0.255172413,0.31875,0.406896551,0.3177680794149637,11589
"Total","Jameson Taillon","CHC",17,202,3.85714286,49,5,0,26,22,7,4,0,0,35,0.252577319,0.265,0.386597938,0.2807239666581154,11674
"Total","Luke Jackson","SFG",34,89,4.43283582,19,4,0,11,11,2,6,0,1,21,0.234567901,0.295454545,0.358024691,0.28970983827655966,11752
"Total","Drew Smyly","CHC",26,92,3.17647059,15,4,0,9,8,4,10,2,0,22,0.185185185,0.27173913,0.382716049,0.2774234248532189,11760
"Total","Hector Neris","CHC",35,75,5.19230769,19,6,0,11,10,3,6,1,1,17,0.287878787,0.356164383,0.515151515,0.37122230066193473,11804
"Total","James Paxton","LAD",18,324,4.75,66,16,1,39,38,10,45,0,1,54,0.242647058,0.346749226,0.419117647,0.3360042751019953,11828
"Total","Taijuan Walker","PHI",10,107,4.2631579,24,4,0,12,12,5,9,0,2,22,0.25,0.327102803,0.447916666,0.3385638449793664,11836
"Total","Chris Martin","BOS",22,42,4.21875,10,1,0,6,5,2,1,0,2,9,0.256410256,0.309523809,0.435897435,0.3259687608196622,11847
"Total","Jason Adam","TBR",42,95,3,12,0,1,11,8,2,10,2,3,24,0.148148148,0.263157894,0.24691358,0.2295247386860591,11861
"Total","Matt Andriese","MIA",4,15,4.9090909,4,1,0,2,2,1,0,0,0,5,0.266666666,0.266666666,0.533333333,0.3388629913330078,12022
