Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Michael A. Taylor","PIT",32,60,53,9,6,1,1,1,9,3,4,0,19,0,1,2,0,0,0,0.16981132,11489
"Total","Manny Machado","SDP",43,92,83,20,14,3,0,3,9,11,9,3,19,0,0,0,2,2,0,0.240963855,11493
"Total","Bryce Harper","PHI",58,128,110,35,17,11,0,7,14,22,17,1,33,0,1,0,6,1,1,0.318181818,11579
"Total","Willson Contreras","STL",19,44,34,11,5,4,0,2,6,6,10,1,9,0,0,0,4,2,1,0.323529411,11609
"Total","Brandon Drury","LAA",19,31,28,6,5,1,0,0,2,2,2,0,7,0,1,0,0,0,0,0.214285714,11615
"Total","Elias Diaz","COL",31,68,64,20,14,5,0,1,4,8,3,1,8,0,1,0,2,0,0,0.3125,11680
"Total","Nick Castellanos","PHI",52,99,93,21,14,1,0,6,12,18,5,0,27,0,1,0,2,0,0,0.225806451,11737
"Total","J.T. Realmuto","PHI",31,70,67,20,13,4,0,3,7,7,3,0,18,0,0,0,1,0,0,0.298507462,11739
"Total","Joc Pederson","ARI",17,19,15,2,0,1,0,1,3,1,3,0,10,1,0,0,0,0,0,0.133333333,11899
"Total","Nick Martini","CIN",20,33,32,6,3,1,1,1,6,3,0,0,8,1,0,0,0,0,1,0.1875,12005
"Total","Jon Berti","NYY",9,20,18,4,4,0,0,0,1,0,1,0,4,0,0,1,0,1,0,0.222222222,12037
"Total","Scott McGough","ARI",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12056
"Total","Niko Goodrum","2 Tms",4,8,6,1,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0.166666666,12092
"Total","Max Kepler","MIN",33,39,36,10,7,2,0,1,3,5,1,0,8,1,1,0,0,0,0,0.277777777,12144
"Total","Nick Ahmed","SFG",36,69,61,18,15,1,1,1,7,7,7,0,14,0,1,0,3,1,1,0.295081967,12147
"Total","Eddie Rosario","WSN",24,30,26,4,4,0,0,0,2,1,3,0,4,0,0,1,1,1,0,0.153846153,12155
"Total","Austin Barnes","LAD",12,27,23,6,5,1,0,0,2,2,3,0,3,0,0,1,0,0,0,0.260869565,12158
"Total","Ben Gamel","NYM",3,2,2,1,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0.5,12160
"Total","Xander Bogaerts","SDP",21,48,43,9,6,2,0,1,5,4,4,0,5,0,1,0,0,3,0,0.209302325,12161
"Total","Miguel Sano","LAA",10,20,16,3,2,1,0,0,1,0,4,0,3,0,0,0,1,0,0,0.1875,12164
"Total","Jace Peterson","ARI",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12325
"Total","Kevin Pillar","2 Tms",35,65,61,23,13,6,1,3,7,12,2,0,11,2,0,0,1,2,0,0.37704918,12434
"Total","Curt Casali","SFG",14,33,29,7,5,2,0,0,2,2,4,0,6,0,0,0,0,0,0,0.24137931,12510
"Total","Marcus Semien","TEX",49,111,100,29,18,6,1,4,18,14,11,0,16,0,0,0,0,1,1,0.29,12533
"Total","Eugenio Suarez","ARI",42,92,77,13,12,1,0,0,10,4,12,0,32,1,2,0,2,0,0,0.168831168,12552
"Total","Trevor Story","BOS",3,6,4,1,0,1,0,0,1,1,2,1,2,0,0,0,0,0,0,0.25,12564
"Total","George Springer","TOR",41,76,64,13,8,2,0,3,8,8,11,0,14,0,1,0,3,2,0,0.203125,12856
"Total","James McCann","BAL",24,58,57,11,7,2,0,2,6,8,1,0,13,0,0,0,2,0,0,0.192982456,12859
"Total","Anthony Rendon","LAA",5,9,8,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.125,12861
"Total","Francisco Lindor","NYM",43,101,92,29,14,10,0,5,20,12,6,0,10,3,0,0,2,7,0,0.315217391,12916
"Total","Brandon Nimmo","NYM",47,95,84,23,12,7,1,3,14,13,5,0,21,6,0,0,1,3,0,0.273809523,12927
"Total","Austin Hedges","CLE",13,31,29,3,2,0,0,1,3,2,1,0,12,1,0,0,1,0,0,0.103448275,12976
"Total","Javier Baez","DET",20,42,40,8,6,1,0,1,5,8,2,0,5,0,0,0,2,0,0,0.2,12979
"Total","Teoscar Hernandez","LAD",40,87,82,22,12,4,0,6,11,14,5,1,20,0,0,0,3,0,1,0.268292682,13066
"Total","Josh Bell","MIA",52,115,105,23,14,6,0,3,7,14,8,1,16,0,2,0,4,0,0,0.219047619,13145
"Total","Jorge Polanco","SEA",20,47,45,10,9,1,0,0,3,4,2,0,11,0,0,0,2,0,1,0.222222222,13152
"Total","Orlando Arcia","ATL",39,84,76,12,7,5,0,0,6,5,5,1,22,0,3,0,3,0,0,0.157894736,13185
"Total","Max Muncy","LAD",23,36,29,4,1,2,0,1,5,2,4,0,11,2,1,0,1,0,0,0.137931034,13301
"Total","Ildemaro Vargas","WSN",28,74,68,19,12,7,0,0,5,5,4,0,10,1,0,1,2,2,0,0.279411764,13324
"Total","Omar Narvaez","NYM",5,6,4,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.25,13338
"Total","Luke Maile","CIN",19,36,31,6,5,0,0,1,4,5,4,0,10,0,1,0,1,0,0,0.193548387,13355
"Total","Christian Walker","ARI",44,96,87,25,18,3,0,4,16,16,8,1,24,0,1,0,3,0,0,0.287356321,13419
"Total","Tom Murphy","SFG",7,16,14,1,1,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0.071428571,13499
"Total","Jose Ramirez","CLE",57,109,100,38,21,9,0,8,27,26,8,2,13,0,1,0,2,7,2,0.38,13510
"Total","Jesse Winker","WSN",53,92,79,20,13,6,0,1,9,9,10,0,27,2,1,0,2,6,1,0.253164556,13590
"Total","Patrick Wisdom","CHC",31,61,53,12,7,2,1,2,7,10,4,0,20,3,1,0,0,4,0,0.226415094,13602
"Total","Mookie Betts","LAD",41,89,81,24,18,4,1,1,9,7,8,0,7,0,0,0,2,1,1,0.296296296,13611
"Total","Ketel Marte","ARI",53,129,117,39,19,9,0,11,20,25,10,5,20,2,0,0,3,1,0,0.333333333,13613
"Total","Carson Kelly","DET",18,28,25,6,5,1,0,0,4,1,3,0,6,0,0,0,1,0,0,0.24,13620
"Total","Jeimer Candelario","CIN",54,103,90,22,15,7,0,0,9,7,11,0,22,2,0,0,3,0,1,0.244444444,13621
"Total","Corey Seager","TEX",53,102,99,25,18,3,0,4,10,6,2,0,30,1,0,0,1,0,0,0.252525252,13624
"Total","Tyrone Taylor","NYM",40,63,61,13,9,2,1,1,6,2,2,0,14,0,0,0,2,2,0,0.213114754,13675
"Total","Jacob Stallings","COL",29,53,43,14,6,4,1,3,8,8,9,0,16,0,1,0,2,0,0,0.325581395,13723
"Total","David Dahl","PHI",7,8,6,1,1,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0.166666666,13744
"Total","Tomas Nido","2 Tms",25,46,40,6,5,1,0,0,3,4,3,0,14,0,1,2,0,0,0,0.15,13755
"Total","Chris Taylor","LAD",30,54,45,7,5,0,1,1,4,4,7,0,16,0,1,1,4,0,1,0.155555555,13757
"Total","Travis Jankowski","TEX",7,10,10,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,13768
"Total","Rob Refsnyder","BOS",44,80,65,20,14,4,0,2,6,8,12,1,21,3,0,0,1,0,0,0.307692307,13770
"Total","Joey Wendle","NYM",5,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13853
"Total","Tyler Heineman","BOS",1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13897
"Total","Eric Haase","MIL",2,6,6,3,2,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0.5,14111
"Total","Joey Gallo","WSN",26,47,44,5,3,1,0,1,3,3,2,0,22,1,0,0,0,0,0,0.113636363,14128
"Total","Daniel Vogelbach","TOR",4,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,14130
"Total","Byron Buxton","MIN",28,63,58,18,10,4,1,3,10,8,4,0,17,1,0,0,0,1,0,0.310344827,14161
"Total","Carlos Correa","MIN",34,70,61,18,11,1,1,5,15,14,6,2,12,1,1,0,0,0,0,0.295081967,14162
"Total","Jorge Soler","SFG",43,93,79,20,9,8,0,3,16,8,12,0,23,2,0,0,0,0,0,0.253164556,14221
"Total","Mitch Haniger","SEA",42,87,80,12,11,1,0,0,5,5,7,0,25,0,0,0,2,0,0,0.15,14274
"Total","Matt Olson","ATL",46,111,99,28,16,5,1,6,14,16,7,0,27,4,1,0,2,0,0,0.282828282,14344
"Total","Joey Meneses","WSN",47,96,85,15,12,2,0,1,4,14,6,1,23,3,2,0,5,2,0,0.176470588,14366
"Total","Harold Ramirez","2 Tms",31,68,68,19,17,1,0,1,8,7,0,0,11,0,0,0,0,0,0,0.279411764,14387
"Total","Jake Cave","COL",16,19,19,2,2,0,0,0,2,3,0,0,6,0,0,0,0,0,0,0.105263157,14477
"Total","Anthony Santander","BAL",40,90,78,19,11,3,0,5,13,12,9,0,20,3,0,0,0,0,0,0.243589743,14551
"Total","David Bote","CHC",9,19,19,5,3,2,0,0,1,2,0,0,5,0,0,0,0,0,0,0.263157894,14593
"Total","Manuel Margot","MIN",41,90,79,24,17,4,0,3,13,11,9,0,11,0,2,0,1,2,0,0.303797468,14712
"Total","Kyle Farmer","MIN",36,64,57,13,10,3,0,0,6,6,4,0,11,3,0,0,2,1,3,0.228070175,14813
"Total","Mike Yastrzemski","SFG",22,36,30,7,6,0,1,0,4,5,4,0,10,2,0,0,1,1,0,0.233333333,14854
"Total","Victor Caratini","HOU",11,22,21,7,5,2,0,0,1,3,0,0,2,0,1,0,1,0,0,0.333333333,14968
"Total","Ryan McMahon","COL",58,111,98,28,18,5,0,5,13,11,12,0,35,1,0,0,2,0,2,0.285714285,15112
"Total","Mitch Garver","SEA",40,83,70,17,9,2,0,6,14,19,12,0,18,0,1,0,1,0,0,0.242857142,15161
"Total","Tim Anderson","MIA",35,82,78,19,18,1,0,0,7,2,4,0,22,0,0,0,1,3,1,0.243589743,15172
"Total","Jake Bauers","MIL",21,26,24,6,3,2,0,1,4,5,1,0,3,1,0,0,0,0,0,0.25,15194
"Total","Adam Frazier","KCR",18,22,20,3,3,0,0,0,2,2,1,0,2,1,0,0,0,1,0,0.15,15223
"Total","Austin Wynns","CIN",2,4,4,2,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0.5,15271
"Total","Mike Tauchman","CHC",33,52,47,12,10,2,0,0,8,1,5,0,11,0,0,0,1,2,0,0.255319148,15274
"Total","Garrett Cooper","2 Tms",21,41,39,10,6,3,1,0,4,4,2,0,12,0,0,0,1,0,0,0.256410256,15279
"Total","Jeff McNeil","NYM",46,83,79,19,16,2,0,1,8,6,3,0,14,1,0,0,0,2,0,0.240506329,15362
"Total","Kris Bryant","COL",10,18,17,2,2,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0.117647058,15429
"Total","Hunter Renfroe","KCR",39,70,64,13,7,4,0,2,11,13,6,0,11,0,0,0,2,1,0,0.203125,15464
"Total","J.P. Crawford","SEA",37,84,76,22,16,3,0,3,12,12,8,0,11,0,0,0,0,2,0,0.289473684,15491
"Total","Jamie Westbrook","BOS",10,17,12,3,1,1,0,1,1,3,2,0,5,1,1,0,0,0,0,0.25,15504
"Total","Amed Rosario","TBR",37,80,77,22,15,6,0,1,6,7,2,0,14,0,1,0,4,2,2,0.285714285,15518
"Total","Mike Ford","CIN",9,18,18,3,3,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0.166666666,15585
"Total","Aaron Judge","NYY",44,90,67,22,10,4,0,8,11,21,22,2,22,1,0,0,3,2,0,0.328358208,15640
"Total","Dominic Smith","BOS",18,30,28,8,5,2,0,1,2,5,2,0,8,0,0,0,0,0,0,0.285714285,15653
"Total","Reese McGuire","BOS",14,16,14,3,2,0,0,1,2,5,0,0,5,1,1,0,0,0,0,0.214285714,15674
"Total","Jose Abreu","HOU",14,32,30,4,2,2,0,0,3,1,1,0,4,1,0,0,1,0,0,0.133333333,15676
"Total","Rowdy Tellez","PIT",17,20,17,2,2,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0.117647058,15679
"Total","Tyler O'Neill","BOS",43,84,68,23,11,6,0,6,14,9,16,3,26,0,0,0,4,1,0,0.338235294,15711
"Total","Tyler Wade","SDP",12,14,12,2,2,0,0,0,2,1,1,0,2,0,0,1,0,0,0,0.166666666,15730
"Total","Miguel Andujar","OAK",11,21,18,10,8,1,0,1,6,9,3,0,0,0,0,0,0,0,0,0.555555555,15878
"Total","Luis Torrens","NYM",11,19,18,6,3,1,0,2,3,2,1,0,5,0,0,0,0,0,1,0.333333333,15905
"Total","Aledmys Diaz","OAK",4,6,6,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.166666666,15937
"Total","Willy Adames","MIL",52,96,80,17,10,5,0,2,11,13,15,1,18,0,1,0,2,1,1,0.2125,15986
"Total","Cody Bellinger","CHC",52,95,92,30,24,3,1,2,12,13,2,0,17,0,1,0,1,1,1,0.326086956,15998
"Total","Austin Slater","SFG",36,83,68,12,12,0,0,0,9,5,11,0,22,2,2,0,2,2,1,0.176470588,16153
"Total","J.D. Davis","2 Tms",22,44,40,7,6,1,0,0,2,0,4,0,13,0,0,0,1,0,0,0.175,16219
"Total","Trea Turner","PHI",35,80,73,25,16,6,0,3,17,7,5,0,14,2,0,0,1,5,1,0.342465753,16252
"Total","Nick Gordon","MIA",19,21,21,4,1,2,0,1,4,2,0,0,4,0,0,0,1,0,0,0.19047619,16337
"Total","Pablo Reyes","BOS",7,20,20,4,2,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0.2,16357
"Total","Michael Conforto","SFG",32,57,53,15,11,2,0,2,5,6,4,0,15,0,0,0,1,0,1,0.283018867,16376
"Total","Thairo Estrada","SFG",39,83,78,16,10,4,0,2,10,10,4,0,15,0,1,0,2,0,0,0.205128205,16426
"Total","Ryan O'Hearn","BAL",16,19,19,5,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0.263157894,16442
"Total","Luis Guillorme","2 Tms",11,13,13,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.076923076,16451
"Total","Rhys Hoskins","MIL",29,60,49,9,6,0,0,3,5,10,8,1,16,1,2,0,2,0,0,0.183673469,16472
"Total","Kyle Schwarber","PHI",57,142,118,40,31,3,0,6,20,22,23,0,38,1,0,0,1,3,1,0.33898305,16478
"Total","Forrest Wall","ATL",2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,16496
"Total","Matt Chapman","SFG",46,99,86,28,13,11,0,4,16,13,12,2,19,0,1,0,0,2,0,0.325581395,16505
"Total","Isiah Kiner-Falefa","TOR",45,73,66,19,16,1,1,1,9,6,3,0,9,3,0,1,2,0,0,0.287878787,16512
"Total","Mauricio Dubon","HOU",36,71,68,21,14,5,0,2,10,13,2,0,7,0,1,0,1,1,1,0.308823529,16530
"Total","Danny Jansen","TOR",26,44,36,9,7,2,0,0,8,3,7,0,8,0,1,0,1,0,0,0.25,16535
"Total","Ozzie Albies","ATL",34,96,94,32,21,8,0,3,17,12,1,0,12,1,0,0,2,2,1,0.340425531,16556
"Total","Connor Joe","PIT",52,98,87,23,13,7,0,3,11,9,8,1,16,2,1,0,2,0,0,0.264367816,16572
"Total","Yandy Diaz","TBR",43,90,84,28,19,7,0,2,10,10,5,0,9,0,1,0,2,0,0,0.333333333,16578
"Total","Luis Urias","SEA",22,40,34,5,0,2,0,3,6,6,4,0,13,2,0,0,1,0,0,0.147058823,16622
"Total","Jose Trevino","NYY",36,71,62,13,9,0,0,4,9,10,6,0,11,1,1,1,4,0,0,0.209677419,16725
"Total","Jonah Heim","TEX",37,77,71,16,12,1,0,3,8,8,5,0,9,0,1,0,1,0,0,0.225352112,16930
"Total","Lane Thomas","WSN",37,80,70,24,15,5,1,3,11,12,7,0,11,2,1,0,1,11,0,0.342857142,16939
"Total","Derek Hill","TEX",9,18,16,5,2,0,0,3,4,4,2,0,4,0,0,0,1,1,1,0.3125,16947
"Total","Chadwick Tromp","ATL",6,11,11,2,1,1,0,0,1,2,0,0,3,0,0,0,1,0,0,0.181818181,16953
"Total","Gleyber Torres","NYY",46,79,70,13,9,1,0,3,10,6,7,0,20,1,1,0,1,2,1,0.185714285,16997
"Total","Edmundo Sosa","PHI",36,76,67,21,9,7,3,2,13,9,6,0,14,3,0,0,0,1,0,0.313432835,17022
"Total","Alex Verdugo","NYY",53,100,87,18,14,2,0,2,6,7,10,0,18,1,2,0,4,1,1,0.206896551,17027
"Total","Jose Herrera","ARI",5,7,5,2,1,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0.4,17040
"Total","Ramon Laureano","2 Tms",26,42,40,10,5,3,0,2,6,6,0,0,16,1,1,0,1,1,1,0.25,17128
"Total","Yoan Moncada","CHW",3,4,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.333333333,17232
"Total","Jorge Mateo","BAL",35,75,70,17,7,6,1,3,13,6,4,0,20,1,0,0,0,5,0,0.242857142,17273
"Total","Alex Jackson","TBR",14,31,27,2,2,0,0,0,0,1,3,0,12,0,1,0,1,0,0,0.074074074,17276
"Total","Cole Tucker","LAA",10,22,20,1,1,0,0,0,1,0,2,0,8,0,0,0,0,1,0,0.05,17326
"Total","Willi Castro","MIN",45,81,77,29,18,7,1,3,13,9,3,0,19,1,0,0,1,2,2,0.376623376,17338
"Total","Rafael Devers","BOS",60,113,102,25,16,4,2,3,14,15,8,0,40,2,1,0,1,0,0,0.245098039,17350
"Total","Jose Siri","TBR",34,66,58,13,5,4,0,4,13,11,6,0,22,0,2,0,0,1,0,0.224137931,17452
"Total","Eloy Jimenez","CHW",21,42,38,10,8,2,0,0,1,0,4,0,7,0,0,0,1,2,0,0.263157894,17484
"Total","Taylor Ward","LAA",37,70,63,22,15,4,0,3,10,8,6,0,14,0,1,0,0,0,1,0.349206349,17548
"Total","Alex Bregman","HOU",52,105,99,21,12,5,1,3,11,14,6,0,10,0,0,0,2,0,0,0.212121212,17678
"Total","Kevin Newman","ARI",40,74,69,20,13,5,1,1,14,10,3,1,6,0,1,1,2,1,0,0.289855072,17696
"Total","DJ Stewart","NYM",12,13,10,0,0,0,0,0,2,0,2,0,4,1,0,0,1,1,0,0,17766
"Total","Jakson Reetz","SFG",4,6,6,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.166666666,17837
"Total","Willie Calhoun","LAA",17,27,23,5,5,0,0,0,3,1,3,0,2,1,0,0,0,0,0,0.217391304,17838
"Total","Tyler Nevin","OAK",30,65,55,12,6,2,0,4,7,8,6,0,12,3,1,0,1,0,0,0.218181818,17893
"Total","Andrew Benintendi","CHW",30,45,43,4,2,1,0,1,3,2,2,0,12,0,0,0,3,1,0,0.093023255,17901
"Total","Brendan Rodgers","COL",27,60,57,21,14,4,0,3,11,7,3,0,9,0,0,0,0,0,0,0.368421052,17907
"Total","Ian Happ","CHC",41,75,68,16,9,3,0,4,10,16,6,0,17,1,0,0,3,0,0,0.235294117,17919
"Total","Cedric Mullins","BAL",37,61,60,10,6,3,1,0,7,0,1,0,12,0,0,0,0,1,1,0.166666666,17929
"Total","Sam Hilliard","COL",2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17954
"Total","Ty France","SEA",39,79,65,15,11,1,0,3,11,8,11,0,18,3,0,0,0,0,1,0.23076923,17982
"Total","Tyler Stephenson","CIN",44,75,68,17,10,4,0,3,14,9,6,1,8,0,1,0,1,0,0,0.25,17988
"Total","David Fletcher","ATL",3,6,5,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0.2,17992
"Total","Paul DeJong","CHW",42,73,68,10,6,2,0,2,9,4,3,0,25,1,1,0,3,0,0,0.147058823,18015
"Total","Harrison Bader","NYM",48,90,82,18,12,4,0,2,7,10,6,1,17,0,2,0,4,2,1,0.219512195,18030
"Total","Jake Cronenworth","SDP",55,110,98,19,15,3,0,1,7,12,9,0,19,2,1,0,6,1,0,0.193877551,18036
"Total","Dylan Moore","SEA",43,89,75,17,8,6,1,2,10,7,9,0,24,2,3,0,0,7,1,0.226666666,18042
"Total","Sam Haggerty","SEA",5,11,11,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0.09090909,18054
"Total","Garrett Stubbs","PHI",19,34,30,6,6,0,0,0,1,1,4,0,9,0,0,0,0,1,0,0.2,18067
"Total","LaMonte Wade Jr.","SFG",12,21,14,5,3,2,0,0,2,3,5,0,2,1,1,0,0,1,0,0.357142857,18126
"Total","Seth Brown","OAK",13,12,12,3,3,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0.25,18171
"Total","Brett Sullivan","SDP",2,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.5,18217
