Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Michael A. Taylor","PIT",38,67,59,10,6,1,1,2,12,6,5,0,22,0,1,2,0,1,0,0.169491525,11489
"Total","Manny Machado","SDP",49,104,93,22,15,3,0,4,10,14,11,3,21,0,0,0,3,2,0,0.236559139,11493
"Total","Bryce Harper","PHI",66,146,124,39,20,12,0,7,17,24,21,1,36,0,1,0,6,1,1,0.314516129,11579
"Total","Willson Contreras","STL",25,57,45,15,8,4,0,3,9,7,12,1,14,0,0,0,5,2,1,0.333333333,11609
"Total","Brandon Drury","LAA",25,38,35,6,5,1,0,0,3,2,2,0,8,0,1,0,2,0,0,0.171428571,11615
"Total","Elias Diaz","COL",39,85,80,21,15,5,0,1,4,8,4,1,14,0,1,0,2,0,0,0.2625,11680
"Total","Nick Castellanos","PHI",59,112,105,26,15,4,0,7,14,23,6,1,28,0,1,0,3,0,0,0.247619047,11737
"Total","J.T. Realmuto","PHI",31,70,67,20,13,4,0,3,7,7,3,0,18,0,0,0,1,0,0,0.298507462,11739
"Total","Joc Pederson","ARI",21,23,19,4,2,1,0,1,3,2,3,0,11,1,0,0,0,1,0,0.210526315,11899
"Total","Nick Martini","CIN",20,33,32,6,3,1,1,1,6,3,0,0,8,1,0,0,0,0,1,0.1875,12005
"Total","Jon Berti","NYY",9,20,18,4,4,0,0,0,1,0,1,0,4,0,0,1,0,1,0,0.222222222,12037
"Total","Scott McGough","ARI",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12056
"Total","Niko Goodrum","2 Tms",4,8,6,1,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0.166666666,12092
"Total","Max Kepler","MIN",44,57,53,16,12,3,0,1,6,7,2,0,12,1,1,0,0,0,0,0.301886792,12144
"Total","Nick Ahmed","2 Tms",40,75,67,20,17,1,1,1,9,7,7,0,17,0,1,0,3,2,1,0.298507462,12147
"Total","Eddie Rosario","2 Tms",26,32,28,4,4,0,0,0,2,1,3,0,6,0,0,1,1,1,0,0.142857142,12155
"Total","Austin Barnes","LAD",18,34,30,11,10,1,0,0,2,2,3,0,3,0,0,1,0,0,0,0.366666666,12158
"Total","Ben Gamel","NYM",5,4,4,2,1,1,0,0,4,0,0,0,2,0,0,0,0,1,0,0.5,12160
"Total","Xander Bogaerts","SDP",27,60,53,15,11,2,1,1,8,5,6,0,5,0,1,0,0,3,0,0.283018867,12161
"Total","Miguel Sano","LAA",10,20,16,3,2,1,0,0,1,0,4,0,3,0,0,0,1,0,0,0.1875,12164
"Total","Jace Peterson","ARI",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12325
"Total","Kevin Pillar","2 Tms",39,73,69,27,16,7,1,3,8,14,2,0,11,2,0,0,1,3,0,0.391304347,12434
"Total","Curt Casali","SFG",17,37,32,7,5,2,0,0,3,2,5,0,8,0,0,0,0,0,0,0.21875,12510
"Total","Marcus Semien","TEX",55,123,110,33,22,6,1,4,22,14,13,0,17,0,0,0,0,1,1,0.3,12533
"Total","Eugenio Suarez","ARI",53,123,105,21,16,2,0,3,17,11,15,0,42,1,2,0,2,0,0,0.2,12552
"Total","Trevor Story","BOS",3,6,4,1,0,1,0,0,1,1,2,1,2,0,0,0,0,0,0,0.25,12564
"Total","George Springer","TOR",48,90,75,15,10,2,0,3,10,8,14,0,18,0,1,0,4,2,0,0.2,12856
"Total","James McCann","BAL",29,69,66,13,8,3,0,2,7,8,2,0,16,1,0,0,2,0,0,0.196969696,12859
"Total","Anthony Rendon","LAA",7,14,13,3,3,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0.23076923,12861
"Total","Francisco Lindor","NYM",56,127,117,33,15,10,0,8,24,20,7,0,15,3,0,0,2,7,0,0.282051282,12916
"Total","Brandon Nimmo","NYM",57,115,101,27,14,8,1,4,15,17,8,0,29,6,0,0,1,5,0,0.267326732,12927
"Total","Austin Hedges","CLE",16,38,35,6,5,0,0,1,4,3,1,0,13,2,0,0,1,0,0,0.171428571,12976
"Total","Javier Baez","DET",26,51,49,8,6,1,0,1,5,8,2,0,9,0,0,0,2,0,0,0.163265306,12979
"Total","Teoscar Hernandez","LAD",50,109,101,28,16,4,0,8,15,18,7,1,25,1,0,0,3,0,1,0.277227722,13066
"Total","Josh Bell","MIA",62,132,119,27,16,6,0,5,10,17,11,1,20,0,2,0,4,0,0,0.226890756,13145
"Total","Jorge Polanco","SEA",31,71,67,16,13,1,0,2,7,7,4,0,15,0,0,0,3,1,1,0.23880597,13152
"Total","Orlando Arcia","ATL",46,94,84,13,8,5,0,0,6,5,7,1,26,0,3,0,4,0,0,0.154761904,13185
"Total","Max Muncy","LAD",23,36,29,4,1,2,0,1,5,2,4,0,11,2,1,0,1,0,0,0.137931034,13301
"Total","Ildemaro Vargas","WSN",33,87,80,25,16,9,0,0,7,6,5,0,10,1,0,1,3,2,0,0.3125,13324
"Total","Omar Narvaez","NYM",5,6,4,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.25,13338
"Total","Luke Maile","CIN",19,36,31,6,5,0,0,1,4,5,4,0,10,0,1,0,1,0,0,0.193548387,13355
"Total","Christian Walker","ARI",56,122,109,29,21,4,0,4,16,19,11,1,32,1,1,0,5,0,0,0.266055045,13419
"Total","Tom Murphy","SFG",7,16,14,1,1,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0.071428571,13499
"Total","Jose Ramirez","CLE",66,130,120,46,23,12,0,11,31,30,9,3,16,0,1,0,2,8,3,0.383333333,13510
"Total","Jesse Winker","WSN",57,99,85,20,13,6,0,1,9,9,11,0,27,2,1,0,2,6,1,0.235294117,13590
"Total","Patrick Wisdom","CHC",36,68,60,14,8,2,1,3,8,14,4,0,23,3,1,0,0,4,0,0.233333333,13602
"Total","Mookie Betts","LAD",41,89,81,24,18,4,1,1,9,7,8,0,7,0,0,0,2,1,1,0.296296296,13611
"Total","Ketel Marte","ARI",65,160,146,53,30,9,0,14,26,35,12,5,24,2,0,0,3,1,0,0.363013698,13613
"Total","Carson Kelly","DET",20,34,30,7,6,1,0,0,4,1,4,0,6,0,0,0,1,0,0,0.233333333,13620
"Total","Jeimer Candelario","CIN",64,129,113,24,17,7,0,0,10,7,13,0,29,3,0,0,4,0,1,0.21238938,13621
"Total","Corey Seager","TEX",64,117,112,30,23,3,0,4,13,6,4,0,33,1,0,0,1,0,0,0.267857142,13624
"Total","Tyrone Taylor","NYM",49,78,73,14,9,3,1,1,9,2,5,0,20,0,0,0,3,2,0,0.191780821,13675
"Total","Jacob Stallings","COL",37,68,54,15,6,5,1,3,9,8,12,1,19,1,1,0,3,0,0,0.277777777,13723
"Total","David Dahl","PHI",7,8,6,1,1,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0.166666666,13744
"Total","Tomas Nido","2 Tms",28,50,44,6,5,1,0,0,3,4,3,0,17,0,1,2,1,0,0,0.136363636,13755
"Total","Chris Taylor","LAD",40,70,58,9,7,0,1,1,5,4,10,0,20,0,1,1,4,0,1,0.155172413,13757
"Total","Travis Jankowski","TEX",7,10,10,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,13768
"Total","Rob Refsnyder","BOS",52,101,85,27,17,6,0,4,9,14,13,1,27,3,0,0,1,0,0,0.317647058,13770
"Total","Joey Wendle","NYM",5,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13853
"Total","Tyler Heineman","BOS",1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13897
"Total","Eric Haase","MIL",6,11,10,5,3,0,0,2,3,3,1,0,3,0,0,0,0,0,0,0.5,14111
"Total","Joey Gallo","WSN",26,47,44,5,3,1,0,1,3,3,2,0,22,1,0,0,0,0,0,0.113636363,14128
"Total","Daniel Vogelbach","TOR",4,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,14130
"Total","Byron Buxton","MIN",37,81,75,22,14,4,1,3,11,9,5,0,23,1,0,0,0,1,0,0.293333333,14161
"Total","Carlos Correa","MIN",35,73,64,19,12,1,1,5,15,14,6,2,12,1,1,0,0,0,0,0.296875,14162
"Total","Jorge Soler","SFG",50,109,92,25,12,9,0,4,20,12,15,0,26,2,0,0,1,0,0,0.27173913,14221
"Total","Mitch Haniger","SEA",50,105,96,13,12,1,0,0,7,5,9,0,31,0,0,0,3,0,0,0.135416666,14274
"Total","Matt Olson","ATL",52,119,107,29,16,5,1,7,15,19,7,0,32,4,1,0,2,0,0,0.271028037,14344
"Total","Joey Meneses","WSN",47,96,85,15,12,2,0,1,4,14,6,1,23,3,2,0,5,2,0,0.176470588,14366
"Total","Harold Ramirez","2 Tms",39,85,84,25,21,2,0,2,12,14,1,0,16,0,0,0,0,0,0,0.297619047,14387
"Total","Jake Cave","COL",22,27,27,3,3,0,0,0,2,4,0,0,10,0,0,0,1,0,0,0.111111111,14477
"Total","Anthony Santander","BAL",51,109,97,23,12,4,0,7,16,14,9,0,24,3,0,0,1,0,0,0.237113402,14551
"Total","David Bote","CHC",15,28,27,9,5,4,0,0,2,6,1,0,6,0,0,0,1,0,0,0.333333333,14593
"Total","Manuel Margot","MIN",54,116,104,29,21,5,0,3,16,14,10,0,16,0,2,0,1,2,0,0.278846153,14712
"Total","Kyle Farmer","MIN",36,64,57,13,10,3,0,0,6,6,4,0,11,3,0,0,2,1,3,0.228070175,14813
"Total","Mike Yastrzemski","SFG",31,55,47,12,9,1,2,0,6,5,5,0,18,3,0,0,2,1,0,0.255319148,14854
"Total","Victor Caratini","HOU",13,24,23,8,6,2,0,0,1,3,0,0,3,0,1,0,1,0,0,0.347826086,14968
"Total","Ryan McMahon","COL",68,136,122,33,21,6,0,6,15,13,12,0,45,2,0,0,2,0,2,0.270491803,15112
"Total","Mitch Garver","SEA",48,101,85,20,12,2,0,6,15,19,15,0,23,0,1,0,1,0,0,0.235294117,15161
"Total","Tim Anderson","MIA",35,82,78,19,18,1,0,0,7,2,4,0,22,0,0,0,1,3,1,0.243589743,15172
"Total","Jake Bauers","MIL",23,28,26,7,4,2,0,1,4,5,1,0,3,1,0,0,0,0,0,0.269230769,15194
"Total","Adam Frazier","KCR",20,24,22,4,4,0,0,0,3,3,1,0,2,1,0,0,0,1,0,0.181818181,15223
"Total","Austin Wynns","CIN",5,10,10,4,2,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0.4,15271
"Total","Mike Tauchman","CHC",38,57,52,14,12,2,0,0,10,1,5,0,12,0,0,0,1,2,0,0.269230769,15274
"Total","Garrett Cooper","2 Tms",21,41,39,10,6,3,1,0,4,4,2,0,12,0,0,0,1,0,0,0.256410256,15279
"Total","Jeff McNeil","NYM",56,98,92,23,17,4,0,2,11,10,4,0,16,1,1,0,0,2,0,0.25,15362
"Total","Kris Bryant","COL",13,27,26,3,3,0,0,0,1,0,1,0,9,0,0,0,1,0,0,0.115384615,15429
"Total","Hunter Renfroe","KCR",45,79,70,16,8,5,0,3,12,16,9,0,11,0,0,0,2,1,1,0.228571428,15464
"Total","J.P. Crawford","SEA",44,96,86,25,18,3,0,4,16,15,9,0,12,1,0,0,1,2,0,0.290697674,15491
"Total","Jamie Westbrook","BOS",18,34,28,5,1,2,0,2,4,6,3,0,8,1,1,0,0,0,0,0.178571428,15504
"Total","Amed Rosario","TBR",44,99,94,29,19,9,0,1,8,8,2,0,17,2,1,0,4,2,2,0.308510638,15518
"Total","Mike Ford","CIN",9,18,18,3,3,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0.166666666,15585
"Total","Aaron Judge","NYY",53,108,75,23,10,4,0,9,14,22,31,2,27,2,0,0,3,2,0,0.306666666,15640
"Total","Dominic Smith","BOS",26,40,38,10,6,3,0,1,2,6,2,0,10,0,0,0,0,0,0,0.263157894,15653
"Total","Reese McGuire","BOS",16,20,18,3,2,0,0,1,2,5,0,0,6,1,1,0,0,0,0,0.166666666,15674
"Total","Jose Abreu","HOU",14,32,30,4,2,2,0,0,3,1,1,0,4,1,0,0,1,0,0,0.133333333,15676
"Total","Rowdy Tellez","PIT",25,30,25,6,4,0,0,2,4,3,5,0,7,0,0,0,0,0,0,0.24,15679
