date,game_id,half,pitcher,batting_team,pitching_team,model_prob,implied_prob,ev,dk_no_odds,result,ev_category
2026-04-11,WSH/MIL - Top 1,top,Kyle Harrison,Washington Nationals,Milwaukee Brewers,0.2762,0.25,0.0262,300,win,marginal
2026-04-11,SF/BAL - Top 1,top,Chris Bassitt,San Francisco Giants,Baltimore Orioles,0.3284,0.4,-0.0716,150,win,negative
2026-04-11,SF/BAL - Bot 1,bot,Logan Webb,Baltimore Orioles,San Francisco Giants,0.2789,0.3571,-0.0782,180,loss,negative
2026-04-11,BOS/STL - Top 1,top,Kyle Leahy,Boston Red Sox,St. Louis Cardinals,0.3232,0.3636,-0.0404,175,loss,negative
2026-04-11,BOS/STL - Bot 1,bot,Ranger Suarez,St. Louis Cardinals,Boston Red Sox,0.2753,0.3509,-0.0756,185,loss,negative
2026-04-11,CLE/ATL - Top 1,top,Martín Pérez,Cleveland Guardians,Atlanta Braves,0.4007,0.5,-0.0993,100,win,negative
2026-04-11,CLE/ATL - Bot 1,bot,Parker Messick,Atlanta Braves,Cleveland Guardians,0.3139,0.4,-0.0861,150,win,negative
2026-04-11,COL/SD - Top 1,top,Germán Márquez,Colorado Rockies,San Diego Padres,0.3422,0.4255,-0.0833,135,loss,negative
2026-04-11,COL/SD - Bot 1,bot,Ryan Feltner,San Diego Padres,Colorado Rockies,0.3503,0.3846,-0.0343,160,loss,negative
2026-04-11,TEX/LAD - Top 1,top,Emmet Sheehan,Texas Rangers,Los Angeles Dodgers,,0.2778,,260,loss,
2026-04-11,TEX/LAD - Bot 1,bot,Jack Leiter,Los Angeles Dodgers,Texas Rangers,,0.2381,,320,loss,
2026-04-11,HOU/SEA - Top 1,top,Luis Castillo,Houston Astros,Seattle Mariners,,0.3774,,165,loss,
2026-04-11,HOU/SEA - Bot 1,bot,Lance McCullers Jr.,Seattle Mariners,Houston Astros,,0.2941,,240,win,
2026-04-12,ARI/PHI - Top 1,top,Zach Pop,Arizona Diamondbacks,Philadelphia Phillies,0.4932,0.3333,0.1599,200,win,strong
2026-04-12,MIN/TOR - Bot 1,bot,Taj Bradley,Toronto Blue Jays,Minnesota Twins,0.3731,0.3846,-0.0115,160,loss,negative
2026-04-12,LAA/CIN - Bot 1,bot,José Soriano,Cincinnati Reds,Los Angeles Angels,0.2963,0.3509,-0.0546,185,win,negative
2026-04-12,NYY/TB - Bot 1,bot,Cam Schlittler,Tampa Bay Rays,New York Yankees,0.2938,0.3448,-0.051,190,loss,negative
2026-04-12,BOS/STL - Bot 1,bot,Brayan Bello,St. Louis Cardinals,Boston Red Sox,0.359,0.2532,0.1058,295,win,strong
2026-04-12,PIT/CHC - Top 1,top,Jameson Taillon,Pittsburgh Pirates,Chicago Cubs,0.2929,0.4,-0.1071,150,win,negative
2026-04-12,CLE/ATL - Top 1,top,Chris Sale,Cleveland Guardians,Atlanta Braves,0.2515,0.2532,-0.0017,295,loss,negative
2026-04-12,CLE/ATL - Bot 1,bot,Tanner Bibee,Atlanta Braves,Cleveland Guardians,0.3259,0.303,0.0229,230,loss,marginal
2026-04-13,ARI/BAL - Top 1,top,Dean Kremer,Arizona Diamondbacks,Baltimore Orioles,0.3726,0.4082,-0.0356,145,win,negative
2026-04-13,ARI/BAL - Bot 1,bot,Ryne Nelson,Baltimore Orioles,Arizona Diamondbacks,0.323,0.3571,-0.0341,180,loss,negative
2026-04-13,WSH/PIT - Top 1,top,Paul Skenes,Washington Nationals,Pittsburgh Pirates,0.2614,0.2532,0.0082,295,loss,marginal
2026-04-13,CHC/PHI - Top 1,top,Cristopher Sánchez,Chicago Cubs,Philadelphia Phillies,0.3231,0.3333,-0.0102,200,loss,negative
2026-04-13,CHC/PHI - Bot 1,bot,Javier Assad,Philadelphia Phillies,Chicago Cubs,0.393,0.3922,0.0008,155,loss,marginal
2026-04-13,LAA/NYY - Top 1,top,Will Warren,Los Angeles Angels,New York Yankees,0.2644,0.3448,-0.0804,190,loss,negative
2026-04-13,LAA/NYY - Bot 1,bot,Yusei Kikuchi,New York Yankees,Los Angeles Angels,0.3187,0.3509,-0.0322,185,loss,negative
2026-04-13,MIA/ATL - Top 1,top,Grant Holmes,Miami Marlins,Atlanta Braves,0.3545,0.3509,0.0036,185,loss,marginal
2026-04-13,MIA/ATL - Bot 1,bot,Eury Pérez,Atlanta Braves,Miami Marlins,0.2785,0.2439,0.0346,310,loss,marginal
2026-04-13,BOS/MIN - Top 1,top,Bailey Ober,Boston Red Sox,Minnesota Twins,0.3438,0.3846,-0.0408,160,loss,negative
2026-04-13,BOS/MIN - Bot 1,bot,Garrett Crochet,Minnesota Twins,Boston Red Sox,0.2717,0.2532,0.0185,295,win,marginal
2026-04-13,CLE/STL - Top 1,top,Matthew Liberatore,Cleveland Guardians,St. Louis Cardinals,0.3917,0.4651,-0.0734,115,win,negative
2026-04-13,CLE/STL - Bot 1,bot,Gavin Williams,St. Louis Cardinals,Cleveland Guardians,0.2984,0.2778,0.0206,260,loss,marginal
2026-04-13,TEX/ATH - Bot 1,bot,Nathan Eovaldi,Athletics,Texas Rangers,,0.2326,,330,loss,
2026-04-13,NYM/LAD - Top 1,top,Justin Wrobleski,New York Mets,Los Angeles Dodgers,0.3011,0.3125,-0.0114,220,loss,negative
2026-04-13,NYM/LAD - Bot 1,bot,David Peterson,Los Angeles Dodgers,New York Mets,0.2959,0.3636,-0.0677,175,loss,negative
2026-04-14,ARI/BAL - Top 1,top,Trevor Rogers,Arizona Diamondbacks,Baltimore Orioles,0.3612,0.3922,-0.031,155,win,negative
2026-04-14,ARI/BAL - Bot 1,bot,Merrill Kelly,Baltimore Orioles,Arizona Diamondbacks,0.3057,0.4,-0.0943,150,win,negative
2026-04-14,KC/DET - Top 1,top,Framber Valdez,Kansas City Royals,Detroit Tigers,0.325,0.4255,-0.1005,135,win,negative
2026-04-14,KC/DET - Bot 1,bot,Cole Ragans,Detroit Tigers,Kansas City Royals,0.1848,0.2326,-0.0478,330,win,negative
2026-04-14,WSH/PIT - Top 1,top,Mitch Keller,Washington Nationals,Pittsburgh Pirates,0.3416,0.3571,-0.0155,180,win,negative
2026-04-14,SF/CIN - Top 1,top,Brady Singer,San Francisco Giants,Cincinnati Reds,0.3478,0.3636,-0.0158,175,win,negative
2026-04-14,SF/CIN - Bot 1,bot,Robbie Ray,Cincinnati Reds,San Francisco Giants,0.2627,0.2597,0.003,285,loss,marginal
2026-04-14,CHC/PHI - Top 1,top,Aaron Nola,Chicago Cubs,Philadelphia Phillies,0.3349,0.3922,-0.0573,155,loss,negative
2026-04-14,CHC/PHI - Bot 1,bot,Riley Martin,Philadelphia Phillies,Chicago Cubs,0.2889,0.3333,-0.0444,200,loss,negative
2026-04-14,LAA/NYY - Top 1,top,Ryan Weathers,Los Angeles Angels,New York Yankees,0.2583,0.2778,-0.0195,260,loss,negative
2026-04-14,LAA/NYY - Bot 1,bot,Reid Detmers,New York Yankees,Los Angeles Angels,0.2329,0.2597,-0.0268,285,win,negative
2026-04-14,MIA/ATL - Top 1,top,Reynaldo López,Miami Marlins,Atlanta Braves,0.5848,0.3448,0.24,190,win,strong
2026-04-14,MIA/ATL - Bot 1,bot,Max Meyer,Atlanta Braves,Miami Marlins,0.2919,0.339,-0.0471,195,loss,negative
2026-04-14,BOS/MIN - Top 1,top,Mick Abel,Boston Red Sox,Minnesota Twins,0.3431,0.3774,-0.0343,165,loss,negative
2026-04-14,BOS/MIN - Bot 1,bot,Sonny Gray,Minnesota Twins,Boston Red Sox,0.2764,0.3704,-0.094,170,loss,negative
2026-04-14,TB/CWS - Top 1,top,Noah Schultz,Tampa Bay Rays,Chicago White Sox,0.3401,0.4,-0.0599,150,loss,negative
2026-04-14,TB/CWS - Bot 1,bot,Shane McClanahan,Chicago White Sox,Tampa Bay Rays,0.3112,0.303,0.0082,230,loss,marginal
2026-04-14,TOR/MIL - Top 1,top,Jacob Misiorowski,Toronto Blue Jays,Milwaukee Brewers,0.2722,0.2941,-0.0219,240,loss,negative
2026-04-14,TOR/MIL - Bot 1,bot,Kevin Gausman,Milwaukee Brewers,Toronto Blue Jays,0.3182,0.2941,0.0241,240,loss,marginal
2026-04-14,CLE/STL - Top 1,top,Michael McGreevy,Cleveland Guardians,St. Louis Cardinals,0.4357,0.5,-0.0643,100,win,negative
2026-04-14,CLE/STL - Bot 1,bot,Joey Cantillo,St. Louis Cardinals,Cleveland Guardians,0.288,0.3333,-0.0453,200,loss,negative
2026-04-14,COL/HOU - Top 1,top,Colton Gordon,Colorado Rockies,Houston Astros,0.3541,0.3846,-0.0305,160,loss,negative
2026-04-14,COL/HOU - Bot 1,bot,Michael Lorenzen,Houston Astros,Colorado Rockies,0.3427,0.4762,-0.1335,110,loss,negative
2026-04-14,SEA/SD - Top 1,top,Michael King,Seattle Mariners,San Diego Padres,0.3137,0.3175,-0.0038,215,loss,negative
2026-04-14,SEA/SD - Bot 1,bot,Bryan Woo,San Diego Padres,Seattle Mariners,0.2825,0.2703,0.0122,270,loss,marginal
2026-04-14,TEX/ATH - Bot 1,bot,MacKenzie Gore,Athletics,Texas Rangers,,0.25,,300,loss,
2026-04-14,NYM/LAD - Top 1,top,Yoshinobu Yamamoto,New York Mets,Los Angeles Dodgers,0.2882,0.3125,-0.0243,220,win,negative
2026-04-14,NYM/LAD - Bot 1,bot,Nolan McLean,Los Angeles Dodgers,New York Mets,0.2458,0.2439,0.0019,310,loss,marginal
2026-04-15,ARI/BAL - Top 1,top,Kyle Bradish,Arizona Diamondbacks,Baltimore Orioles,0.2099,0.3846,-0.1747,160,loss,negative
2026-04-15,CLE/STL - Bot 1,bot,Slade Cecconi,St. Louis Cardinals,Cleveland Guardians,0.3306,0.3226,0.008,210,win,marginal
2026-04-15,KC/DET - Top 1,top,Jack Flaherty,Kansas City Royals,Detroit Tigers,0.3182,0.3922,-0.074,155,loss,negative
2026-04-15,KC/DET - Bot 1,bot,Seth Lugo,Detroit Tigers,Kansas City Royals,0.3276,0.4255,-0.0979,135,loss,negative
2026-04-15,WSH/PIT - Top 1,top,Mason Montgomery,Washington Nationals,Pittsburgh Pirates,0.2133,0.2381,-0.0248,320,loss,negative
2026-04-15,SF/CIN - Top 1,top,Rhett Lowder,San Francisco Giants,Cincinnati Reds,0.348,0.4167,-0.0687,140,loss,negative
2026-04-15,SF/CIN - Bot 1,bot,Tyler Mahle,Cincinnati Reds,San Francisco Giants,0.3212,0.3279,-0.0067,205,loss,negative
2026-04-15,CHC/PHI - Top 1,top,Jesús Luzardo,Chicago Cubs,Philadelphia Phillies,0.3032,0.2985,0.0047,235,loss,marginal
2026-04-15,CHC/PHI - Bot 1,bot,Shota Imanaga,Philadelphia Phillies,Chicago Cubs,0.3198,0.3175,0.0023,215,loss,marginal
2026-04-15,LAA/NYY - Top 1,top,Luis Gil,Los Angeles Angels,New York Yankees,0.3455,0.3509,-0.0054,185,win,negative
2026-04-15,LAA/NYY - Bot 1,bot,Jack Kochanowicz,New York Yankees,Los Angeles Angels,0.37,0.4082,-0.0382,145,loss,negative
2026-04-15,MIA/ATL - Top 1,top,Bryce Elder,Miami Marlins,Atlanta Braves,0.3884,0.4348,-0.0464,130,loss,negative
2026-04-15,MIA/ATL - Bot 1,bot,Chris Paddack,Atlanta Braves,Miami Marlins,0.3953,0.3846,0.0107,160,loss,marginal
2026-04-15,TB/CWS - Top 1,top,Sean Burke,Tampa Bay Rays,Chicago White Sox,0.3367,0.3279,0.0088,205,loss,marginal
2026-04-15,TB/CWS - Bot 1,bot,Jesse Scholtens,Chicago White Sox,Tampa Bay Rays,0.2481,0.3077,-0.0596,225,loss,negative
2026-04-15,TOR/MIL - Top 1,top,Chad Patrick,Toronto Blue Jays,Milwaukee Brewers,0.3211,0.3571,-0.036,180,loss,negative
2026-04-15,TOR/MIL - Bot 1,bot,Dylan Cease,Milwaukee Brewers,Toronto Blue Jays,0.263,0.2439,0.0191,310,win,marginal
2026-04-15,COL/HOU - Top 1,top,Spencer Arrighetti,Colorado Rockies,Houston Astros,0.3037,0.2857,0.018,250,loss,marginal
2026-04-15,COL/HOU - Bot 1,bot,Jose Quintana,Houston Astros,Colorado Rockies,0.4188,0.5122,-0.0934,-105,win,negative
2026-04-15,SEA/SD - Top 1,top,Randy Vásquez,Seattle Mariners,San Diego Padres,0.4335,0.3774,0.0561,165,loss,strong
2026-04-15,SEA/SD - Bot 1,bot,Emerson Hancock,San Diego Padres,Seattle Mariners,0.3828,0.4082,-0.0254,145,win,negative
2026-04-15,TEX/ATH - Bot 1,bot,Kumar Rocker,Athletics,Texas Rangers,,0.2817,,255,loss,
2026-04-15,NYM/LAD - Top 1,top,Shohei Ohtani,New York Mets,Los Angeles Dodgers,,0.2532,,295,loss,
2026-04-15,NYM/LAD - Bot 1,bot,Clay Holmes,Los Angeles Dodgers,New York Mets,,0.4255,,135,win,
2026-04-16,WSH/PIT - Top 1,top,Braxton Ashcraft,Washington Nationals,Pittsburgh Pirates,0.286,0.3509,-0.0649,185,loss,negative
2026-04-16,SF/CIN - Bot 1,bot,Landen Roupp,Cincinnati Reds,San Francisco Giants,0.2877,0.3175,-0.0298,215,loss,negative
2026-04-16,TOR/MIL - Bot 1,bot,Patrick Corbin,Milwaukee Brewers,Toronto Blue Jays,0.3325,0.4167,-0.0842,140,loss,negative
2026-04-16,TB/CWS - Bot 1,bot,Steven Matz,Chicago White Sox,Tampa Bay Rays,0.336,0.3704,-0.0344,170,win,negative
2026-04-16,BAL/CLE - Top 1,top,Parker Messick,Baltimore Orioles,Cleveland Guardians,0.2613,0.3279,-0.0666,205,loss,negative
2026-04-16,BAL/CLE - Bot 1,bot,Shane Baz,Cleveland Guardians,Baltimore Orioles,0.3007,0.3922,-0.0915,155,loss,negative
2026-04-16,COL/HOU - Top 1,top,Ryan Weiss,Colorado Rockies,Houston Astros,0.3151,0.339,-0.0239,195,loss,negative
2026-04-16,COL/HOU - Bot 1,bot,Juan Mejia,Houston Astros,Colorado Rockies,0.2695,0.3846,-0.1151,160,loss,negative
2026-04-16,SEA/SD - Top 1,top,Walker Buehler,Seattle Mariners,San Diego Padres,0.3895,0.4082,-0.0187,145,loss,negative
2026-04-16,SEA/SD - Bot 1,bot,Luis Castillo,San Diego Padres,Seattle Mariners,0.3176,0.3175,0.0001,215,loss,marginal
2026-04-17,BAL/CLE - Top 1,top,Tanner Bibee,Baltimore Orioles,Cleveland Guardians,0.3008,0.3226,-0.0218,210,loss,negative
2026-04-17,BAL/CLE - Bot 1,bot,Chris Bassitt,Cleveland Guardians,Baltimore Orioles,0.3754,0.4878,-0.1124,105,win,negative
2026-04-17,ATL/PHI - Top 1,top,Taijuan Walker,Atlanta Braves,Philadelphia Phillies,0.3785,0.4444,-0.0659,125,loss,negative
2026-04-17,ATL/PHI - Bot 1,bot,Martín Pérez,Philadelphia Phillies,Atlanta Braves,0.3289,0.4167,-0.0878,140,loss,negative
2026-04-17,SF/WSH - Bot 1,bot,Logan Webb,Washington Nationals,San Francisco Giants,0.2595,0.3226,-0.0631,210,loss,negative
2026-04-17,TB/PIT - Top 1,top,Bubba Chandler,Tampa Bay Rays,Pittsburgh Pirates,0.3364,0.3509,-0.0145,185,loss,negative
2026-04-17,TB/PIT - Bot 1,bot,Nick Martinez,Pittsburgh Pirates,Tampa Bay Rays,0.2983,0.3636,-0.0653,175,loss,negative
2026-04-17,KC/NYY - Top 1,top,Cam Schlittler,Kansas City Royals,New York Yankees,0.3379,0.3125,0.0254,220,loss,marginal
2026-04-17,KC/NYY - Bot 1,bot,Michael Wacha,New York Yankees,Kansas City Royals,0.3443,0.4082,-0.0639,145,loss,negative
2026-04-17,MIL/MIA - Top 1,top,Janson Junk,Milwaukee Brewers,Miami Marlins,0.3931,0.4255,-0.0324,135,win,negative
2026-04-17,MIL/MIA - Bot 1,bot,Coleman Crow,Miami Marlins,Milwaukee Brewers,0.3652,0.4444,-0.0792,125,win,negative
2026-04-17,DET/BOS - Top 1,top,Ranger Suarez,Detroit Tigers,Boston Red Sox,0.3084,0.3636,-0.0552,175,loss,negative
2026-04-17,DET/BOS - Bot 1,bot,Casey Mize,Boston Red Sox,Detroit Tigers,0.2922,0.3175,-0.0253,215,loss,negative
2026-04-17,STL/HOU - Top 1,top,Peter Lambert,St. Louis Cardinals,Houston Astros,0.3232,0.4545,-0.1313,120,loss,negative
2026-04-17,STL/HOU - Bot 1,bot,Kyle Leahy,Houston Astros,St. Louis Cardinals,0.3466,0.4878,-0.1412,105,loss,negative
2026-04-17,CIN/MIN - Top 1,top,Joe Ryan,Cincinnati Reds,Minnesota Twins,0.2577,0.2597,-0.002,285,loss,negative
2026-04-17,CIN/MIN - Bot 1,bot,Brandon Williamson,Minnesota Twins,Cincinnati Reds,0.3431,0.4082,-0.0651,145,win,negative
2026-04-17,LAD/COL - Top 1,top,Tomoyuki Sugano,Los Angeles Dodgers,Colorado Rockies,0.3938,0.4348,-0.041,130,loss,negative
2026-04-17,LAD/COL - Bot 1,bot,Tyler Glasnow,Colorado Rockies,Los Angeles Dodgers,0.2722,0.2381,0.0341,320,loss,marginal
2026-04-17,SD/LAA - Top 1,top,José Soriano,San Diego Padres,Los Angeles Angels,,0.2941,,240,loss,
2026-04-17,SD/LAA - Bot 1,bot,Matt Waldron,Los Angeles Angels,San Diego Padres,,0.3571,,180,win,
2026-04-17,TEX/SEA - Top 1,top,Logan Gilbert,Texas Rangers,Seattle Mariners,,0.2667,,275,loss,
2026-04-17,TEX/SEA - Bot 1,bot,Jacob deGrom,Seattle Mariners,Texas Rangers,,0.2326,,330,loss,
2026-04-17,TOR/ARI - Top 1,top,Michael Soroka,Toronto Blue Jays,Arizona Diamondbacks,,0.2817,,255,loss,
2026-04-17,TOR/ARI - Bot 1,bot,Braydon Fisher,Arizona Diamondbacks,Toronto Blue Jays,,0.3077,,225,win,
2026-04-17,CWS/ATH - Bot 1,bot,Davis Martin,Athletics,Chicago White Sox,0.4085,0.3571,0.0514,180,win,strong
2026-04-18,KC/NYY - Top 1,top,Will Warren,Kansas City Royals,New York Yankees,0.353,0.3846,-0.0316,160,loss,negative
2026-04-18,KC/NYY - Bot 1,bot,Noah Cameron,New York Yankees,Kansas City Royals,0.3548,0.2439,0.1109,310,win,strong
2026-04-18,CIN/MIN - Top 1,top,Taj Bradley,Cincinnati Reds,Minnesota Twins,0.3039,0.3509,-0.047,185,win,negative
2026-04-18,CIN/MIN - Bot 1,bot,Andrew Abbott,Minnesota Twins,Cincinnati Reds,0.3658,0.4082,-0.0424,145,loss,negative
2026-04-18,NYM/CHC - Top 1,top,Jameson Taillon,New York Mets,Chicago Cubs,0.3833,0.4545,-0.0712,120,loss,negative
2026-04-18,NYM/CHC - Bot 1,bot,Freddy Peralta,Chicago Cubs,New York Mets,0.3152,0.4348,-0.1196,130,win,negative
2026-04-18,BAL/CLE - Top 1,top,Gavin Williams,Baltimore Orioles,Cleveland Guardians,0.272,0.2381,0.0339,320,loss,marginal
2026-04-18,BAL/CLE - Bot 1,bot,Dean Kremer,Cleveland Guardians,Baltimore Orioles,0.3939,0.4348,-0.0409,130,loss,negative
2026-04-18,STL/HOU - Top 1,top,Lance McCullers Jr.,St. Louis Cardinals,Houston Astros,0.3013,0.4,-0.0987,150,loss,negative
2026-04-18,STL/HOU - Bot 1,bot,Andre Pallante,Houston Astros,St. Louis Cardinals,0.417,0.5238,-0.1068,-110,win,negative
2026-04-18,TEX/SEA - Top 1,top,George Kirby,Texas Rangers,Seattle Mariners,0.2823,0.303,-0.0207,230,loss,negative
2026-04-18,TEX/SEA - Bot 1,bot,Nathan Eovaldi,Seattle Mariners,Texas Rangers,0.3053,0.2597,0.0456,285,loss,marginal
2026-04-18,ATL/PHI - Top 1,top,Cristopher Sánchez,Atlanta Braves,Philadelphia Phillies,0.2929,0.3226,-0.0297,210,win,negative
2026-04-18,ATL/PHI - Bot 1,bot,Chris Sale,Philadelphia Phillies,Atlanta Braves,0.2388,0.2326,0.0062,330,loss,marginal
2026-04-18,LAD/COL - Top 1,top,Ryan Feltner,Los Angeles Dodgers,Colorado Rockies,0.3462,0.3922,-0.046,155,win,negative
2026-04-18,LAD/COL - Bot 1,bot,Emmet Sheehan,Colorado Rockies,Los Angeles Dodgers,0.2432,0.2857,-0.0425,250,loss,negative
2026-04-18,TOR/ARI - Top 1,top,Zac Gallen,Toronto Blue Jays,Arizona Diamondbacks,0.4004,0.4762,-0.0758,110,loss,negative
2026-04-18,TOR/ARI - Bot 1,bot,Max Scherzer,Arizona Diamondbacks,Toronto Blue Jays,0.3722,0.4167,-0.0445,140,win,negative
2026-04-18,SD/LAA - Top 1,top,Yusei Kikuchi,San Diego Padres,Los Angeles Angels,,0.3226,,210,loss,
2026-04-18,SD/LAA - Bot 1,bot,Germán Márquez,Los Angeles Angels,San Diego Padres,,0.4082,,145,win,
2026-04-19,ATL/PHI - Top 1,top,Andrew Painter,Atlanta Braves,Philadelphia Phillies,0.3258,0.3226,0.0032,210,loss,marginal
2026-04-19,ATL/PHI - Bot 1,bot,Grant Holmes,Philadelphia Phillies,Atlanta Braves,0.2878,0.3333,-0.0455,200,loss,negative
2026-04-20,HOU/CLE - Top 1,top,Slade Cecconi,Houston Astros,Cleveland Guardians,0.3699,0.4545,-0.0846,120,win,negative
2026-04-20,HOU/CLE - Bot 1,bot,Spencer Arrighetti,Cleveland Guardians,Houston Astros,0.3687,0.4082,-0.0395,145,win,negative
2026-04-20,CIN/TB - Top 1,top,Jesse Scholtens,Cincinnati Reds,Tampa Bay Rays,0.2078,0.3279,-0.1201,205,loss,negative
2026-04-20,CIN/TB - Bot 1,bot,Rhett Lowder,Tampa Bay Rays,Cincinnati Reds,0.3503,0.4762,-0.1259,110,loss,negative
2026-04-20,STL/MIA - Top 1,top,Max Meyer,St. Louis Cardinals,Miami Marlins,0.2957,0.4082,-0.1125,145,loss,negative
2026-04-20,STL/MIA - Bot 1,bot,Michael McGreevy,Miami Marlins,St. Louis Cardinals,0.4195,0.5122,-0.0927,-105,win,negative
2026-04-20,ATL/WSH - Bot 1,bot,Bryce Elder,Washington Nationals,Atlanta Braves,0.3363,0.3448,-0.0085,190,loss,negative
2026-04-20,BAL/KC - Top 1,top,Seth Lugo,Baltimore Orioles,Kansas City Royals,0.3036,0.3704,-0.0668,170,loss,negative
2026-04-20,BAL/KC - Bot 1,bot,Kyle Bradish,Kansas City Royals,Baltimore Orioles,0.2504,0.3636,-0.1132,175,loss,negative
2026-04-20,PHI/CHC - Top 1,top,Colin Rea,Philadelphia Phillies,Chicago Cubs,0.3516,0.3571,-0.0055,180,win,negative
2026-04-20,PHI/CHC - Bot 1,bot,Aaron Nola,Chicago Cubs,Philadelphia Phillies,0.3394,0.4255,-0.0861,135,loss,negative
2026-04-20,LAD/COL - Top 1,top,Jose Quintana,Los Angeles Dodgers,Colorado Rockies,0.3772,0.4878,-0.1106,105,win,negative
2026-04-20,LAD/COL - Bot 1,bot,Justin Wrobleski,Colorado Rockies,Los Angeles Dodgers,0.2496,0.2941,-0.0445,240,win,negative
2026-04-20,TOR/LAA - Top 1,top,Reid Detmers,Toronto Blue Jays,Los Angeles Angels,0.2585,0.2857,-0.0272,250,loss,negative
2026-04-20,TOR/LAA - Bot 1,bot,Dylan Cease,Los Angeles Angels,Toronto Blue Jays,0.2239,0.2128,0.0111,370,loss,marginal
2026-04-20,ATH/SEA - Top 1,top,Emerson Hancock,Athletics,Seattle Mariners,,0.3333,,200,loss,
2026-04-21,CIN/TB - Top 1,top,Steven Matz,Cincinnati Reds,Tampa Bay Rays,0.3225,0.3175,0.005,215,loss,marginal
2026-04-21,CIN/TB - Bot 1,bot,Chase Burns,Tampa Bay Rays,Cincinnati Reds,0.2244,0.2941,-0.0697,240,loss,negative
2026-04-21,STL/MIA - Top 1,top,Chris Paddack,St. Louis Cardinals,Miami Marlins,0.3737,0.4444,-0.0707,125,loss,negative
2026-04-21,STL/MIA - Bot 1,bot,Dustin May,Miami Marlins,St. Louis Cardinals,0.3292,0.4,-0.0708,150,win,negative
2026-04-21,MIL/DET - Top 1,top,Keider Montero,Milwaukee Brewers,Detroit Tigers,0.332,0.3846,-0.0526,160,win,negative
2026-04-21,MIL/DET - Bot 1,bot,Kyle Harrison,Detroit Tigers,Milwaukee Brewers,0.2988,0.3448,-0.046,190,win,negative
2026-04-21,ATL/WSH - Bot 1,bot,Reynaldo López,Washington Nationals,Atlanta Braves,0.5662,0.3333,0.2329,200,loss,strong
2026-04-21,NYY/BOS - Top 1,top,Connelly Early,New York Yankees,Boston Red Sox,0.1857,0.3125,-0.1268,220,loss,negative
2026-04-21,NYY/BOS - Bot 1,bot,Luis Gil,Boston Red Sox,New York Yankees,0.3726,0.3704,0.0022,170,loss,marginal
2026-04-21,MIN/NYM - Top 1,top,Nolan McLean,Minnesota Twins,New York Mets,0.2475,0.2778,-0.0303,260,loss,negative
2026-04-21,MIN/NYM - Bot 1,bot,Simeon Woods Richardson,New York Mets,Minnesota Twins,0.3272,0.4082,-0.081,145,win,negative
2026-04-21,BAL/KC - Top 1,top,Kris Bubic,Baltimore Orioles,Kansas City Royals,0.2849,0.3448,-0.0599,190,win,negative
2026-04-21,BAL/KC - Bot 1,bot,Shane Baz,Kansas City Royals,Baltimore Orioles,0.3614,0.4255,-0.0641,135,win,negative
2026-04-21,PHI/CHC - Top 1,top,Shota Imanaga,Philadelphia Phillies,Chicago Cubs,0.3223,0.2703,0.052,270,win,strong
2026-04-21,PHI/CHC - Bot 1,bot,Jesús Luzardo,Chicago Cubs,Philadelphia Phillies,0.3198,0.2899,0.0299,245,win,marginal
2026-04-21,PIT/TEX - Top 1,top,Kumar Rocker,Pittsburgh Pirates,Texas Rangers,0.3167,0.3125,0.0042,220,loss,marginal
2026-04-21,PIT/TEX - Bot 1,bot,Carmen Mlodzinski,Texas Rangers,Pittsburgh Pirates,0.3212,0.3175,0.0037,215,win,marginal
2026-04-21,SD/COL - Top 1,top,Jimmy Herget,San Diego Padres,Colorado Rockies,0.3137,0.339,-0.0253,195,loss,negative
2026-04-21,SD/COL - Bot 1,bot,Randy Vásquez,Colorado Rockies,San Diego Padres,0.3756,0.339,0.0366,195,win,marginal
2026-04-21,TOR/LAA - Top 1,top,Jack Kochanowicz,Toronto Blue Jays,Los Angeles Angels,0.4692,0.4545,0.0147,120,win,marginal
2026-04-21,TOR/LAA - Bot 1,bot,Patrick Corbin,Los Angeles Angels,Toronto Blue Jays,0.2684,0.3333,-0.0649,200,win,negative
2026-04-21,ATH/SEA - Top 1,top,Luis Castillo,Athletics,Seattle Mariners,,0.3175,,215,loss,
2026-04-21,LAD/SF - Top 1,top,Landen Roupp,Los Angeles Dodgers,San Francisco Giants,0.3312,0.3448,-0.0136,190,loss,negative
2026-04-21,LAD/SF - Bot 1,bot,Yoshinobu Yamamoto,San Francisco Giants,Los Angeles Dodgers,0.2867,0.3279,-0.0412,205,win,negative
2026-04-21,CWS/ARI - Top 1,top,Merrill Kelly,Chicago White Sox,Arizona Diamondbacks,,0.3704,,170,loss,
2026-04-21,CWS/ARI - Bot 1,bot,Sean Burke,Arizona Diamondbacks,Chicago White Sox,,0.3922,,155,loss,
2026-04-22,MIL/DET - Top 1,top,Casey Mize,Milwaukee Brewers,Detroit Tigers,0.2925,0.3333,-0.0408,200,loss,negative
2026-04-22,MIL/DET - Bot 1,bot,DL Hall,Detroit Tigers,Milwaukee Brewers,0.3792,0.3636,0.0156,175,loss,marginal
2026-04-22,ATL/WSH - Bot 1,bot,Didier Fuentes,Washington Nationals,Atlanta Braves,0.3818,0.339,0.0428,195,loss,marginal
2026-04-22,NYY/BOS - Top 1,top,Ranger Suarez,New York Yankees,Boston Red Sox,0.3316,0.3922,-0.0606,155,loss,negative
