date,game_id,half,pitcher,batting_team,pitching_team,model_prob,implied_prob,ev,dk_no_odds,result,ev_category
2026-03-31,TB/MIL - Bot 1,bot,Shane McClanahan,Milwaukee Brewers,Tampa Bay Rays,0.3272,0.3333,-0.0061,200,loss,negative
2026-03-31,NYM/STL - Top 1,top,Andre Pallante,New York Mets,St. Louis Cardinals,0.4178,0.4762,-0.0584,110,loss,negative
2026-03-31,NYM/STL - Bot 1,bot,Kodai Senga,St. Louis Cardinals,New York Mets,0.3352,0.4,-0.0648,150,loss,negative
2026-03-31,BOS/HOU - Top 1,top,Hunter Brown,Boston Red Sox,Houston Astros,0.2701,0.2632,0.0069,280,loss,marginal
2026-03-31,BOS/HOU - Bot 1,bot,Brayan Bello,Houston Astros,Boston Red Sox,0.3888,0.4762,-0.0874,110,loss,negative
2026-03-31,DET/ARI - Top 1,top,Brandon Pfaadt,Detroit Tigers,Arizona Diamondbacks,,0.3509,,185,win,
2026-03-31,DET/ARI - Bot 1,bot,Casey Mize,Arizona Diamondbacks,Detroit Tigers,,0.4082,,145,win,
2026-03-31,SF/SD - Top 1,top,Germán Márquez,San Francisco Giants,San Diego Padres,0.4068,0.4082,-0.0014,145,win,negative
2026-03-31,SF/SD - Bot 1,bot,Logan Webb,San Diego Padres,San Francisco Giants,0.2934,0.3333,-0.0399,200,win,negative
2026-03-31,NYY/SEA - Top 1,top,Logan Gilbert,New York Yankees,Seattle Mariners,,0.2667,,275,loss,
2026-03-31,NYY/SEA - Bot 1,bot,Max Fried,Seattle Mariners,New York Yankees,,0.2703,,270,loss,
2026-03-31,CLE/LAD - Top 1,top,Shohei Ohtani,Cleveland Guardians,Los Angeles Dodgers,,0.25,,300,win,
2026-03-31,CLE/LAD - Bot 1,bot,Tanner Bibee,Los Angeles Dodgers,Cleveland Guardians,,0.3509,,185,win,
2026-04-01,CLE/LAD - Top 1,top,Yoshinobu Yamamoto,Cleveland Guardians,Los Angeles Dodgers,0.3237,0.3077,0.016,225,win,marginal
2026-04-01,CLE/LAD - Bot 1,bot,Gavin Williams,Los Angeles Dodgers,Cleveland Guardians,0.321,0.2817,0.0393,255,win,marginal
2026-04-01,MIN/KC - Top 1,top,Noah Cameron,Minnesota Twins,Kansas City Royals,0.3797,0.3704,0.0093,170,loss,marginal
2026-04-01,MIN/KC - Bot 1,bot,Joe Ryan,Kansas City Royals,Minnesota Twins,0.3209,0.3846,-0.0637,160,loss,negative
2026-04-02,MIN/KC - Top 1,top,Cole Ragans,Minnesota Twins,Kansas City Royals,0.2054,0.3704,-0.165,170,loss,negative
2026-04-02,MIN/KC - Bot 1,bot,Taj Bradley,Kansas City Royals,Minnesota Twins,0.3986,0.3846,0.014,160,loss,marginal
2026-04-02,ATL/ARI - Top 1,top,Ryne Nelson,Atlanta Braves,Arizona Diamondbacks,0.3492,0.3175,0.0317,215,loss,marginal
2026-04-02,ATL/ARI - Bot 1,bot,Reynaldo López,Arizona Diamondbacks,Atlanta Braves,0.5899,0.4,0.1899,150,loss,strong
2026-04-02,NYM/SF - Top 1,top,Robbie Ray,New York Mets,San Francisco Giants,,0.3636,,175,win,
2026-04-02,NYM/SF - Bot 1,bot,David Peterson,San Francisco Giants,New York Mets,,0.339,,195,loss,
2026-04-03,LAD/WSH - Bot 1,bot,Emmet Sheehan,Washington Nationals,Los Angeles Dodgers,0.2632,0.2381,0.0251,320,win,marginal
2026-04-03,STL/DET - Top 1,top,Framber Valdez,St. Louis Cardinals,Detroit Tigers,0.3274,0.3509,-0.0235,185,loss,negative
2026-04-03,STL/DET - Bot 1,bot,Michael McGreevy,Detroit Tigers,St. Louis Cardinals,0.3953,0.3846,0.0107,160,win,marginal
2026-04-03,MIA/NYY - Top 1,top,Will Warren,Miami Marlins,New York Yankees,0.3574,0.3077,0.0497,225,loss,marginal
2026-04-03,MIA/NYY - Bot 1,bot,Eury Pérez,New York Yankees,Miami Marlins,0.2781,0.3448,-0.0667,190,loss,negative
2026-04-03,SEA/LAA - Top 1,top,Reid Detmers,Seattle Mariners,Los Angeles Angels,0.2293,0.2,0.0293,400,win,marginal
2026-04-03,SEA/LAA - Bot 1,bot,Bryan Woo,Los Angeles Angels,Seattle Mariners,0.2646,0.2326,0.032,330,win,marginal
2026-04-03,HOU/ATH - Bot 1,bot,Cristian Javier,Athletics,Houston Astros,,0.339,,195,win,
2026-04-03,ATL/ARI - Top 1,top,Eduardo Rodriguez,Atlanta Braves,Arizona Diamondbacks,0.3159,0.4082,-0.0923,145,win,negative
2026-04-03,ATL/ARI - Bot 1,bot,Grant Holmes,Arizona Diamondbacks,Atlanta Braves,0.3616,0.4082,-0.0466,145,loss,negative
2026-04-03,NYM/SF - Top 1,top,Tyler Mahle,New York Mets,San Francisco Giants,,0.4167,,140,loss,
2026-04-03,NYM/SF - Bot 1,bot,Nolan McLean,San Francisco Giants,New York Mets,,0.2174,,360,loss,
2026-04-04,TOR/CWS - Top 1,top,Grant Taylor,Toronto Blue Jays,Chicago White Sox,0.1847,0.3922,-0.2075,155,loss,negative
2026-04-04,TOR/CWS - Bot 1,bot,Mason Fluharty,Chicago White Sox,Toronto Blue Jays,0.3386,0.3333,0.0053,200,win,marginal
2026-04-04,MIL/KC - Top 1,top,Luinder Avila,Milwaukee Brewers,Kansas City Royals,0.2987,0.4167,-0.118,140,loss,negative
2026-04-04,MIL/KC - Bot 1,bot,Chad Patrick,Kansas City Royals,Milwaukee Brewers,0.3519,0.4167,-0.0648,140,win,negative
2026-04-04,CIN/TEX - Top 1,top,Kumar Rocker,Cincinnati Reds,Texas Rangers,0.2979,0.303,-0.0051,230,win,negative
2026-04-04,CIN/TEX - Bot 1,bot,Rhett Lowder,Texas Rangers,Cincinnati Reds,0.3143,0.3846,-0.0703,160,loss,negative
2026-04-04,MIA/NYY - Top 1,top,Ryan Weathers,Miami Marlins,New York Yankees,0.3016,0.3077,-0.0061,225,loss,negative
2026-04-04,MIA/NYY - Bot 1,bot,Max Meyer,New York Yankees,Miami Marlins,0.285,0.3448,-0.0598,190,loss,negative
2026-04-04,TB/MIN - Top 1,top,Mick Abel,Tampa Bay Rays,Minnesota Twins,0.3105,0.3226,-0.0121,210,loss,negative
2026-04-04,TB/MIN - Bot 1,bot,Steven Matz,Minnesota Twins,Tampa Bay Rays,0.3849,0.4762,-0.0913,110,loss,negative
2026-04-04,ATL/ARI - Top 1,top,Michael Soroka,Atlanta Braves,Arizona Diamondbacks,0.297,0.2632,0.0338,280,loss,marginal
2026-04-04,ATL/ARI - Bot 1,bot,Bryce Elder,Arizona Diamondbacks,Atlanta Braves,0.3862,0.4545,-0.0683,120,loss,negative
2026-04-04,PHI/COL - Top 1,top,Brennan Bernardino,Philadelphia Phillies,Colorado Rockies,0.3521,0.3774,-0.0253,165,loss,negative
2026-04-04,PHI/COL - Bot 1,bot,Jesús Luzardo,Colorado Rockies,Philadelphia Phillies,0.2805,0.2703,0.0102,270,loss,marginal
2026-04-04,NYM/SF - Top 1,top,Landen Roupp,New York Mets,San Francisco Giants,,0.4,,150,loss,
2026-04-04,NYM/SF - Bot 1,bot,Clay Holmes,San Francisco Giants,New York Mets,,0.3279,,205,loss,
2026-04-04,SEA/LAA - Top 1,top,Jack Kochanowicz,Seattle Mariners,Los Angeles Angels,,0.3571,,180,loss,
2026-04-04,SEA/LAA - Bot 1,bot,Emerson Hancock,Los Angeles Angels,Seattle Mariners,,0.3333,,200,loss,
2026-04-05,STL/DET - Top 1,top,Keider Montero,St. Louis Cardinals,Detroit Tigers,0.3509,0.4348,-0.0839,130,loss,negative
2026-04-05,STL/DET - Bot 1,bot,Kyle Leahy,Detroit Tigers,St. Louis Cardinals,0.3251,0.4255,-0.1004,135,loss,negative
2026-04-06,KC/CLE - Top 1,top,Tanner Bibee,Kansas City Royals,Cleveland Guardians,0.3949,0.4255,-0.0306,135,win,negative
2026-04-06,KC/CLE - Bot 1,bot,Michael Wacha,Cleveland Guardians,Kansas City Royals,0.4263,0.4762,-0.0499,110,win,negative
2026-04-06,CIN/MIA - Top 1,top,Janson Junk,Cincinnati Reds,Miami Marlins,0.3418,0.3509,-0.0091,185,win,negative
2026-04-06,CIN/MIA - Bot 1,bot,Brandon Williamson,Miami Marlins,Cincinnati Reds,0.3101,0.3636,-0.0535,175,loss,negative
2026-04-06,STL/WSH - Bot 1,bot,Andre Pallante,Washington Nationals,St. Louis Cardinals,0.3767,0.3846,-0.0079,160,win,negative
2026-04-06,MIL/BOS - Top 1,top,Brayan Bello,Milwaukee Brewers,Boston Red Sox,0.3368,0.4167,-0.0799,140,loss,negative
2026-04-06,MIL/BOS - Bot 1,bot,Brandon Woodruff,Boston Red Sox,Milwaukee Brewers,0.2652,0.2667,-0.0015,275,loss,negative
2026-04-06,LAD/TOR - Top 1,top,Max Scherzer,Los Angeles Dodgers,Toronto Blue Jays,0.3296,0.3636,-0.034,175,loss,negative
2026-04-06,LAD/TOR - Bot 1,bot,Justin Wrobleski,Toronto Blue Jays,Los Angeles Dodgers,0.2688,0.3226,-0.0538,210,win,negative
2026-04-06,DET/MIN - Top 1,top,Joe Ryan,Detroit Tigers,Minnesota Twins,0.2749,0.2817,-0.0068,255,loss,negative
2026-04-06,DET/MIN - Bot 1,bot,Casey Mize,Minnesota Twins,Detroit Tigers,0.3286,0.3175,0.0111,215,win,marginal
2026-04-06,BAL/CWS - Top 1,top,Grant Taylor,Baltimore Orioles,Chicago White Sox,0.2034,0.2326,-0.0292,330,loss,negative
2026-04-06,BAL/CWS - Bot 1,bot,Brandon Young,Chicago White Sox,Baltimore Orioles,0.3598,0.4082,-0.0484,145,loss,negative
2026-04-06,SEA/TEX - Top 1,top,Jacob deGrom,Seattle Mariners,Texas Rangers,0.2877,0.2326,0.0551,330,loss,strong
2026-04-06,SEA/TEX - Bot 1,bot,Logan Gilbert,Texas Rangers,Seattle Mariners,0.2359,0.2703,-0.0344,270,win,negative
2026-04-06,HOU/COL - Top 1,top,Ryan Feltner,Houston Astros,Colorado Rockies,0.399,0.4545,-0.0555,120,loss,negative
2026-04-06,HOU/COL - Bot 1,bot,Cody Bolton,Colorado Rockies,Houston Astros,0.1921,0.2941,-0.102,240,win,negative
2026-04-06,ATL/LAA - Top 1,top,José Soriano,Atlanta Braves,Los Angeles Angels,0.3245,0.3226,0.0019,210,win,marginal
2026-04-06,ATL/LAA - Bot 1,bot,Chris Sale,Los Angeles Angels,Atlanta Braves,0.1877,0.2,-0.0123,400,loss,negative
2026-04-06,PHI/SF - Top 1,top,Adrian Houser,Philadelphia Phillies,San Francisco Giants,,0.3846,,160,loss,
2026-04-06,PHI/SF - Bot 1,bot,Andrew Painter,San Francisco Giants,Philadelphia Phillies,,0.3333,,200,loss,
2026-04-07,SD/PIT - Top 1,top,Paul Skenes,San Diego Padres,Pittsburgh Pirates,0.2854,0.2041,0.0813,390,loss,strong
2026-04-07,SD/PIT - Bot 1,bot,Nick Pivetta,Pittsburgh Pirates,San Diego Padres,0.2577,0.2222,0.0355,350,loss,marginal
2026-04-07,CHC/TB - Top 1,top,Mason Englert,Chicago Cubs,Tampa Bay Rays,0.3541,0.4255,-0.0714,135,win,negative
2026-04-07,CHC/TB - Bot 1,bot,Javier Assad,Tampa Bay Rays,Chicago Cubs,0.4078,0.4545,-0.0467,120,win,negative
2026-04-07,CIN/MIA - Top 1,top,Sandy Alcantara,Cincinnati Reds,Miami Marlins,0.3185,0.303,0.0155,230,win,marginal
2026-04-07,CIN/MIA - Bot 1,bot,Andrew Abbott,Miami Marlins,Cincinnati Reds,0.3049,0.3509,-0.046,185,loss,negative
