Name,playerId,Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Shea Langeliers,669127,Total,OAK,125,391,354,80,44,14,1,21,0,61,28,1,108,4,5,0,13,0,0,.226
J.D. Davis,605204,Total,NYY,35,102,93,21,15,4,0,2,0,4,6,0,23,3,0,0,3,0,0,.226
José Fermín,665877,Total,STL,20,37,31,7,5,1,1,0,0,4,5,0,8,1,0,0,2,0,0,.226
Pedro Pagés,686780,Total,STL,56,136,124,28,20,2,0,6,0,17,10,0,37,0,1,1,4,0,0,.226
Enrique Hernández,571771,Total,LAD,99,249,226,51,34,11,0,6,0,30,19,0,50,0,3,1,6,0,0,.226
Austin Barnes,605131,Total,LAD,42,113,102,23,21,1,0,1,0,7,10,0,30,0,0,1,3,0,0,.225
Ozzie Albies,645277,Total,ATL,94,326,293,66,39,20,1,6,0,39,25,0,52,4,4,0,3,0,0,.225
Matt Carpenter,572761,Total,STL,56,138,120,27,16,7,0,4,0,12,14,0,46,1,2,0,0,0,0,.225
Yasmani Grandal,518735,Total,PIT,64,183,160,36,20,7,0,9,0,22,20,0,32,0,1,2,4,0,0,.225
Tyler Soderstrom,691016,Total,OAK,60,191,169,38,21,8,0,9,0,23,18,1,49,3,1,0,7,0,0,.225
Oliver Dunn,686554,Total,MIL,36,97,89,20,15,2,2,1,0,6,6,0,36,1,0,1,1,0,0,.225
Zach McKinstry,656716,Total,DET,110,292,267,60,38,13,5,4,0,19,22,0,63,1,2,0,2,0,0,.225
J.D. Martinez,502110,Total,NYM,112,357,316,71,42,18,1,10,0,45,31,0,103,4,2,0,16,0,0,.225
Michael Conforto,624424,Total,SFG,127,382,343,77,39,21,3,14,0,46,32,1,92,5,2,0,13,0,0,.224
Mitch Haniger,571745,Total,SEA,104,278,245,55,35,11,0,9,0,34,30,0,79,2,1,0,6,0,0,.224
Royce Lewis,668904,Total,MIN,74,223,205,46,22,12,0,12,0,33,15,0,53,0,3,0,3,0,0,.224
Angel Martínez,682657,Total,CLE,39,125,116,26,18,5,0,3,0,8,7,0,26,0,1,1,2,0,0,.224
Luis Guillorme,641645,Total,ARI,61,168,143,32,22,9,1,0,0,10,22,0,32,0,2,1,6,0,0,.224
Connor Joe,656582,Total,PIT,93,246,219,49,32,10,1,6,0,21,24,0,56,3,0,0,4,0,0,.224
CJ Abrams,682928,Total,WSN,124,414,367,82,45,19,3,15,0,43,31,3,79,12,3,1,4,0,0,.223
Mickey Moniak,666160,Total,LAA,120,383,359,80,48,17,2,13,0,46,21,0,102,2,1,0,3,0,0,.223
Tyler Freeman,671289,Total,CLE,93,247,216,48,35,7,1,5,0,22,15,0,33,12,2,2,12,0,0,.222
DaShawn Keirsey Jr.,680577,Total,MIN,4,10,9,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,.222
Joey Loperfido,694388,Total,TOR,75,212,198,44,25,12,4,3,0,22,8,0,78,4,1,1,3,0,0,.222
Nasim Nuñez,683083,Total,WSN,25,47,36,8,8,0,0,0,0,0,8,0,10,0,0,3,0,0,0,.222
Liover Peguero,678894,Total,PIT,3,9,9,2,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,.222
Blake Perkins,663368,Total,MIL,99,278,243,54,41,7,2,4,0,24,28,1,84,3,4,0,1,0,0,.222
Adolis García,666969,Total,TEX,147,475,437,97,60,19,0,18,0,59,32,0,127,4,2,0,8,0,0,.222
Dansby Swanson,621020,Total,CHC,141,469,424,94,61,19,2,12,0,51,42,1,119,1,2,0,7,0,0,.222
Nick Martini,605361,Total,CIN,46,129,113,25,17,3,1,4,0,21,9,0,30,3,3,0,1,0,0,.221
Tomás Nido,621512,Total,CHC,40,90,86,19,12,3,0,4,0,8,2,0,18,0,1,1,0,0,0,.221
Brett Wisely,689172,Total,SFG,80,212,195,43,33,7,1,2,0,19,12,0,44,1,3,1,3,0,0,.221
Orlando Arcia,606115,Total,ATL,152,455,422,93,63,14,0,16,0,38,26,0,92,2,4,1,12,0,0,.220
Grant McCray,687529,Total,SFG,36,104,100,22,14,2,2,4,0,7,4,0,42,0,0,0,2,0,0,.220
Austin Shenton,668853,Total,TBR,19,49,41,9,3,5,0,1,0,3,8,0,13,0,0,0,1,0,0,.220
Carlos Santana,467793,Total,MIN,139,431,374,82,52,19,0,11,0,42,50,1,71,5,2,0,7,0,0,.219
Elehuris Montero,660707,Total,COL,59,185,169,37,23,10,0,4,0,22,14,0,43,0,2,0,5,0,0,.219
Andruw Monasterio,655316,Total,MIL,35,72,64,14,11,3,0,0,0,8,7,0,24,1,0,0,2,0,0,.219
Jared Triolo,669707,Total,PIT,106,324,288,63,47,7,1,8,0,40,27,0,85,5,4,0,5,0,0,.219
Adley Rutschman,668939,Total,BAL,139,456,407,89,64,12,1,12,0,46,42,2,79,1,6,0,6,0,0,.219
Zach Neto,687263,Total,LAA,151,486,435,95,50,27,0,18,0,60,31,0,118,15,1,4,13,0,0,.218
Isaac Paredes,670623,Total,CHC,148,482,403,88,57,18,0,13,0,52,61,2,80,13,5,0,13,0,0,.218
Joshua Palacios,641943,Total,PIT,23,66,55,12,8,2,0,2,0,9,10,0,11,1,0,0,1,0,0,.218
Kyle Schwarber,656941,Total,PHI,136,444,363,79,35,18,0,26,0,66,70,4,130,3,8,0,3,0,0,.218
Zach DeLoach,676113,Total,CWS,21,52,46,10,6,4,0,0,0,4,6,0,12,0,0,0,0,0,0,.217
Jason Vosler,613564,Total,SEA,9,25,23,5,3,1,1,0,0,3,2,0,8,0,0,0,0,0,0,.217
Kyle Stowers,669065,Total,MIA,57,166,152,33,21,8,1,3,0,22,11,0,62,2,1,0,1,0,0,.217
Romy Gonzalez,663853,Total,BOS,46,86,83,18,14,3,1,0,0,13,1,0,22,0,2,0,2,0,0,.217
Richie Palacios,680700,Total,TBR,84,285,236,51,38,7,1,5,0,18,42,2,58,5,1,0,5,0,0,.216
Brooks Baldwin,681460,Total,CWS,31,90,88,19,12,5,0,2,0,7,2,0,27,0,0,0,0,0,0,.216
Tucker Barnhart,571466,Total,ARI,26,63,51,11,9,2,0,0,0,5,11,0,18,0,0,1,0,0,0,.216
Luis Matos,682641,Total,SFG,36,105,102,22,17,2,0,3,0,18,3,0,13,0,0,0,4,0,0,.216
Ryan Jeffers,680777,Total,MIN,114,324,283,61,34,15,0,12,0,46,25,0,60,10,5,1,7,0,0,.216
MJ Melendez,669004,Total,KCR,132,377,339,73,33,21,2,17,0,40,34,1,98,3,0,0,2,0,0,.215
Brandon Nimmo,607043,Total,NYM,145,493,418,90,53,16,2,19,0,71,67,1,117,5,3,0,6,0,0,.215
Trey Cabbage,663550,Total,HOU,34,84,79,17,8,8,0,1,0,8,4,0,29,1,0,0,1,0,0,.215
Dominic Fletcher,666150,Total,CWS,67,183,172,37,30,6,0,1,0,15,6,1,44,1,1,2,3,0,0,.215
Reese McGuire,624512,Total,BOS,51,138,121,26,21,3,0,2,0,13,13,0,33,1,2,1,4,0,0,.215
Travis Jankowski,608671,Total,TEX,74,194,177,38,32,5,0,1,0,12,12,0,41,5,0,0,3,0,0,.215
Anthony Rendon,543685,Total,LAA,56,204,177,38,28,10,0,0,0,12,19,0,30,5,3,0,3,0,0,.215
Spencer Torkelson,679529,Total,DET,88,292,261,56,37,13,0,6,0,27,26,0,90,4,0,0,5,0,0,.215
Sam Hilliard,656541,Total,COL,44,115,98,21,12,3,1,5,0,11,14,1,38,0,0,3,2,0,0,.214
Jhonny Pereda,640902,Total,MIA,11,29,28,6,6,0,0,0,0,4,0,0,9,1,0,0,2,0,0,.214
Lane Thomas,657041,Total,CLE,120,383,346,74,45,16,2,11,0,47,29,0,109,4,4,0,3,0,0,.214
Chris Taylor,621035,Total,LAD,63,148,131,28,19,6,0,3,0,16,15,0,46,2,0,0,1,0,0,.214
Jonah Heim,641680,Total,TEX,126,374,351,75,56,10,0,9,0,45,18,0,70,4,1,0,10,0,0,.214
Jordan Walker,691023,Total,STL,45,122,117,25,15,6,1,3,0,12,2,0,40,1,2,0,3,0,0,.214
Jason Heyward,518792,Total,HOU,80,236,206,44,21,12,2,9,0,35,22,2,42,4,3,0,3,0,0,.214
Randy Arozarena,668227,Total,SEA,146,467,398,85,50,22,0,13,0,41,47,0,127,18,4,0,6,0,0,.214
Jackson Holliday,702616,Total,BAL,57,162,150,32,23,3,2,4,0,20,11,0,53,0,1,0,1,0,0,.213
Andy Pages,681624,Total,LAD,108,336,305,65,38,16,1,10,0,37,22,0,84,6,3,0,7,0,0,.213
Bryan Ramos,682868,Total,CWS,28,67,61,13,8,3,0,2,0,9,5,0,15,0,0,0,2,0,0,.213
Dominic Canzone,686527,Total,SEA,61,174,155,33,18,7,0,8,0,17,17,2,45,0,2,0,5,0,0,.213
Luis Urías,649966,Total,SEA,22,54,47,10,6,3,0,1,0,9,3,0,17,4,0,0,1,0,0,.213
Chas McCormick,676801,Total,HOU,67,178,160,34,25,5,0,4,0,17,11,0,52,3,3,1,3,0,0,.213
Rhys Hoskins,656555,Total,MIL,125,386,339,72,42,12,0,18,0,58,36,0,114,6,4,0,8,0,0,.212
Ryan Bliss,669208,Total,SEA,15,37,33,7,5,2,0,0,0,3,1,0,10,1,0,2,1,0,0,.212
David Dahl,621311,Total,PHI,19,54,52,11,6,2,0,3,0,7,2,0,19,0,0,0,0,0,0,.212
Korey Lee,686676,Total,CWS,108,290,279,59,37,12,1,9,0,28,11,0,91,0,0,0,8,0,0,.211
Brooks Lee,686797,Total,MIN,46,133,123,26,18,5,1,2,0,23,9,2,18,0,1,0,6,0,0,.211
Ke'Bryan Hayes,663647,Total,PIT,94,302,284,60,54,5,0,1,0,14,14,1,62,2,2,0,10,0,0,.211
Brayan Rocchio,677587,Total,CLE,122,317,275,58,42,12,0,4,0,24,32,1,59,6,3,1,10,0,0,.211
Jasson Domínguez,691176,Total,NYY,18,44,38,8,5,1,0,2,0,3,6,0,13,0,0,0,0,0,0,.211
Nick Madrigal,663611,Total,CHC,25,61,57,12,11,1,0,0,0,5,2,0,6,2,0,0,2,0,0,.211
Matt Thaiss,642136,Total,LAA,55,145,119,25,16,7,0,2,0,12,26,0,51,0,0,0,2,0,0,.210
Bryan De La Cruz,650559,Total,PIT,141,434,405,85,56,12,0,17,0,44,23,1,123,2,3,0,7,0,0,.210
Casey Schmitt,669477,Total,SFG,28,64,62,13,8,3,0,2,0,9,2,0,15,0,0,0,1,0,0,.210
Michael Toglia,669911,Total,COL,109,312,272,57,31,7,3,16,0,36,36,2,106,1,2,0,4,0,0,.210
Noelvi Marte,682622,Total,CIN,62,197,187,39,29,7,0,3,0,15,6,0,56,3,1,0,1,0,0,.209
Tyler O'Neill,641933,Total,BOS,105,317,283,59,34,10,0,15,0,32,27,1,110,6,1,0,8,0,0,.208
Christopher Morel,666624,Total,TBR,143,483,427,89,61,9,2,17,0,48,47,0,128,7,2,0,9,0,0,.208
Jared Walsh,665120,Total,TEX,16,55,48,10,8,1,0,1,0,7,7,0,20,0,0,0,2,0,0,.208
Addison Barger,680718,Total,TOR,64,188,173,36,21,8,0,7,0,24,13,0,43,0,1,0,1,0,0,.208
Manuel Margot,622534,Total,MIN,84,172,159,33,24,7,1,1,0,15,8,0,29,3,1,1,5,0,0,.208
Dylan Crews,686611,Total,WSN,29,90,82,17,12,3,1,1,0,4,7,0,17,0,1,0,3,0,0,.207
Jake Meyers,676694,Total,HOU,128,367,333,69,46,12,2,9,0,49,23,0,85,5,3,3,12,0,0,.207
Jake Rogers,668670,Total,DET,86,244,227,47,24,13,1,9,0,31,12,0,72,3,2,0,3,0,0,.207
Kevin Kiermaier,595281,Total,LAD,79,224,208,43,28,7,3,5,0,24,7,0,69,2,1,6,3,0,0,.207
Blaze Alexander,677942,Total,ARI,41,101,92,19,16,2,0,1,0,13,8,0,25,1,0,0,1,0,0,.207
Adam Frazier,624428,Total,KCR,101,263,233,48,33,10,1,4,0,17,21,0,55,6,0,3,0,0,0,.206
Dylan Carlson,666185,Total,TBR,64,149,136,28,24,2,0,2,0,16,10,0,48,2,1,0,2,0,0,.206
Tyler Nevin,663527,Total,OAK,63,151,136,28,22,4,0,2,0,8,13,0,38,1,1,0,4,0,0,.206
Evan Carter,694497,Total,TEX,45,133,117,24,11,6,2,5,0,13,14,0,33,1,1,0,1,0,0,.205
Mason McCoy,669200,Total,SDP,16,46,39,8,6,2,0,0,0,3,4,0,16,0,0,3,1,0,0,.205
Jhonkensy Noel,678877,Total,CLE,51,135,122,25,14,4,1,6,0,14,9,0,46,4,0,0,1,0,0,.205
Leo Jiménez,677870,Total,TOR,53,149,127,26,17,6,0,3,0,14,8,0,37,12,2,0,6,0,0,.205
Nolan Gorman,669357,Total,STL,97,289,260,53,28,10,0,15,0,36,26,1,108,1,2,0,1,0,0,.204
Jorge Mateo,622761,Total,BAL,50,118,108,22,13,6,1,2,0,12,5,0,26,0,3,2,3,0,0,.204
Davis Schneider,676914,Total,TOR,109,316,276,56,31,15,0,10,0,31,35,0,95,4,1,0,2,0,0,.203
Austin Hays,669720,Total,PHI,67,165,153,31,21,6,0,4,0,12,4,0,35,6,2,0,1,0,0,.203
Alex Kirilloff,666135,Total,MIN,56,170,153,31,15,8,3,5,0,19,15,0,47,0,2,0,5,0,0,.203
Edouard Julien,666397,Total,MIN,89,268,237,48,33,8,0,7,0,20,30,0,88,1,0,0,2,0,0,.203
Trey Sweeney,700242,Total,DET,32,90,84,17,10,4,0,3,0,14,4,0,22,1,1,0,2,0,0,.202
Kody Clemens,665019,Total,PHI,40,99,94,19,7,6,1,5,0,12,4,0,25,1,0,0,2,0,0,.202
Bo Naylor,666310,Total,CLE,114,312,282,57,37,7,2,11,0,30,25,1,99,2,2,1,2,0,0,.202
Tim Anderson,641313,Total,MIA,57,151,149,30,28,2,0,0,0,7,2,0,43,0,0,0,5,0,0,.201
Christian Encarnacion-Strand,687952,Total,CIN,27,85,80,16,9,5,0,2,0,14,2,0,22,1,2,0,3,0,0,.200
Derek Hill,656537,Total,MIA,36,105,100,20,16,2,0,2,0,10,1,0,36,2,1,1,1,0,0,.200
Greg Jones,675659,Total,COL,4,6,5,1,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,.200
Levi Jordan,682119,Total,CIN,3,5,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.200
Charles Leblanc,641779,Total,LAA,8,15,10,2,1,0,0,1,0,1,5,0,4,0,0,0,0,0,0,.200
J.P. Martínez,679881,Total,ATL,5,10,10,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,.200
Sean Murphy,669221,Total,ATL,67,194,170,34,24,3,1,6,0,16,22,0,42,1,1,0,7,0,0,.200
Thomas Saggese,695336,Total,STL,13,37,35,7,6,1,0,0,0,2,1,0,9,1,0,0,0,0,0,.200
Brian Serven,661531,Total,TOR,20,46,40,8,5,3,0,0,0,2,3,0,12,2,0,1,0,0,0,.200
Drew Waters,671221,Total,KCR,6,18,15,3,2,1,0,0,0,1,2,0,5,1,0,0,0,0,0,.200
Nick Senzel,669222,Total,CWS,61,193,171,34,22,8,0,4,0,11,19,0,51,1,0,1,1,0,0,.199
Nick Ahmed,605113,Total,SDP,57,141,131,26,20,5,0,1,0,9,4,0,33,1,2,3,3,0,0,.198
Jorge Polanco,593871,Total,SEA,113,339,293,58,39,7,0,12,0,31,40,3,109,4,2,0,10,0,0,.198
Gabriel Arias,672356,Total,CLE,35,96,91,18,10,6,1,1,0,8,3,0,31,1,1,0,2,0,0,.198
Alek Thomas,677950,Total,ARI,30,78,71,14,7,3,1,3,0,14,6,0,13,0,0,1,6,0,0,.197
Curt Casali,592200,Total,SFG,31,76,66,13,11,1,0,1,0,6,6,0,12,2,0,2,3,0,0,.197
Miguel Sanó,593934,Total,LAA,25,74,66,13,9,2,0,2,0,6,5,0,33,2,1,0,1,0,0,.197
Jordan Beck,687597,Total,COL,48,128,117,23,18,3,0,2,0,10,9,0,45,1,1,0,1,0,0,.197
Wilmer Flores,527038,Total,SFG,58,134,117,23,16,5,0,2,0,9,12,0,20,3,2,0,5,0,0,.197
Jo Adell,666176,Total,LAA,119,346,307,60,38,10,0,12,0,44,28,0,105,7,3,0,6,0,0,.195
Miles Mastrobuoni,670156,Total,CHC,42,90,82,16,13,3,0,0,0,3,7,0,15,0,1,0,1,0,0,.195
Garrett Stubbs,596117,Total,PHI,50,128,113,22,16,4,1,1,0,8,11,0,36,3,1,0,0,0,0,.195
Daulton Varsho,662139,Total,TOR,126,409,365,71,35,14,7,15,0,47,38,1,121,4,1,1,2,0,0,.195
Ji Hwan Bae,678225,Total,PIT,23,74,67,13,11,2,0,0,0,6,6,0,20,0,1,0,0,0,0,.194
Cavan Biggio,624415,Total,ATL,67,192,160,31,21,5,0,5,0,17,20,0,61,8,0,2,0,0,0,.194
Will Benson,666181,Total,CIN,119,317,284,55,24,16,2,13,0,36,31,0,132,1,1,0,1,0,0,.194
Jake Bauers,641343,Total,MIL,110,311,269,52,32,7,2,11,0,38,38,1,111,4,0,0,0,0,0,.193
Danny Jansen,643376,Total,BOS,75,230,202,39,21,11,0,7,0,18,23,0,44,3,2,0,3,0,0,.193
Dairon Blanco,680118,Total,KCR,32,63,57,11,10,0,0,1,0,6,3,0,18,1,0,1,1,0,0,.193
Ali Sánchez,645305,Total,MIA,26,65,57,11,9,2,0,0,0,3,2,0,17,1,1,4,1,0,0,.193
Michael A. Taylor,572191,Total,PIT,77,195,177,34,26,6,0,2,0,12,14,0,68,0,2,2,3,0,0,.192
DJ Stewart,621466,Total,NYM,71,179,146,28,19,4,0,5,0,19,29,0,42,3,1,0,4,0,0,.192
Javier Báez,595879,Total,DET,73,224,209,40,25,10,0,5,0,29,10,1,54,2,3,0,8,0,0,.191
Daniel Schneemann,682177,Total,CLE,70,185,162,31,17,9,1,4,0,19,20,0,57,0,3,0,1,0,0,.191
Daniel Vogelbach,596129,Total,TOR,31,77,68,13,7,5,0,1,0,8,9,0,16,0,0,0,3,0,0,.191
Christian Bethancourt,542194,Total,CHC,39,96,89,17,11,3,0,3,0,14,4,0,23,1,0,2,1,0,0,.191
Tyler Black,672012,Total,MIL,17,50,42,8,7,1,0,0,0,2,7,0,16,1,0,0,0,0,0,.190
Billy McKinney,641856,Total,PIT,10,24,21,4,3,1,0,0,0,2,2,0,10,1,0,0,1,0,0,.190
Alika Williams,675961,Total,PIT,32,64,63,12,11,1,0,0,0,1,0,0,16,1,0,0,0,0,0,.190
Justyn-Henry Malloy,669234,Total,DET,60,169,154,29,20,3,0,6,0,12,13,0,64,1,1,0,1,0,0,.188
Jacob Hurtubise,674441,Total,CIN,24,59,48,9,7,1,1,0,0,4,6,0,15,2,1,2,0,0,0,.188
Nick Allen,669397,Total,OAK,30,64,59,11,9,2,0,0,0,3,4,0,13,0,0,1,0,0,0,.186
Dillon Dingler,693307,Total,DET,21,62,59,11,5,4,1,1,0,8,3,0,22,0,0,0,1,0,0,.186
Trent Grisham,663757,Total,NYY,62,168,141,26,12,6,0,8,0,24,21,1,46,2,2,1,5,0,0,.184
Cristian Pache,665506,Total,MIA,36,53,49,9,9,0,0,0,0,6,3,0,22,0,1,0,2,0,0,.184
Dylan Moore,664238,Total,SEA,106,265,224,41,21,11,3,6,0,28,28,0,76,10,2,1,6,0,0,.183
Ben Rice,700250,Total,NYY,44,133,115,21,9,6,0,6,0,20,13,0,37,1,4,0,2,0,0,.183
Garrett Cooper,643265,Total,BOS,27,73,66,12,9,2,0,1,0,7,5,0,22,2,0,0,2,0,0,.182
Jason Delay,641511,Total,PIT,5,13,11,2,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,.182
Taylor Walls,670764,Total,TBR,68,196,165,30,24,3,2,1,0,12,28,0,43,0,3,0,3,0,0,.182
Davis Wendzel,673995,Total,TEX,8,12,11,2,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,.182
Tommy Edman,669242,Total,LAD,37,117,105,19,14,3,0,2,0,13,10,0,24,1,1,0,2,0,0,.181
Jose Siri,642350,Total,TBR,116,336,304,55,30,11,1,13,0,31,21,0,132,7,1,2,5,0,0,.181
Sean Bouchard,656248,Total,COL,25,73,61,11,4,7,0,0,0,5,8,0,21,2,1,1,0,0,0,.180
Billy Cook,695257,Total,PIT,14,39,39,7,4,1,0,2,0,3,0,0,17,0,0,0,0,0,0,.179
Nelson Velázquez,676369,Total,KCR,52,160,145,26,14,5,0,7,0,20,11,0,42,2,2,0,5,0,0,.179
Joey Gallo,608336,Total,WSN,71,196,162,29,13,8,0,8,0,21,30,0,74,3,1,0,1,0,0,.179
Logan Driscoll,686482,Total,TBR,12,30,28,5,4,0,0,1,0,5,1,0,4,0,1,0,0,0,0,.179
Vaughn Grissom,687093,Total,BOS,30,90,84,15,13,2,0,0,0,4,4,0,17,1,1,0,2,0,0,.179
Robbie Grossman,543257,Total,KCR,53,119,101,18,15,3,0,0,0,5,16,0,28,1,1,0,4,0,0,.178
Hunter Goodman,696100,Total,COL,54,132,124,22,11,4,0,7,0,22,6,0,35,1,1,0,3,0,0,.177
Ehire Adrianza,501303,Total,LAA,7,19,17,3,2,0,0,1,0,1,2,0,8,0,0,0,0,0,0,.176
Niko Kavadas,694359,Total,LAA,30,96,85,15,10,2,0,3,0,7,9,0,38,2,0,0,0,0,0,.176
Drew Romo,691011,Total,COL,13,35,34,6,3,3,0,0,0,5,1,0,12,0,0,0,2,0,0,.176
Eddie Rosario,592696,Total,ATL,89,285,268,47,25,12,0,10,0,33,13,0,71,0,3,1,3,0,0,.175
Nick Loftin,679845,Total,KCR,42,119,103,18,14,4,0,0,0,7,14,0,18,0,1,1,3,0,0,.175
Jack Suwinski,669261,Total,PIT,82,239,212,37,22,7,0,8,0,24,25,2,61,1,1,0,3,0,0,.175
Yan Gomes,543228,Total,CHC,28,79,75,13,9,2,0,2,0,6,1,0,28,1,1,1,2,0,0,.173
Marco Luciano,682617,Total,SFG,21,56,52,9,6,2,1,0,0,2,4,0,21,0,0,0,1,0,0,.173
J.P. Crawford,641487,Total,SEA,98,308,266,46,28,12,1,5,0,18,39,0,80,2,1,0,3,0,0,.173
Andrés Chaparro,665953,Total,WSN,28,87,81,14,6,6,0,2,0,7,3,0,15,3,0,0,2,0,0,.173
Kevin Pillar,607680,Total,LAA,72,189,168,29,19,5,0,5,0,21,11,0,47,7,2,1,8,0,0,.173
Tyler Locklear,682988,Total,SEA,10,32,29,5,3,1,0,1,0,2,2,0,13,1,0,0,2,0,0,.172
Andrew Knizner,668800,Total,TEX,27,66,64,11,10,0,0,1,0,7,1,0,15,1,0,0,0,0,0,.172
Victor Scott II,687363,Total,STL,42,113,105,18,8,9,0,1,0,8,5,0,28,1,2,0,0,0,0,.171
Alan Trejo,676701,Total,COL,21,45,41,7,7,0,0,0,0,1,2,0,10,1,0,1,0,0,0,.171
Corey Julks,667452,Total,CWS,40,98,89,15,9,4,0,2,0,8,8,0,22,0,1,0,5,0,0,.169
Luke Maile,571912,Total,CIN,44,107,95,16,13,3,0,0,0,1,7,0,39,4,0,1,2,0,0,.168
Brandon Drury,592273,Total,LAA,92,280,251,42,33,5,0,4,0,11,23,0,60,5,1,0,9,0,0,.167
Adael Amador,691182,Total,COL,10,31,30,5,4,1,0,0,0,0,1,0,6,0,0,0,1,0,0,.167
Jacob Amaya,676070,Total,CWS,20,42,42,7,6,1,0,0,0,3,0,0,16,0,0,0,1,0,0,.167
Kyle Farmer,571657,Total,MIN,61,124,108,18,9,7,0,2,0,15,11,0,27,3,2,0,2,0,0,.167
Avisaíl García,541645,Total,MIA,10,12,12,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.167
Andrew Knapp,595284,Total,SFG,2,6,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.167
Curtis Mead,678554,Total,TBR,33,82,78,13,11,1,0,1,0,4,1,0,20,1,1,0,2,0,0,.167
Danny Mendick,664901,Total,CWS,32,88,85,14,9,4,0,1,0,3,1,0,25,2,0,0,3,0,0,.165
Michael Stefanic,683021,Total,LAA,35,80,67,11,9,2,0,0,0,7,9,0,13,3,0,1,2,0,0,.164
Brandon Crawford,543063,Total,STL,26,69,61,10,5,4,0,1,0,3,8,0,23,0,0,0,0,0,0,.164
Andy Ibáñez,628451,Total,DET,49,90,87,14,11,2,0,1,0,8,3,0,32,0,0,0,1,0,0,.161
Daz Cameron,663662,Total,OAK,40,100,95,15,12,2,0,1,0,4,3,0,26,1,1,0,2,0,0,.158
Jahmai Jones,663330,Total,NYY,13,22,19,3,3,0,0,0,0,2,0,0,7,2,0,1,0,0,0,.158
Pablo Reyes,622569,Total,BOS,17,42,38,6,6,0,0,0,0,3,3,0,11,1,0,0,1,0,0,.158
Kyren Paris,677347,Total,LAA,14,33,26,4,2,1,0,1,0,4,6,0,11,0,0,0,1,0,0,.154
Patrick Wisdom,621550,Total,CHC,38,71,65,10,2,3,1,4,0,6,5,0,21,0,0,1,1,0,0,.154
Estevan Florial,664314,Total,CLE,34,97,85,13,5,3,2,3,0,8,10,0,36,1,0,1,1,0,0,.153
Stuart Fairchild,656413,Total,CIN,57,109,99,15,7,5,0,3,0,9,4,0,30,4,1,1,0,0,0,.152
Keston Hiura,669374,Total,LAA,7,20,20,3,3,0,0,0,0,1,0,0,7,0,0,0,0,0,0,.150
Tom Murphy,608596,Total,SFG,10,22,20,3,1,1,0,1,0,2,2,0,6,0,0,0,0,0,0,.150
Omar Narváez,553882,Total,NYM,23,62,60,9,7,2,0,0,0,5,2,0,10,0,0,0,2,0,0,.150
Bobby Dalbec,666915,Total,BOS,24,54,47,7,4,2,0,1,0,4,5,0,22,1,0,1,0,0,0,.149
Martín Maldonado,455117,Total,CWS,44,102,94,14,8,3,0,3,0,8,6,0,34,1,0,1,3,0,0,.149
James Outman,681546,Total,LAD,51,139,121,18,10,4,0,4,0,11,14,0,47,4,0,0,0,0,0,.149
Steward Berroa,672642,Total,TOR,16,34,27,4,3,1,0,0,0,0,7,0,10,0,0,0,0,0,0,.148
Chuckie Robinson,642020,Total,CWS,21,52,48,7,7,0,0,0,0,0,4,0,12,0,0,0,1,0,0,.146
Mitch Garver,641598,Total,SEA,99,274,234,34,15,12,0,7,0,23,31,0,100,7,2,0,6,0,0,.145
Kevin Alcántara,682634,Total,CHC,3,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143
Adam Duvall,594807,Total,ATL,85,207,196,28,19,6,0,3,0,11,8,0,71,3,0,0,4,0,0,.143
Mike Ford,645801,Total,CIN,16,44,42,6,4,0,1,1,0,2,2,0,9,0,0,0,0,0,0,.143
Darell Hernaiz,687231,Total,OAK,35,85,77,11,9,1,0,1,0,7,8,0,19,0,0,0,3,0,0,.143
Jakson Reetz,656883,Total,SFG,4,8,7,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,.143
Zack Short,670097,Total,ATL,25,62,49,7,4,3,0,0,0,4,10,0,15,1,0,2,0,0,0,.143
Taylor Trammell,666211,Total,NYY,4,7,7,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.143
Ryan Noda,676116,Total,OAK,32,92,80,11,7,4,0,0,0,3,11,0,32,1,0,0,0,0,0,.138
Brett Harris,695391,Total,OAK,31,89,73,10,6,1,0,3,0,11,13,0,16,2,1,0,2,0,0,.137
Alex Jackson,656577,Total,TBR,44,98,88,12,5,6,0,1,0,7,7,0,33,2,0,1,1,0,0,.136
Graham Pauley,688363,Total,SDP,13,30,30,4,2,0,0,2,0,5,0,0,14,0,0,0,1,0,0,.133
Akil Baddoo,668731,Total,DET,28,77,68,9,4,2,1,2,0,5,8,0,25,0,1,0,0,0,0,.132
