Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Adael Amador","COL",10,36,0,1,0,1,0.027777777,0.166666666,0.028571429,0.206896551,0.171428571,0.194444444,0.2,0.17681900494628483,,-6.4352922538734685,-0.7920572850853205,-5.286427953695295,0.17127309064380825,-0.4035016669039026,"Adael Amador",27962,691182
"Sandy León","TEX",22,44,0,4,4,0,0.022727272,0.454545454,0.048780488,0.285714285,0.146341463,0.186046511,0.195121951,0.17301343762597374,,-1.4506374693352382,-0.2540340321138501,-5.6026329861281585,-0.0683171870186925,-0.4151390352902104,"Sandy Leon",5273,506702
"Bryce Johnson","- - -",50,94,1,10,4,4,0.085106382,0.255319148,0.06097561,0.189655172,0.146341463,0.219780219,0.207317073,0.19775907154921646,,24.174751864791496,1.0664636144647375,-7.500231286290589,0.15032462868839502,-0.42855380610914967,"Bryce Johnson",20002,669369
"Cooper Hummel","- - -",16,34,0,2,0,2,0.058823529,0.323529411,0.032258064,0.1,0.064516129,0.147058823,0.096774193,0.1248267485814936,,-24.699168381007425,0.5334082287736237,-4.603075764935708,-0.8593535097315907,-0.4357380605507518,"Cooper Hummel",19458,669450
"Dylan Carlson","STL",133,388,5,39,38,3,0.097938144,0.213917525,0.089552238,0.264822134,0.214925373,0.30670103,0.304477611,0.2771130772595553,,75.26642077297025,0.02228591960738413,-11.504498182196588,-6.813310803845525,-0.5373230435921306,"Dylan Carlson",20126,666185
"Rodolfo Castro","- - -",92,256,6,21,24,1,0.08984375,0.2890625,0.110132159,0.283783783,0.211453744,0.296875,0.321585903,0.2767042022125394,,69.40183422832018,-1.996707432124822,-11.700775102401312,-3.6925822441116907,-0.6704985730520376,"Rodolfo Castro",21987,666801
"Oswaldo Cabrera","NYY",194,577,10,67,58,11,0.06932409,0.209705372,0.091428572,0.270676691,0.224761904,0.280977312,0.316190476,0.2648456158129485,,68.6601086334818,-0.3044495608191937,-21.78150509410517,-4.327030193526298,-0.6719774343112669,"Oswaldo Cabrera",21707,665828
"Niko Goodrum","- - -",13,33,0,2,0,1,0.09090909,0.303030303,0,0.157894736,0.103448275,0.1875,0.103448275,0.1475129183381796,,-9.018042452993916,-0.25546555587789044,-4.428633214216612,-4.529697992373258,-0.816856251790712,"Niko Goodrum",12092,592348
"Eduardo Escobar","- - -",100,309,6,32,31,2,0.058252427,0.252427184,0.118055556,0.286407766,0.225694444,0.269480519,0.34375,0.26694634169727177,,65.6948516349771,-1.1296186316758394,-13.882529540441475,-5.236391709644522,-0.8554234958313148,"Eduardo Escobar",6153,500871
"Vidal Bruján","- - -",114,291,1,39,17,7,0.082474226,0.213058419,0.081081081,0.275510204,0.212355212,0.294117647,0.293436293,0.26311304060729235,,67.31039950123099,-0.29301340435631573,-11.602306326773794,-7.602078568888828,-0.9386909976807852,"Vidal Brujan",20536,660644
"Keibert Ruiz","WSN",211,843,25,79,97,2,0.047449584,0.106761565,0.137055837,0.249262536,0.246192893,0.289442467,0.38324873,0.2922145140992208,,82.65519199665685,-6.380651865794789,-23.79738437730549,-15.427031570579857,-1.0821612582193267,"Keibert Ruiz",19610,660688
"Michael Toglia","COL",102,369,20,48,46,5,0.073170731,0.319783197,0.21661721,0.217821782,0.189910979,0.25203252,0.406528189,0.28253278201041016,,63.5814246039709,-0.15392114489804953,-16.704332675876252,-7.783076141029596,-1.1964193916543615,"Michael Toglia",25845,669911
