Name,Team,MLBAMID
Alek Jacob,San Diego Padres,689690
Drey Jameson,Arizona Diamondbacks,686753
Kenley Jansen,Los Angeles Angels,445276
Bryce Jarvis,Arizona Diamondbacks,686826
Cristian Javier,Houston Astros,664299
Griffin Jax,Tampa Bay Rays,643377
Jackson Jobe,Detroit Tigers,695549
Pierce Johnson,Atlanta Braves,572955
Ryan Johnson,Los Angeles Angels,696270
Seth Johnson,Philadelphia Phillies,686751
Ben Joyce,Los Angeles Angels,690829
Jakob Junis,Cleveland Guardians,596001
Janson Junk,Miami Marlins,676083
Tommy Kahnle,Detroit Tigers,592454
Brad Keller,Chicago Cubs,641745
Mitch Keller,Pittsburgh Pirates,656605
Casey Kelly,Arizona Diamondbacks,543391
Merrill Kelly,Texas Rangers,518876
Kevin Kelly,Tampa Bay Rays,687330
Michael Kelly,Athletics,547184
Zack Kelly,Boston Red Sox,677161
Zak Kent,Cleveland Guardians,687849
Orion Kerkering,Philadelphia Phillies,689147
Craig Kimbrel,Houston Astros,518886
Michael King,San Diego Padres,650633
Tyler Kinley,Atlanta Braves,641755
George Kirby,Seattle Mariners,669923
Andrew Kittredge,Chicago Cubs,552640
Will Klein,Los Angeles Dodgers,694361
Landon Knack,Los Angeles Dodgers,689017
Jack Kochanowicz,Los Angeles Angels,686799
Stephen Kolek,Kansas City Royals,663568
Michael Kopech,Los Angeles Dodgers,656629
Jackson Kowar,Seattle Mariners,663804
Max Kranick,New York Mets,668820
Dean Kremer,Baltimore Orioles,665152
Brooks Kriske,Minnesota Twins,621139
Alex Lange,Detroit Tigers,656638
Sauryn Lao,Washington Nationals,666659
Andry Lara,Washington Nationals,691251
Cody Laweryson,Minnesota Twins,689520
Casey Lawrence,Seattle Mariners,596271
Justin Lawrence,Pittsburgh Pirates,664875
Max Lazar,Philadelphia Phillies,676661
Kyle Leahy,St. Louis Cardinals,681517
Jordan Leasure,Chicago White Sox,673929
José Leclerc,Athletics,600917
Chase Lee,Detroit Tigers,695445
Casey Legumina,Seattle Mariners,668984
Jack Leiter,Texas Rangers,683004
Mark Leiter Jr.,New York Yankees,643410
Zack Littell,Cincinnati Reds,641793
Jack Little,Los Angeles Dodgers,669193
Ben Lively,Cleveland Guardians,594902
Jonathan Loáisiga,New York Yankees,642528
Jorge López,Washington Nationals,605347
Pablo López,Minnesota Twins,641154
Reynaldo López,Atlanta Braves,625643
Brad Lord,Washington Nationals,695418
Michael Lorenzen,Kansas City Royals,547179
Ryan Loutos,Washington Nationals,702795
Seth Lugo,Kansas City Royals,607625
Kenta Maeda,Detroit Tigers,628317
Tyler Mahle,Texas Rangers,641816
Anthony Maldonado,Athletics,687424
Ron Marinaccio,San Diego Padres,676760
Germán Márquez,Colorado Rockies,608566
Chris Martin,Texas Rangers,455119
Corbin Martin,Baltimore Orioles,656686
Davis Martin,Chicago White Sox,663436
Justin Martinez,Arizona Diamondbacks,679885
Nick Martinez,Cincinnati Reds,607259
Seth Martinez,Miami Marlins,661527
Phil Maton,Texas Rangers,664208
Zebby Matthews,Minnesota Twins,805673
Isaac Mattson,Pittsburgh Pirates,676755
Zach Maxwell,Cincinnati Reds,687209
Dustin May,Boston Red Sox,669160
Adam Mazur,Miami Marlins,800049
Darren McCaughan,Minnesota Twins,670766
Lance McCullers Jr.,Houston Astros,621121
Chayce McDermott,Baltimore Orioles,694646
Trevor McDonald,San Francisco Giants,686790
Easton McGee,Milwaukee Brewers,668834
Scott McGough,Athletics,543518
Michael McGreevy,St. Louis Cardinals,700241
Triston McKenzie,Cleveland Guardians,663474
Nolan McLean,New York Mets,690997
Nick Mears,Milwaukee Brewers,683232
Victor Mederos,Los Angeles Angels,682989
Trevor Megill,Milwaukee Brewers,656730
Tylor Megill,New York Mets,656731
Juan Mejia,Colorado Rockies,675848
Troy Melton,Detroit Tigers,675512
Cristian Mena,Arizona Diamondbacks,691441
Michael Mercado,Philadelphia Phillies,675650
Julian Merryweather,Chicago Cubs,657240
Luis Mey,Cincinnati Reds,682825
Max Meyer,Miami Marlins,676974
Miles Mikolas,St. Louis Cardinals,571945
Bryce Miller,Seattle Mariners,682243
Mason Miller,San Diego Padres,695243
Bobby Miller,Los Angeles Dodgers,676272
Shelby Miller,Milwaukee Brewers,571946
Jacob Misiorowski,Milwaukee Brewers,694819
Casey Mize,Detroit Tigers,663554
Carmen Mlodzinski,Pittsburgh Pirates,669387
Anthony Molina,Colorado Rockies,683627
Frankie Montas,New York Mets,593423
Keider Montero,Detroit Tigers,672456
Rafael Montero,Detroit Tigers,606160
Christian Montes De Oca,Arizona Diamondbacks,801216
Luis Morales,Athletics,806960
Dauri Moreta,Pittsburgh Pirates,664294
David Morgan,San Diego Padres,688158
Eli Morgan,Chicago Cubs,669212
Juan Morillo,Arizona Diamondbacks,666661
Charlie Morton,Atlanta Braves,450203
Andrés Muñoz,Seattle Mariners,662253
Roddery Muñoz,St. Louis Cardinals,682610
Rolddy Muñoz,Atlanta Braves,691548
Noah Murdock,Athletics,668716
Penn Murfee,Chicago White Sox,682171
Jayden Murray,Houston Astros,681151
Tobias Myers,Milwaukee Brewers,668964
Tommy Nance,Toronto Blue Jays,667297
Ryne Nelson,Arizona Diamondbacks,669194
Héctor Neris,Houston Astros,593576
Kyle Nicolas,Pittsburgh Pirates,693312
Aaron Nola,Philadelphia Phillies,605400
Dedniel Núñez,New York Mets,673380
Eduarniel Núñez,Athletics,674384
Riley O'Brien,St. Louis Cardinals,676617
Bailey Ober,Minnesota Twins,641927
Pierson Ohl,Minnesota Twins,701487
Reese Olson,Detroit Tigers,681857
Kaleb Ort,Houston Astros,672391
Luis Ortiz,Cleveland Guardians,682847
Eric Orze,Tampa Bay Rays,679358
Michel Otañez,Athletics,671305
Adam Ottavino,New York Yankees,493603
Johan Oviedo,Pittsburgh Pirates,670912
Tyler Owens,Detroit Tigers,687074
Chris Paddack,Detroit Tigers,663978
Emilio Pagán,Cincinnati Reds,641941
Daniel Palencia,Chicago Cubs,694037
Andre Pallante,St. Louis Cardinals,669467
Chad Patrick,Milwaukee Brewers,694477
Joel Payamps,Atlanta Braves,606303
Nate Pearson,Chicago Cubs,663878
Elvis Peguero,Chicago White Sox,665625
Joel Peguero,San Francisco Giants,666711
Ryan Pepiot,Tampa Bay Rays,686752
Freddy Peralta,Milwaukee Brewers,642547
Eury Pérez,Miami Marlins,691587
Jack Perkins,Athletics,678022
Michael Petersen,Miami Marlins,656848
Chase Petty,Cincinnati Reds,695534
Brandon Pfaadt,Arizona Diamondbacks,694297
Connor Phillips,Cincinnati Reds,683175
Evan Phillips,Los Angeles Dodgers,623465
Tyler Phillips,Miami Marlins,663969
Robinson Piña,Toronto Blue Jays,673820
Jonathan Pintaro,New York Mets,702752
Nick Pivetta,San Diego Padres,601713
Zach Pop,New York Mets,647315
Austin Pope,Arizona Diamondbacks,687166
Cody Poteet,Baltimore Orioles,547001
Ryan Pressly,Chicago Cubs,519151
Quinn Priester,Milwaukee Brewers,682990
Cal Quantrill,Atlanta Braves,615698
Carson Ragsdale,Baltimore Orioles,685068
Tanner Rainey,Detroit Tigers,663432
Erasmo Ramírez,Minnesota Twins,541640
Yohan Ramírez,Pittsburgh Pirates,670990
Alan Rangel,Philadelphia Phillies,660604
Taylor Rashi,Arizona Diamondbacks,688497
Drew Rasmussen,Tampa Bay Rays,656876
Colin Rea,Chicago Cubs,607067
Sean Reynolds,San Diego Padres,669308
Orlando Ribalta,Washington Nationals,687377
Trevor Richards,Arizona Diamondbacks,670950
Lyon Richardson,Cincinnati Reds,680689
Christian Roa,Miami Marlins,685005
Daniel Robert,Philadelphia Phillies,642016
Ethan Roberts,Chicago Cubs,681799
David Robertson,Philadelphia Phillies,502085
Kumar Rocker,Texas Rangers,677958
Bradgley Rodriguez,San Diego Padres,699134
Carlos Rodriguez,Milwaukee Brewers,692230
Elvin Rodríguez,Baltimore Orioles,660730
Manuel Rodríguez,Tampa Bay Rays,655889
Randy Rodríguez,San Francisco Giants,678495
Yariel Rodríguez,Toronto Blue Jays,684320
Tyler Rogers,New York Mets,643511
Jordan Romano,Philadelphia Phillies,605447
Joe Ross,Philadelphia Phillies,605452
Landen Roupp,San Francisco Giants,694738
Chris Roycroft,St. Louis Cardinals,688297
José Ruiz,Atlanta Braves,614179
Jackson Rutledge,Washington Nationals,671131
Joe Ryan,Minnesota Twins,657746
Eduardo Salazar,Washington Nationals,674285
Cam Sanders,Pittsburgh Pirates,676742
Nick Sandlin,Toronto Blue Jays,680704
Cole Sands,Minnesota Twins,663485
Dennis Santana,Pittsburgh Pirates,642701
Tony Santillan,Cincinnati Reds,663574
Gregory Santos,Seattle Mariners,666619
Roki Sasaki,Los Angeles Dodgers,808963
Matt Sauer,Los Angeles Dodgers,669422
Max Scherzer,Toronto Blue Jays,453286
Cam Schlittler,New York Yankees,693645
Clarke Schmidt,New York Yankees,657376
Jesse Scholtens,Tampa Bay Rays,669947
John Schreiber,Kansas City Royals,670167
Paxton Schultz,Toronto Blue Jays,687606
Spencer Schwellenbach,Atlanta Braves,680885
Tayler Scott,Houston Astros,605463
Connor Seabold,Atlanta Braves,657756
Colin Selby,Baltimore Orioles,681882
Kodai Senga,New York Mets,673540
Antonio Senzatela,Colorado Rockies,622608
Luis Severino,Athletics,622663
Paul Sewald,Detroit Tigers,623149
Carson Seymour,San Francisco Giants,693313
Emmet Sheehan,Los Angeles Dodgers,686218
Chase Shugart,Pittsburgh Pirates,663767
Chase Silseth,Los Angeles Angels,681217
Lucas Sims,Washington Nationals,608371
Brady Singer,Cincinnati Reds,663903
Paul Skenes,Pittsburgh Pirates,694973
Justin Slaten,Boston Red Sox,686580
Cade Smith,Cleveland Guardians,671922
Dylan Smith,Detroit Tigers,681916
Shane Smith,Chicago White Sox,681343
AJ Smith-Shawver,Atlanta Braves,700363
Collin Snider,Seattle Mariners,676092
George Soriano,Miami Marlins,666277
José Soriano,Los Angeles Angels,667755
Michael Soroka,Chicago Cubs,647336
Mitch Spence,Athletics,687765
Carson Spiers,Cincinnati Reds,686730
Brandon Sproat,New York Mets,687075
Ryne Stanek,New York Mets,592773
Robert Stephenson,Los Angeles Angels,596112
Justin Sterner,Athletics,686993
Brock Stewart,Los Angeles Dodgers,592779
Robert Stock,Boston Red Sox,476594
Chris Stratton,Los Angeles Dodgers,608717
Hunter Stratton,Atlanta Braves,676702
Hunter Strickland,Los Angeles Angels,519326
Spencer Strider,Atlanta Braves,675911
Marcus Stroman,New York Yankees,573186
Kade Strowd,Baltimore Orioles,669704
Albert Suárez,Baltimore Orioles,544150
Robert Suarez,San Diego Padres,663158
Wander Suero,Atlanta Braves,593833
Tomoyuki Sugano,Baltimore Orioles,608372
Cole Sulser,Tampa Bay Rays,642121
Matt Svanson,St. Louis Cardinals,694335
Erik Swanson,Toronto Blue Jays,657024
Jameson Taillon,Chicago Cubs,592791
Freddy Tarnok,Miami Marlins,676206
Dillon Tate,Toronto Blue Jays,622253
Grant Taylor,Chicago White Sox,691799
Troy Taylor,Seattle Mariners,700187
Kai-Wei Teng,San Francisco Giants,678906
Mason Thompson,Washington Nationals,666168
Ryan Thompson,Arizona Diamondbacks,657044
Zach Thompson,Atlanta Braves,605507
Trent Thornton,Seattle Mariners,663423
Blade Tidwell,New York Mets,694918
Jesus Tinoco,Miami Marlins,622786
Jonah Tong,New York Mets,804636
Michael Tonkin,Minnesota Twins,543859
Justin Topa,Minnesota Twins,623437
Touki Toussaint,Los Angeles Angels,657053
Blake Treinen,Los Angeles Dodgers,595014
Lou Trivino,Philadelphia Phillies,642152
Spencer Turnbull,Toronto Blue Jays,605513
Edwin Uceta,Tampa Bay Rays,670955
José Ureña,Los Angeles Angels,570632
Abner Uribe,Milwaukee Brewers,682842
José Urquidy,Detroit Tigers,664353
Brian Van Belle,Tampa Bay Rays,687003
Logan VanWey,Houston Astros,701121
Carlos Vargas,Seattle Mariners,672841
Louis Varland,Toronto Blue Jays,686973
Mike Vasil,Chicago White Sox,678024
Randy Vásquez,San Diego Padres,681190
Justin Verlander,San Francisco Giants,434378
Will Vest,Detroit Tigers,676684
Victor Vodnik,Colorado Rockies,680767
Michael Wacha,Kansas City Royals,608379
Hurston Waldrep,Atlanta Braves,694462
Matt Waldron,San Diego Padres,663362
Ryan Walker,San Francisco Giants,676254
Taijuan Walker,Philadelphia Phillies,592836
Andrew Walters,Cleveland Guardians,689958
Austin Warren,New York Mets,681810
Will Warren,New York Yankees,701542
Luke Weaver,New York Yankees,596133
Jacob Webb,Texas Rangers,657097
Logan Webb,San Francisco Giants,657277
Jordan Weems,Houston Astros,607179
Greg Weissert,Boston Red Sox,669711
Tyler Wells,Baltimore Orioles,669330
Hayden Wesneski,Houston Astros,669713
Zack Wheeler,Philadelphia Phillies,554430
Owen White,Chicago White Sox,669391
Forrest Whitley,Tampa Bay Rays,666215
Garrett Whitlock,Boston Red Sox,676477
Cole Wilcox,Tampa Bay Rays,677961
Nathan Wiles,Atlanta Braves,686249
Devin Williams,New York Yankees,642207
Gavin Williams,Cleveland Guardians,668909
Trevor Williams,Washington Nationals,592866
Bryse Wilson,Chicago White Sox,669060
Steven Wilson,Chicago White Sox,621051
Allan Winans,New York Yankees,642216
Josh Winckowski,Boston Red Sox,670174
Cole Winn,Texas Rangers,668390
Keaton Winn,San Francisco Giants,676775
Bryan Woo,Seattle Mariners,693433
Jake Woodford,Arizona Diamondbacks,663765
Brandon Woodruff,Milwaukee Brewers,605540
Simeon Woods Richardson,Minnesota Twins,680573
Randy Wynne,Cincinnati Reds,691094
Yoshinobu Yamamoto,Los Angeles Dodgers,808967
Kirby Yates,Los Angeles Dodgers,489446
Trey Yesavage,Toronto Blue Jays,702056
Craig Yoho,Milwaukee Brewers,684974
Brandon Young,Baltimore Orioles,687064
Ryan Zeferjahn,Los Angeles Angels,666171
Tyler Zuber,Miami Marlins,676604
Yosver Zulueta,Cincinnati Reds,691172
