Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
Total,Will Klein,LAD,14,40,0.00,6,2,0,0,0,0,3,0,1,14,.171,.250,.229,,694361
Total,Joel Payamps,ATL,26,48,0.00,18,5,4,0,0,3,5,1,1,9,.450,.500,1.000,,606303
Total,Lucas Giolito,BOS,26,298,0.00,58,20,0,0,0,8,28,0,0,66,.219,.292,.385,,608337
Total,Miguel Castro,CWS,5,14,0.00,1,0,0,0,0,0,3,0,1,2,.100,.357,.100,,612434
Total,Niko Kavadas,LAA,1,3,0.00,0,0,0,0,0,0,1,0,0,1,.000,.333,.000,,694359
Total,Brennan Bernardino,BOS,48,88,0.00,16,5,0,0,0,1,7,0,1,21,.205,.273,.308,,657514
Total,José Soriano,LAA,31,395,0.00,80,15,0,0,0,7,46,0,3,76,.233,.328,.338,,667755
Total,Michael Wacha,KCR,31,372,0.00,84,13,4,0,0,5,23,0,2,63,.245,.295,.350,,608379
Total,Lucas Sims,WSN,14,28,0.00,6,1,0,0,0,2,7,0,5,3,.375,.643,.813,,608371
Total,Tomoyuki Sugano,BAL,30,359,0.00,91,10,3,0,0,20,20,1,4,55,.273,.320,.502,,608372
Total,Nic Enright,CLE,24,53,0.00,13,1,0,0,0,2,3,0,1,12,.265,.321,.408,,663671
Total,Matthew Boyd,CHC,29,183,0.00,39,5,0,0,0,2,7,0,5,43,.231,.280,.296,,571510
Total,Emmet Sheehan,LAD,15,111,0.00,16,3,1,0,0,3,13,0,1,34,.165,.270,.309,,686218
Total,Mike Vasil,CWS,47,205,0.00,36,4,0,0,0,5,25,4,4,39,.205,.317,.313,,678024
Total,Tim Herrin,CLE,52,88,0.00,13,2,0,0,0,2,17,0,4,20,.200,.386,.323,,682120
Total,Jordan Leasure,CWS,56,108,0.00,21,5,0,0,0,8,14,1,0,32,.223,.324,.532,,673929
Total,Sandy Alcantara,MIA,31,368,0.00,73,17,0,0,0,13,42,0,1,57,.230,.315,.406,,645261
Total,Pablo López,MIN,14,176,0.00,44,6,1,0,0,3,12,0,1,37,.272,.324,.377,,641154
Total,Jack Perkins,OAK,12,83,0.00,15,5,0,0,0,2,7,0,2,22,.205,.289,.356,,678022
Total,Hogan Harris,OAK,42,105,0.00,21,4,0,0,0,2,13,0,1,22,.236,.337,.348,,663687
Total,Austin Slater,NYY,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,,596103
Total,Seth Halvorsen,COL,41,88,0.00,20,4,0,0,0,5,11,0,0,12,.263,.352,.513,,678020
Total,Ronel Blanco,HOU,9,82,0.00,16,2,0,0,0,6,11,0,0,12,.232,.329,.522,,669854
Total,Robert Stephenson,LAA,8,16,0.00,2,1,0,0,0,1,0,0,1,3,.143,.200,.429,,596112
Total,Zach Pop,NYM,5,17,0.00,7,1,0,0,0,4,1,0,0,2,.438,.471,1.250,,647315
Total,Juan Burgos,ARI,11,22,0.00,7,3,0,0,0,0,2,1,1,4,.368,.455,.526,,686228
Total,Cody Bolton,CLE,1,3,0.00,2,0,0,0,0,0,0,0,0,1,.667,.667,.667,,675989
Total,Shawn Armstrong,TEX,58,106,0.00,22,6,2,0,0,4,9,0,2,25,.234,.311,.468,,542888
Total,Jorge Mateo,BAL,1,2,0.00,1,0,0,0,0,0,1,0,0,0,1.000,1.000,1.000,,622761
Total,Michael Soroka,CHC,22,211,0.00,42,9,1,0,0,8,18,0,6,53,.226,.313,.414,,647336
Total,Chris Roycroft,STL,19,37,0.00,10,4,1,0,0,0,5,0,1,7,.333,.432,.533,,688297
Total,Nathan Wiles,ATL,1,3,0.00,3,1,0,0,0,0,0,0,0,0,1.000,1.000,1.333,,686249
Total,Caleb Freeman,CWS,4,7,0.00,4,1,0,0,0,1,0,0,0,1,.571,.571,1.143,,673965
Total,Gary Sánchez,BAL,1,2,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,,596142
Total,Caleb Ferguson,SEA,65,115,0.00,19,2,0,0,0,0,9,0,2,21,.184,.261,.204,,657571
Total,Tyler Anderson,LAA,26,180,0.00,48,12,2,0,0,11,19,1,1,29,.302,.378,.610,,542881
Total,Jayvien Sandridge,NYY,1,3,0.00,0,0,0,0,0,0,1,0,1,1,.000,.667,.000,,682144
Total,Luke Weaver,NYY,61,137,0.00,22,7,0,0,0,5,9,1,0,37,.176,.228,.352,,596133
Total,Ali Sánchez,TOR,1,3,0.00,1,1,0,0,0,0,0,0,0,0,.500,.333,1.000,,645305
Total,Daniel Lynch IV,KCR,53,124,0.00,28,3,0,0,0,3,11,1,5,22,.262,.358,.374,,663738
Total,Penn Murfee,CWS,12,19,0.00,5,1,0,0,0,1,1,0,1,6,.294,.368,.529,,682171
Total,Cody Poteet,BAL,1,8,0.00,2,0,1,0,0,0,1,0,0,1,.286,.375,.571,,547001
