Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
Total,Trea Turner,PHI,95,205,189,61,46,8,3,4,0,17,14,1,32,2,0,0,1,0,0,.323,607208
Total,José Ramírez,CLE,95,196,174,56,37,11,2,6,0,26,18,7,18,1,2,0,5,0,0,.322,608070
Total,Austin Hays,CIN,58,105,91,29,15,9,3,2,0,17,12,1,24,1,1,0,1,0,0,.319,669720
Total,Alex Bregman,BOS,68,133,113,36,29,4,0,3,0,10,19,2,20,1,0,0,3,0,0,.319,608324
Total,Javier Báez,DET,68,134,129,41,32,5,2,2,0,17,3,0,31,1,1,0,0,0,0,.318,595879
Total,Edmundo Sosa,PHI,57,116,107,34,23,5,0,6,0,16,6,0,28,2,1,0,4,0,0,.318,624641
Total,Sam Haggerty,TEX,44,94,85,27,19,6,2,0,0,6,7,1,18,1,0,0,1,0,0,.318,664059
Total,Oswaldo Cabrera,NYY,17,21,19,6,6,0,0,0,0,2,1,0,4,1,0,0,1,0,0,.316,665828
Total,Maikel Garcia,KCR,68,137,118,37,20,13,1,3,0,16,18,0,20,0,0,1,2,0,0,.314,672580
Total,Andrew Vaughn,MIL,62,132,115,36,24,9,0,3,0,23,14,0,18,1,1,1,4,0,0,.313,683734
Total,Andy Pages,LAD,85,154,147,46,35,8,0,3,0,16,6,0,35,1,0,0,2,0,0,.313,681624
Total,Ryan Jeffers,MIN,74,146,112,35,27,6,0,2,0,14,28,1,23,5,1,0,3,0,0,.313,680777
Total,Bo Bichette,TOR,67,139,130,40,23,10,0,7,0,31,7,2,14,1,1,0,5,0,0,.308,666182
Total,Korey Lee,CWS,7,14,13,4,3,0,0,1,0,2,1,0,3,0,0,0,0,0,0,.308,686676
Total,Taylor Trammell,HOU,12,16,13,4,3,1,0,0,0,0,3,0,5,0,0,0,0,0,0,.308,666211
Total,Brenton Doyle,COL,59,136,124,38,27,5,1,5,0,17,10,0,28,0,1,1,5,0,0,.306,686668
Total,Joey Bart,PIT,42,86,72,22,16,3,0,3,0,11,14,0,26,0,0,0,1,0,0,.306,663698
Total,Byron Buxton,MIN,58,123,108,33,14,8,1,10,0,19,13,3,24,0,2,0,0,0,0,.306,621439
Total,Leo Rivas,SEA,23,41,36,11,9,2,0,0,0,2,5,0,7,0,0,0,0,0,0,.306,660844
Total,Jorge Polanco,SEA,63,114,105,32,17,10,0,5,0,19,7,0,20,0,1,1,1,0,0,.305,593871
Total,Brice Turang,MIL,102,192,174,53,44,6,0,3,0,19,15,0,42,1,1,1,1,0,0,.305,668930
Total,Emmanuel Rivera,BAL,20,35,33,10,9,1,0,0,0,5,2,0,7,0,0,0,0,0,0,.303,656896
Total,Rob Refsnyder,BOS,57,138,116,35,19,9,0,7,0,25,19,1,32,1,2,0,4,0,0,.302,608701
Total,Amed Rosario,NYY,52,122,116,35,21,10,0,4,0,15,5,0,15,0,1,0,5,0,0,.302,642708
Total,Sal Frelick,MIL,92,174,156,47,41,6,0,0,0,15,10,0,23,4,1,2,1,0,0,.301,686217
Total,José Fermín,STL,10,11,10,3,2,1,0,0,0,1,1,0,2,0,0,0,0,0,0,.300,665877
Total,Bryce Johnson,SDP,21,35,30,9,8,1,0,0,0,2,3,0,7,0,0,2,0,0,0,.300,669369
