Name,playerId,Season,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Ryan Zeferjahn,666171,Total,LAA,10,23,0.00,1,0,0,0,0,0,2,0,1,10,.050,.174,.050,
Ryan Burr,621114,Total,TOR,28,52,0.00,11,4,0,0,0,1,8,0,0,17,.250,.365,.409,
Pete Fairbanks,664126,Total,TBR,43,92,0.00,21,2,0,0,0,2,9,1,0,21,.256,.326,.354,
Ty Adcock,686654,Total,NYM,3,12,0.00,6,0,0,0,0,3,2,0,0,1,.600,.667,1.500,
Chris Flexen,623167,Total,CWS,31,324,0.00,79,18,3,0,0,15,28,0,0,62,.271,.333,.507,
Kyle Hendricks,543294,Total,CHC,29,289,0.00,79,9,0,0,0,13,25,0,2,42,.304,.367,.488,
Fraser Ellard,686642,Total,CWS,21,45,0.00,13,2,0,0,0,1,3,0,0,12,.317,.356,.439,
J.P. France,641585,Total,HOU,5,68,0.00,18,6,0,0,0,3,8,0,1,15,.305,.397,.559,
Ben Rortvedt,666163,Total,TBR,1,5,0.00,1,1,0,0,0,0,1,0,0,0,.250,.400,.500,
Zach Eflin,621107,Total,BAL,28,334,0.00,71,14,0,0,0,11,16,0,1,74,.225,.264,.375,
Walker Buehler,621111,Total,LAD,16,177,0.00,47,9,2,0,0,8,15,0,2,37,.296,.362,.528,
Aaron Hicks,543305,Total,LAA,1,3,0.00,1,0,0,0,0,0,1,0,0,0,.500,.667,.500,
Ian Gibaut,664139,Total,CIN,2,6,0.00,2,1,0,0,0,0,1,0,0,1,.400,.500,.600,
David Bednar,670280,Total,PIT,59,122,0.00,22,7,0,0,0,7,15,2,1,26,.214,.314,.485,
Cionel Pérez,672335,Total,BAL,55,109,0.00,19,6,1,0,0,0,13,0,2,20,.202,.312,.287,
Yu Darvish,506433,Total,SDP,16,157,0.00,32,4,0,0,0,5,10,0,1,38,.222,.276,.354,
Brant Hurter,676428,Total,DET,10,73,0.00,16,2,0,0,0,1,1,0,0,20,.225,.236,.296,
Osvaldo Bido,674370,Total,OAK,15,119,0.00,14,1,0,0,0,2,15,0,2,24,.139,.263,.208,
Tyler Heineman,623168,Total,TOR,1,1,0.00,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,
Geoff Hartlieb,664129,Total,COL,5,21,0.00,6,1,0,0,0,0,2,1,0,3,.333,.381,.389,
Tommy Kahnle,592454,Total,NYY,45,95,0.00,14,5,0,0,0,2,10,1,2,26,.169,.274,.301,
Jesús Luzardo,666200,Total,MIA,12,50,0.00,12,4,0,0,0,2,5,0,0,13,.267,.340,.489,
Tanner Bibee,676440,Total,CLE,31,394,0.00,95,25,2,0,0,14,28,0,3,102,.263,.320,.460,
Alek Manoah,666201,Total,TOR,5,57,0.00,13,1,0,0,0,5,3,0,2,15,.250,.316,.558,
Randy Rodríguez,678495,Total,SFG,32,96,0.00,22,4,1,0,0,2,9,0,1,25,.259,.333,.400,
Riley Pint,666207,Total,COL,4,7,0.00,0,0,0,0,0,0,1,0,1,4,.000,.286,.000,
Dany Jiménez,666204,Total,OAK,23,54,0.00,11,3,0,0,0,3,8,0,0,12,.239,.352,.500,
Kyle Muller,666205,Total,OAK,19,82,0.00,20,5,0,0,0,4,2,0,1,16,.260,.280,.481,
Grae Kessinger,666197,Total,HOU,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Huascar Brazobán,623211,Total,NYM,34,93,0.00,12,1,0,0,0,0,13,0,0,22,.150,.269,.163,
Daniel Hudson,543339,Total,LAD,64,123,0.00,21,5,0,0,0,5,9,1,1,30,.186,.252,.363,
Luis Guillorme,641645,Total,LAA,3,4,0.00,1,1,0,0,0,0,1,0,0,0,.333,.500,.667,
Alex Speas,666208,Total,HOU,1,4,0.00,1,0,0,0,0,1,1,0,0,0,.333,.500,1.333,
Joey Wentz,666214,Total,PIT,43,121,0.00,24,4,0,0,0,1,11,0,1,36,.226,.300,.292,
Forrest Whitley,666215,Total,HOU,3,7,0.00,2,0,0,0,0,0,0,0,0,2,.286,.286,.286,
Grayson Rodriguez,680570,Total,BAL,20,241,0.00,45,10,1,0,0,6,20,0,1,68,.205,.274,.341,
Ian Hamilton,641656,Total,NYY,27,61,0.00,14,4,0,0,0,1,7,0,1,11,.269,.361,.404,
Garrett Hampson,641658,Total,KCR,1,2,0.00,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,
Simeon Woods Richardson,680573,Total,MIN,28,240,0.00,54,6,0,0,0,6,20,0,3,49,.252,.321,.364,
Garrett Whitlock,676477,Total,BOS,4,48,0.00,7,2,0,0,0,1,3,0,1,8,.163,.234,.279,
Roddery Muñoz,682610,Total,MIA,18,186,0.00,49,12,1,0,0,16,21,0,3,33,.310,.392,.703,
James Paxton,572020,Total,BOS,17,74,0.00,18,1,1,0,0,1,4,0,0,13,.261,.301,.348,
Jay Jackson,543351,Total,MIN,17,50,0.00,15,0,1,0,0,5,4,0,0,13,.326,.380,.696,
Carson Spiers,686730,Total,CIN,22,208,0.00,59,15,3,0,0,10,15,0,2,37,.311,.365,.579,
Matt Bowman,621199,Total,BAL,23,54,0.00,15,1,0,0,0,2,6,1,1,7,.319,.407,.468,
Steven Cruz,674444,Total,KCR,4,8,0.00,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,
Ben Joyce,690829,Total,LAA,30,69,0.00,10,1,0,0,0,1,7,0,1,19,.164,.261,.230,
Joey Lucchesi,664192,Total,NYM,2,14,0.00,3,1,0,0,0,1,1,0,0,2,.231,.286,.538,
Kaleb Ort,672391,Total,HOU,16,40,0.00,6,1,0,0,0,3,2,0,0,11,.158,.200,.421,
Joe La Sorsa,686747,Total,WSN,15,25,0.00,6,0,0,0,0,1,2,0,1,5,.273,.360,.409,
Seth Johnson,686751,Total,PHI,1,6,0.00,2,0,0,0,0,0,2,0,0,0,.667,.667,.667,
Ben Casparius,676508,Total,LAD,3,22,0.00,4,0,0,0,0,0,3,0,0,8,.211,.318,.211,
Casey Kelly,543391,Total,CIN,2,8,0.00,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,
Phil Maton,664208,Total,NYM,60,114,0.00,18,4,1,0,0,4,11,1,4,24,.182,.289,.364,
Sam Moll,594580,Total,CIN,42,63,0.00,9,1,0,0,0,1,3,0,1,20,.155,.206,.224,
Max Scherzer,453286,Total,TEX,9,84,0.00,19,7,0,0,0,2,9,0,1,14,.260,.345,.438,
Ryan Pepiot,686752,Total,TBR,26,318,0.00,58,11,2,0,0,10,35,0,5,86,.209,.309,.372,
Brent Honeywell,641703,Total,LAD,19,71,0.00,12,4,0,0,0,1,7,0,0,14,.197,.275,.311,
George Soriano,666277,Total,MIA,20,54,0.00,12,3,0,0,0,5,6,0,1,11,.261,.352,.652,
Edwin Díaz,621242,Total,NYM,51,110,0.00,20,2,1,0,0,5,17,0,1,42,.220,.345,.429,
José Berríos,621244,Total,TOR,32,419,0.00,80,9,4,0,0,18,36,0,7,85,.214,.294,.404,
Daulton Jefferies,641726,Total,PIT,6,31,0.00,10,3,1,0,0,2,3,0,0,7,.357,.419,.750,
Paul Skenes,694973,Total,PIT,23,263,0.00,44,8,1,0,0,4,22,0,3,86,.186,.262,.278,
Tyson Miller,668338,Total,CHC,44,76,0.00,14,3,0,0,0,3,3,0,2,17,.200,.253,.371,
Dakota Hudson,641712,Total,COL,18,191,0.00,50,7,0,0,0,9,28,0,1,22,.311,.414,.522,
José Alvarado,621237,Total,PHI,53,75,0.00,9,1,0,0,0,2,4,0,0,18,.127,.173,.225,
Calvin Faucher,676534,Total,MIA,51,101,0.00,20,4,3,0,0,0,17,3,1,29,.247,.376,.370,
Martín Pérez,527048,Total,SDP,24,128,0.00,33,2,0,0,0,4,8,0,2,23,.282,.339,.402,
Keider Montero,672456,Total,DET,19,211,0.00,48,5,2,0,0,9,16,0,2,41,.249,.313,.435,
Jose A. Ferrer,678606,Total,WSN,27,46,0.00,7,0,1,0,0,0,2,0,0,9,.167,.196,.214,
Jack Kochanowicz,686799,Total,LAA,11,156,0.00,42,12,0,0,0,2,4,0,7,11,.290,.340,.414,
Blake Walston,686796,Total,ARI,6,17,0.00,4,1,0,0,0,1,2,0,0,2,.267,.353,.533,
Julio Teheran,527054,Total,NYM,1,7,0.00,2,1,0,0,0,0,1,0,0,2,.333,.429,.500,
Joe Jiménez,641729,Total,ATL,63,128,0.00,20,3,0,0,0,2,10,1,3,37,.177,.258,.257,
Trevor McDonald,686790,Total,SFG,1,4,0.00,0,0,0,0,0,0,1,0,0,0,.000,.250,.000,
Tyler Kinley,641755,Total,COL,61,126,0.00,28,6,2,0,0,5,18,2,2,30,.267,.381,.505,
Ricky Vanasco,676568,Total,DET,3,6,0.00,1,0,0,0,0,0,0,0,0,0,.167,.167,.167,
Framber Valdez,664285,Total,HOU,23,114,0.00,27,8,0,0,0,2,5,0,2,34,.252,.298,.383,
Brad Keller,641745,Total,BOS,15,79,0.00,18,2,0,0,0,3,7,0,0,11,.250,.316,.403,
Merrill Kelly,518876,Total,ARI,13,160,0.00,33,6,1,0,0,6,16,0,1,23,.234,.314,.418,
Jacob Barnes,606930,Total,WSN,47,87,0.00,20,5,0,0,0,5,11,1,0,13,.270,.356,.541,
Bryce Jarvis,686826,Total,ARI,42,97,0.00,20,4,0,0,0,1,16,3,1,11,.250,.381,.338,
Craig Kimbrel,518886,Total,BAL,55,118,0.00,19,2,0,0,0,6,17,1,2,39,.196,.325,.402,
Cristian Javier,664299,Total,HOU,7,74,0.00,19,6,0,0,0,3,11,0,0,10,.306,.411,.548,
Chad Kuhl,641771,Total,CWS,30,122,0.00,32,7,1,0,0,3,11,1,4,25,.308,.392,.481,
Josiah Gray,680686,Total,WSN,2,23,0.00,10,3,0,0,0,2,2,0,0,4,.500,.522,.950,
Ben Heller,621294,Total,PIT,8,24,0.00,5,2,0,0,0,0,3,1,2,6,.263,.417,.368,
Andrés Muñoz,662253,Total,SEA,56,109,0.00,14,0,0,0,0,4,17,2,1,36,.154,.294,.286,
Burch Smith,572143,Total,BAL,44,90,0.00,27,7,0,0,0,2,5,0,0,17,.318,.356,.471,
Clayton Beeter,690925,Total,NYY,3,7,0.00,2,2,0,0,0,0,1,0,0,1,.333,.429,.667,
Cole Winn,668390,Total,TEX,13,26,0.00,6,1,0,0,0,0,2,0,1,2,.273,.346,.318,
Richard Fitts,690916,Total,BOS,4,40,0.00,7,1,0,0,0,0,4,0,0,5,.206,.289,.235,
Josh Hader,623352,Total,HOU,41,54,0.00,6,1,1,0,0,0,5,0,0,22,.125,.204,.188,
James Meeker,703231,Total,MIL,1,2,0.00,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,
Tyler Zuber,676604,Total,TBR,2,7,0.00,3,0,0,0,0,1,0,0,0,2,.429,.429,.857,
Lyon Richardson,680689,Total,CIN,1,1,0.00,1,0,0,0,0,1,0,0,0,0,1.000,1.000,4.000,
Jordan Lyles,543475,Total,KCR,4,9,0.00,1,1,0,0,0,0,2,0,0,2,.143,.333,.286,
Chris Devenski,606965,Total,TBR,18,61,0.00,12,4,0,0,0,3,4,0,0,11,.211,.262,.439,
Kyle Bradish,680694,Total,BAL,8,77,0.00,12,1,1,0,0,2,6,0,3,26,.176,.273,.309,
Josh Fleming,676596,Total,PIT,21,49,0.00,16,3,0,0,0,2,6,0,1,9,.381,.469,.595,
Riley O'Brien,676617,Total,STL,8,20,0.00,6,1,1,0,0,1,4,0,1,4,.400,.550,.800,
Zack Littell,641793,Total,TBR,29,362,0.00,89,20,1,0,0,12,20,0,0,73,.261,.302,.431,
Nick Sandlin,680704,Total,CLE,60,103,0.00,20,4,0,0,0,4,7,1,2,29,.217,.284,.391,
Bryan Sammons,676614,Total,DET,6,37,0.00,5,1,0,0,0,2,3,0,0,4,.147,.216,.353,
Mitchell Parker,680730,Total,WSN,26,156,0.00,42,7,1,0,0,1,7,0,0,41,.282,.314,.362,
Tyler Mahle,641816,Total,TEX,3,27,0.00,7,1,0,0,0,0,2,0,0,8,.292,.333,.333,
Sixto Sánchez,664350,Total,MIA,14,81,0.00,19,3,0,0,0,2,11,0,2,6,.284,.395,.418,
Luis Contreras,664351,Total,HOU,4,8,0.00,2,0,0,0,0,0,1,0,0,1,.286,.375,.286,
Sean Burke,680732,Total,CWS,4,50,0.00,8,3,0,0,0,1,7,0,0,12,.186,.300,.326,
Scott McGough,543518,Total,ARI,24,57,0.00,11,3,0,0,0,0,13,0,0,10,.256,.421,.326,
James McCann,543510,Total,BAL,1,2,0.00,1,0,0,0,0,1,0,0,0,0,.500,.500,2.000,
Robbie Ray,592662,Total,SFG,6,25,0.00,7,0,0,0,0,2,3,0,0,6,.333,.417,.619,
Kyle Harrison,690986,Total,SFG,24,108,0.00,25,3,1,0,0,3,6,0,5,29,.260,.333,.406,
Jack O'Loughlin,672552,Total,OAK,4,15,0.00,5,0,0,0,0,0,1,0,0,3,.357,.400,.357,
Tim Mayza,641835,Total,NYY,45,94,0.00,21,3,0,0,0,1,7,0,0,10,.244,.298,.314,
Ty Madden,680744,Total,DET,6,51,0.00,15,3,0,0,0,2,5,0,0,11,.326,.392,.522,
Zebby Matthews,805673,Total,MIN,9,102,0.00,29,4,0,0,0,8,9,0,1,23,.315,.382,.620,
A.J. Minter,621345,Total,ATL,29,46,0.00,10,1,0,0,0,3,1,0,0,13,.222,.239,.444,
Josh Winder,680739,Total,MIN,4,18,0.00,2,0,0,0,0,0,1,0,1,5,.125,.222,.125,
Justin Wrobleski,680736,Total,LAD,8,46,0.00,11,4,0,0,0,1,4,0,1,7,.268,.348,.439,
Jonathan Bowlan,680742,Total,KCR,1,5,0.00,0,0,0,0,0,0,1,0,0,1,.000,.200,.000,
Ronny Henriquez,678692,Total,MIN,15,37,0.00,11,0,1,0,0,2,3,1,0,7,.324,.378,.559,
Rhett Lowder,695076,Total,CIN,6,60,0.00,9,1,0,0,0,0,11,0,0,11,.184,.333,.204,
Dan Altavilla,656186,Total,KCR,5,10,0.00,1,0,0,0,0,0,1,0,0,1,.125,.222,.125,
JP Sears,676664,Total,OAK,30,152,0.00,31,5,2,0,0,5,5,0,3,33,.220,.258,.390,
Nick Pratto,668472,Total,KCR,1,2,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Victor Vodnik,680767,Total,COL,57,139,0.00,28,4,1,0,0,2,22,1,0,20,.241,.360,.345,
Colin Poche,621363,Total,TBR,34,57,0.00,13,1,0,0,0,3,7,0,0,14,.260,.351,.460,
Ryan Borucki,621366,Total,PIT,13,21,0.00,4,1,0,0,0,0,2,0,1,7,.235,.350,.294,
Max Lazar,676661,Total,PHI,9,21,0.00,7,2,0,0,0,0,1,0,0,4,.350,.381,.450,
Nick Anderson,623433,Total,KCR,36,76,0.00,11,4,0,0,0,1,8,0,0,15,.167,.250,.273,
Tom Cosgrove,676680,Total,SDP,17,36,0.00,7,0,0,0,0,2,2,0,3,8,.233,.343,.433,
Justin Topa,623437,Total,MIN,3,5,0.00,1,0,0,0,0,0,0,0,0,1,.200,.200,.200,
Ty Blach,621389,Total,COL,18,88,0.00,23,5,0,0,0,3,2,0,1,9,.277,.299,.446,
Will Vest,676684,Total,DET,58,116,0.00,20,1,0,0,0,1,14,2,1,21,.206,.302,.247,
Carlos Hernández,672578,Total,KCR,26,61,0.00,13,5,0,0,0,1,7,0,1,12,.250,.344,.404,
Matt Strahm,621381,Total,PHI,55,78,0.00,17,2,0,0,0,2,1,0,3,21,.230,.269,.338,
Angel Zerpa,672582,Total,KCR,50,99,0.00,25,5,0,0,0,0,5,0,2,23,.278,.327,.333,
Tanner Banks,621383,Total,PHI,56,121,0.00,26,4,1,0,0,2,6,0,1,37,.232,.273,.339,
Abner Uribe,682842,Total,MIL,11,23,0.00,4,0,0,0,0,0,6,1,0,3,.235,.435,.235,
Jackson Stephens,623451,Total,ATL,3,9,0.00,3,0,0,0,0,1,1,0,0,2,.375,.444,.750,
Colin Rea,607067,Total,MIL,31,354,0.00,84,16,2,0,0,16,23,0,2,63,.257,.308,.465,
Jalen Beeks,656222,Total,PIT,64,108,0.00,19,3,1,0,0,1,10,0,1,24,.202,.283,.287,
Hunter Stratton,676702,Total,PIT,33,68,0.00,21,6,0,0,0,1,3,0,2,13,.344,.394,.492,
Luis Ortiz,682847,Total,PIT,36,263,0.00,49,9,2,0,0,12,24,3,2,49,.210,.285,.421,
Kenley Jansen,445276,Total,BOS,50,103,0.00,21,4,0,0,0,2,10,2,0,29,.228,.301,.337,
José Leclerc,600917,Total,TEX,54,106,0.00,25,2,0,0,0,2,18,0,1,23,.291,.419,.384,
Brady Feigl,621399,Total,PIT,1,5,0.00,2,1,0,0,0,0,0,0,0,0,.400,.400,.600,
Brandon Hughes,676714,Total,ARI,15,35,0.00,5,0,0,0,0,0,1,0,1,12,.152,.200,.152,
Carlos Carrasco,471911,Total,CLE,21,229,0.00,55,12,3,0,0,9,23,0,0,49,.267,.341,.485,
Jake Bird,656234,Total,COL,32,81,0.00,21,6,0,0,0,4,9,1,2,14,.304,.395,.565,
Evan Phillips,623465,Total,LAD,55,98,0.00,22,5,0,0,0,4,8,1,1,21,.253,.320,.448,
Brandon Bielak,656232,Total,OAK,15,60,0.00,16,3,0,0,0,1,5,0,1,3,.296,.367,.407,
T.J. McFarland,519008,Total,OAK,71,117,0.00,26,7,0,0,0,1,3,0,2,25,.234,.267,.324,
Chase Anderson,502624,Total,TEX,26,125,0.00,27,3,0,0,0,5,13,1,2,19,.250,.339,.417,
Jacob deGrom,594798,Total,TEX,3,18,0.00,2,1,0,0,0,1,1,0,1,6,.125,.222,.375,
Carlos Rodón,607074,Total,NYY,25,135,0.00,28,5,1,0,0,3,10,0,0,38,.224,.281,.352,
Kutter Crawford,676710,Total,BOS,33,394,0.00,74,10,0,0,0,20,27,0,6,91,.207,.272,.402,
Chasen Shreve,592741,Total,COL,1,2,0.00,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,
Landon Knack,689017,Total,LAD,15,150,0.00,29,5,2,0,0,6,10,0,2,37,.210,.273,.406,
Drew Smyly,592767,Total,CHC,46,114,0.00,26,1,0,0,0,3,9,0,3,22,.255,.333,.353,
Louis Varland,686973,Total,MIN,16,123,0.00,37,4,0,0,0,6,6,0,2,26,.325,.366,.518,
Scott Blewett,656240,Total,MIN,12,34,0.00,8,2,0,0,0,2,5,2,0,9,.276,.382,.552,
Jimmy Herget,623474,Total,ATL,8,21,0.00,3,1,0,0,0,1,1,0,0,4,.150,.190,.350,
J.B. Bukauskas,656266,Total,MIL,5,8,0.00,2,0,0,0,0,1,0,0,0,2,.250,.250,.625,
Brock Stewart,592779,Total,MIN,16,29,0.00,8,2,0,0,0,0,2,0,0,6,.296,.345,.370,
Matt Moore,519043,Total,LAA,42,76,0.00,12,1,0,0,0,5,7,0,0,14,.174,.250,.406,
Brock Burke,656271,Total,LAA,28,63,0.00,18,5,0,0,0,4,7,0,2,13,.333,.429,.648,
Ryne Stanek,592773,Total,NYM,56,115,0.00,23,2,1,0,0,3,14,1,1,33,.232,.330,.364,
Bailey Ober,641927,Total,MIN,31,326,0.00,58,14,1,0,0,12,15,0,3,87,.190,.233,.359,
Ron Marinaccio,676760,Total,NYY,16,54,0.00,7,2,0,0,0,2,5,0,1,15,.146,.241,.313,
Thyago Vieira,600986,Total,ARI,25,75,0.00,12,3,0,0,0,3,12,1,1,16,.194,.333,.387,
Isaac Mattson,676755,Total,PIT,3,10,0.00,0,0,0,0,0,0,1,0,0,4,.000,.100,.000,
Joely Rodríguez,570257,Total,BOS,12,31,0.00,9,0,1,0,0,0,1,0,1,5,.310,.355,.379,
Marco Gonzales,594835,Total,PIT,6,39,0.00,11,0,0,0,0,3,3,0,0,7,.314,.368,.571,
Justin Sterner,686993,Total,TBR,2,10,0.00,2,1,0,0,0,0,1,1,0,2,.222,.300,.333,
Emilio Pagán,641941,Total,CIN,30,63,0.00,14,2,0,0,0,6,8,0,0,18,.259,.349,.630,
Jameson Taillon,592791,Total,CHC,28,352,0.00,83,16,1,0,0,13,23,0,0,63,.254,.303,.428,
Dylan Cease,656302,Total,SDP,33,373,0.00,71,20,0,0,0,11,33,0,1,97,.212,.282,.370,
David Bote,623520,Total,CHC,1,3,0.00,1,1,0,0,0,0,0,0,0,0,.333,.333,.667,
Griffin Canning,656288,Total,LAA,32,386,0.00,92,18,2,0,0,16,42,1,1,66,.272,.352,.479,
Nick Avila,687014,Total,SFG,8,26,0.00,7,3,0,0,0,0,0,0,0,9,.280,.269,.400,
Keaton Winn,676775,Total,SFG,12,111,0.00,23,5,2,0,0,4,11,0,0,26,.237,.306,.454,
Luis Peralta,678821,Total,COL,14,26,0.00,5,1,0,0,0,0,3,0,1,7,.250,.360,.300,
Jack Neely,680891,Total,CHC,5,11,0.00,5,0,0,0,0,1,1,0,0,2,.500,.545,.800,
Jake Bloss,814005,Total,HOU,3,31,0.00,11,1,1,0,0,2,2,0,0,4,.379,.419,.690,
Grant Holman,680880,Total,OAK,16,32,0.00,8,2,0,0,0,0,4,1,0,9,.286,.375,.357,
Spencer Schwellenbach,680885,Total,ATL,21,254,0.00,59,16,3,0,0,7,16,1,2,55,.253,.306,.438,
Erasmo Ramírez,541640,Total,TBR,11,40,0.00,6,1,0,0,0,2,6,1,0,5,.182,.300,.394,
Mason Miller,695243,Total,OAK,51,112,0.00,15,2,0,0,0,3,9,2,0,51,.146,.214,.252,
Jordan Weems,607179,Total,WSN,35,78,0.00,27,5,1,0,0,2,9,0,1,11,.397,.474,.588,
Scott Barlow,605130,Total,CLE,56,103,0.00,14,3,0,0,0,2,14,0,3,32,.165,.301,.271,
Owen Miller,680911,Total,MIL,1,7,0.00,2,1,0,0,0,0,0,0,0,0,.333,.286,.500,
Chris Bassitt,605135,Total,TOR,31,386,0.00,102,16,1,0,0,14,44,1,5,76,.305,.392,.485,
Justin Anderson,605121,Total,CWS,47,94,0.00,22,3,0,0,0,3,12,1,2,15,.282,.387,.436,
Nick Nastrini,680897,Total,CWS,9,85,0.00,15,5,1,0,0,2,27,0,0,8,.259,.494,.483,
Roansy Contreras,672710,Total,LAA,46,123,0.00,24,3,0,0,0,5,15,5,0,18,.226,.317,.396,
Taijuan Walker,592836,Total,PHI,19,186,0.00,48,8,0,0,0,10,20,0,0,27,.294,.366,.528,
Tyler Glasnow,607192,Total,LAD,22,250,0.00,45,12,1,0,0,8,19,0,0,82,.197,.258,.362,
Ben Lively,594902,Total,CLE,29,304,0.00,62,10,2,0,0,13,31,0,1,58,.229,.309,.424,
Reynaldo López,625643,Total,ATL,25,294,0.00,61,8,2,0,0,7,34,0,0,77,.238,.324,.367,
Quinn Priester,682990,Total,BOS,11,109,0.00,31,2,1,0,0,4,12,0,1,9,.330,.404,.500,
Josh Rogers,642028,Total,COL,6,23,0.00,6,2,0,0,0,0,1,0,0,3,.300,.304,.400,
Victor Mederos,682989,Total,LAA,4,14,0.00,2,0,0,0,0,0,3,0,0,2,.182,.357,.182,
Patrick Wisdom,621550,Total,CHC,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Austin Davis,656354,Total,SDP,7,12,0.00,1,0,0,0,0,0,2,0,1,1,.125,.364,.125,
Ryan Pressly,519151,Total,HOU,56,120,0.00,27,7,0,0,0,1,10,0,1,31,.250,.317,.343,
Erick Fedde,607200,Total,STL,31,372,0.00,75,16,2,0,0,13,34,0,0,75,.224,.294,.400,
Daniel Robert,642016,Total,TEX,4,12,0.00,2,0,0,0,0,0,1,0,2,2,.222,.417,.222,
Colten Brewer,605155,Total,CHC,16,45,0.00,8,2,0,0,0,0,4,0,1,15,.205,.289,.256,
John Brebbia,605154,Total,ATL,53,112,0.00,23,5,0,0,0,8,12,0,2,31,.235,.330,.531,
Tucker Davidson,656353,Total,BAL,1,2,0.00,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,
Trevor Williams,592866,Total,WSN,13,136,0.00,28,7,1,0,0,0,11,0,0,31,.228,.287,.301,
Aaron Brooks,605156,Total,OAK,5,47,0.00,14,6,0,0,0,2,4,0,1,3,.333,.404,.619,
Yosver Zulueta,691172,Total,CIN,11,26,0.00,8,1,0,0,0,1,2,0,0,8,.333,.385,.500,
Kai-Wei Teng,678906,Total,SFG,4,20,0.00,4,1,0,0,0,0,2,0,0,3,.222,.300,.278,
Andrew Chafin,605177,Total,TEX,56,102,0.00,24,3,0,0,0,2,13,1,0,32,.273,.363,.375,
Jared Jones,683003,Total,PIT,22,253,0.00,52,16,3,0,0,8,23,1,2,75,.229,.304,.432,
Gregory Santos,666619,Total,SEA,8,14,0.00,5,2,0,0,0,0,1,0,0,4,.385,.429,.538,
Orion Kerkering,689147,Total,PHI,60,112,0.00,23,4,0,0,0,2,11,0,4,34,.242,.342,.347,
Jack Leiter,683004,Total,TEX,9,86,0.00,20,3,2,0,0,3,10,0,1,13,.270,.360,.486,
Mike Clevinger,605182,Total,CWS,4,44,0.00,11,3,0,0,0,2,2,0,0,8,.262,.295,.476,
Joe Kelly,523260,Total,LAD,32,72,0.00,15,5,0,0,0,1,11,1,3,21,.268,.414,.411,
Miguel Rojas,500743,Total,LAD,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Yoendrys Gómez,672782,Total,NYY,5,18,0.00,0,0,0,0,0,0,2,0,0,5,.000,.111,.000,
Aaron Ashby,676879,Total,MIL,14,38,0.00,5,1,0,0,0,1,4,0,0,15,.147,.237,.265,
Michael Stefanic,683021,Total,LAA,1,2,0.00,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,
Lucas Erceg,668674,Total,KCR,58,121,0.00,23,4,1,0,0,2,11,2,3,37,.215,.306,.327,
Tayler Saucedo,642048,Total,SEA,48,79,0.00,14,2,1,0,0,1,8,0,1,20,.200,.291,.300,
Amir Garrett,607237,Total,LAA,6,9,0.00,2,0,0,0,0,1,1,0,0,5,.250,.333,.625,
Zac Gallen,668678,Total,ARI,28,303,0.00,61,12,5,0,0,7,25,0,3,77,.222,.294,.378,
Zach Plesac,668676,Total,LAA,3,28,0.00,8,1,0,0,0,4,3,0,0,1,.320,.393,.840,
Nick Martinez,607259,Total,CIN,41,264,0.00,61,11,2,0,0,6,7,0,3,56,.246,.274,.379,
Bradley Blalock,687134,Total,COL,7,87,0.00,22,7,1,0,0,3,12,0,0,12,.293,.391,.533,
Alex Faedo,656412,Total,DET,37,119,0.00,19,4,0,0,0,3,12,0,0,25,.181,.261,.305,
Bryan Shaw,543766,Total,CWS,4,12,0.00,5,2,0,0,0,1,3,1,0,1,.556,.667,1.111,
Jack Flaherty,656427,Total,LAD,28,352,0.00,71,7,3,0,0,10,19,0,1,100,.215,.259,.345,
Evan Justice,687145,Total,COL,1,1,0.00,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,
Darren McCaughan,670766,Total,MIA,11,91,0.00,25,6,0,0,0,4,5,0,0,14,.294,.330,.506,
Carl Edwards Jr.,605218,Total,SDP,1,1,0.00,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,
Jose Quintana,500779,Total,NYM,29,159,0.00,37,7,2,0,0,6,9,0,1,29,.255,.301,.455,
J.P. Feyereisen,656420,Total,LAD,9,21,0.00,6,2,0,0,0,1,3,0,0,4,.333,.429,.611,
Dominic Smith,642086,Total,BOS,1,3,0.00,1,0,0,0,0,0,0,0,0,0,.333,.333,.333,
Austin Kitchen,685116,Total,MIA,4,22,0.00,8,2,0,0,0,0,1,0,0,2,.381,.409,.476,
Zach Penrod,683068,Total,BOS,7,10,0.00,0,0,0,0,0,0,2,0,0,3,.000,.200,.000,
Anthony Veneziano,685107,Total,MIA,11,25,0.00,5,2,0,0,0,1,2,0,0,6,.227,.280,.455,
